화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
대천천입구,N,0,24시간,부산광역시 북구 청소행정과,1,2,051-309-4464,부산광역시 북구 금곡동 1873,1,공중화장실,1,129.027337,0,부산광역시 북구 화명2동 산218,0,0,35.243834,0,Dec-08,2018-08-28
구포시장,N,2,24시간,부산광역시 북구 청소행정과,4,0,051-309-4464,부산광역시 북구 구포동 166,8,공중화장실,4,129.003021,0,부산광역시 북구 낙동대로 1773(구포동),0,1,35.209761,0,Aug-02,2018-08-28
구포여성전용,N,0,08:30~19:30,부산광역시 북구 청소행정과,0,0,051-309-4464,부산광역시 북구 구포동 166,10,공중화장실,0,129.003021,2,부산광역시 북구 낙동대로 1771(구포동),0,1,35.209761,1,Nov-03,2018-08-28
병풍사주차장,N,2,24시간,부산광역시 북구 청소행정과,3,0,051-309-4464,부산광역시 북구 만덕1동 산77-1,5,공중화장실,5,129.051087,0,부산광역시 북구 만덕1동 산77-1,0,1,35.215942,0,Sep-15,2018-08-28
병풍사입구,N,0,24시간,부산광역시 북구 청소행정과,1,0,051-309-4464,부산광역시 북구 만덕1동 산2,1,공중화장실,1,129.048734,0,부산광역시 북구 만덕1동 산2,0,0,35.221325,0,Jul-16,2018-08-28
만덕오리마을,N,0,24시간,부산광역시 북구 청소행정과,1,0,051-309-4464,부산광역시 북구 만덕1동 49-8,2,공중화장실,1,129.045882,0,부산광역시 북구 만덕1동 49-8,0,0,35.214235,0,Jul-16,2018-08-28
만덕상학체육공원,N,0,24시간,부산광역시 북구 청소행정과,1,0,051-309-4464,부산광역시 북구 만덕1동 산13,2,공중화장실,1,129.041233,0,부산광역시 북구 만덕1동 산13,0,0,35.218161,0,Jan-17,2018-08-28
남문마을,N,0,24시간,부산광역시 북구 청소행정과,2,0,051-309-4464,부산광역시 북구 만덕동 산1-7,5,공중화장실,3,129.056431,0,부산광역시 북구 만덕1동 산1-7,0,0,35.227582,0,Jul-16,2018-08-28
만덕백양체육공원,N,2,24시간,부산광역시 북구 청소행정과,2,0,051-309-4464,부산광역시 북구 만덕1동 843,5,공중화장실,4,129.035584,0,부산광역시 북구 상리로 18번길 49(만덕동),0,0,35.205711,0,Jan-06,2018-08-28
화명대천천,N,2,06:00~18:00,부산광역시 북구 청소행정과,3,0,051-309-4464,부산광역시 북구 화명동 172-1,7,공중화장실,4,129.027337,1,부산광역시 북구 화명2동 172-1,2,2,35.243834,0,Jul-08,2018-08-28
대천천애기소,N,0,24시간,부산광역시 북구 청소행정과,1,0,051-309-4464,부산광역시 북구 화명2동 산148,1,공중화장실,1,129.027337,0,부산광역시 북구 화명2동 산148,0,0,35.243834,0,Jul-16,2018-08-28
화명정수장옆,N,0,24시간,부산광역시 북구 청소행정과,1,0,051-309-4464,부산광역시 북구 화명동 산176,2,공중화장실,1,129.027337,0,부산광역시 북구 화명1동 산185,0,0,35.243834,0,Jul-16,2018-08-28
화명게이트볼장,N,0,24시간,부산광역시 북구 청소행정과,1,0,051-309-4464,부산광역시 북구 화명동 1740,1,공중화장실,1,129.007322,0,부산광역시 북구 화명3동 1718-7,0,0,35.239754,0,Jul-17,2018-08-28
금곡지구,N,0,24시간,부산광역시 북구 청소행정과,1,2,051-309-4464,부산광역시 북구 금곡동 1873,4,공중화장실,0,129.010912,0,부산광역시 북구 금곡동 1873,0,0,35.251989,0,Jun-16,2018-08-28
야시곡공원,Y,0,24시간,부산광역시 사상구청,1,0,051-310-4441,부산광역시 사상구 모라동 1325,1,공중화장실,2,128.994787,0,,0,0,35.194774,0,,2018-02-19
