화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
수안체육공원,N,1,24시간,부산광역시 동래구청,1,0,051-550-4441,부산광역시 동래구 수안동 7-11,2,공중화장실,1,129.08113,0,,0,0,35.199169,1,Dec-04,2018-04-02
사적공원(하),N,0,24시간,부산광역시 동래구청,1,0,051-550-4441,부산광역시 동래구 명륜동 산26-2,1,공중화장실,1,129.092442,0,,0,0,35.21066,0,Mar-02,2018-04-02
사적공원(상),N,0,24시간,부산광역시 동래구청,1,0,051-550-4441,부산광역시 동래구 칠산동 산1,1,공중화장실,1,129.09403,0,,0,0,35.20809,0,Mar-02,2018-04-02
철학로 공중화장실,N,0,24시간,부산광역시 동래구청,1,0,051-550-4441,부산광역시 동래구 온천동 산177-2,1,공중화장실,1,129.05209,0,,0,0,35.21304,0,Mar-12,2018-04-02
금강대 공중화장실,N,0,24시간,부산광역시 동래구청,1,0,051-550-4441,부산광역시 동래구 온천동 산143-3,2,공중화장실,1,129.05928,0,,0,0,35.21304,0,Mar-13,2018-04-02
수영강변친수공간,N,0,24시간,부산광역시 동래구청,1,0,051-550-4441,부산광역시 동래구 안락동 1063-1,2,공중화장실,1,129.114277,0,,0,0,35.194017,0,Dec-06,2018-04-02
쇠미산 공중화장실,N,0,24시간,부산광역시 동래구청,1,0,051-550-4441,부산광역시 동래구 사직동 산7-1,3,공중화장실,2,129.047329,0,,0,0,35.202356,0,Mar-14,2018-04-02
물놀이장(온천변),N,0,24시간,부산광역시 동래구청,3,0,051-550-6642,부산광역시 동래구 온천동 37-1,4,공중화장실,4,129.071187,0,부산광역시 동래구 중앙대로 1324 (온천동),0,0,35.21337,0,Dec-98,2018-04-02
장미(온천변),N,0,24시간,부산광역시 동래구청,1,0,051-550-6642,부산광역시 동래구 안락동 97-2,1,공중화장실,1,129.10408,0,,0,0,35.193764,0,Mar-04,2018-04-02
벚꽃(온천변),N,0,24시간,부산광역시 동래구청,1,0,051-550-6642,부산광역시 동래구 수안동 50-2,2,공중화장실,1,129.085006,0,부산광역시 동래구 온천천로 288 (수안동),0,0,35.195424,0,Mar-03,2018-04-02
영산홍(온천변),N,0,24시간,부산광역시 동래구청,1,0,051-550-6642,부산광역시 동래구 안락동 34-2,2,공중화장실,1,129.10408,0,,0,0,35.193764,0,Mar-03,2018-04-02
칸나(온천변),N,0,24시간,부산광역시 동래구청,1,0,051-550-6642,부산광역시 동래구 안락동 82-4,2,공중화장실,1,129.104337,0,,0,0,35.193764,0,Mar-03,2018-04-02
수안인정시장,N,0,24시간,부산광역시 동래구청,2,0,051-550-4914,부산광역시 동래구 수안동 385-1,5,공중화장실,3,129.086844,0,부산광역시 동래구 충렬대로237번가길 28 (수안동),0,0,35.202298,0,Mar-13,2018-04-02
노인쉼터,N,0,24시간,부산광역시 동래구청,1,0,051-550-6642,부산광역시 동래구 안락동 684-4,1,공중화장실,1,129.100988,0,,0,0,35.191579,0,Mar-03,2018-04-02
낙민공원,Y,0,24시간,부산광역시 동래구청,0,0,051-550-4502,부산광역시 동래구 낙민동 92-8,1,공중화장실,1,129.097235,0,,0,0,35.195602,0,Mar-01,2018-04-02
명장배수지상부 체육공원,N,0,24시간,부산광역시 동래구청,1,0,051-550-4484,부산광역시 동래구 명장동 419-1,2,공중화장실,1,129.110477,0,,0,0,35.207152,0,Mar-06,2018-04-02
부산현대주유소,N,0,08:00~20:00,부산광역시 연제구청,2,0,051-665-4446,부산광역시 연제구 거제동 891-2,2,개방화장실,2,129.0574578,0,부산광역시 연제구 아시아드대로 107 (연산동),0,0,35.1938166,0,,2018-08-21
온천천시민공원2수국,N,0,24시간,부산광역시 연제구청,1,0,051-665-4446,부산광역시 연제구 거제1동 1462-42,2,공중화장실,1,129.0881891,0,부산광역시 연제구 온천천공원길 68,0,0,35.1944254,1,,2018-08-21
온천천시민공원4영산홍,N,0,24시간,부산광역시 연제구청,1,0,051-665-4446,부산광역시 연제구 연산9동 2042-1,1,공중화장실,1,129.102168,0,부산광역시 연제구 연산동 2042-1(도로명주소x),0,0,35.190858,0,,2018-08-21
남문초등학교,N,1,09:00~18:00,부산광역시 연제구청,6,2,051-665-4446,부산광역시 연제구 거제동 1474,12,개방화장실,11,129.069483,0,부산광역시 연제구 법원북로23(거제동),0,0,35.194467,1,,2018-08-21
