화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
부전역(철도),N,1,09:00~18:00,부전역(철도),4,1,051-809-5774,,8,개방화장실,4,129.0605083,0,부산광역시 부산진구 부전로 181,0,0,35.16404282,1,,2018-03-22
지하철 부전동역,N,1,09:00~18:00,지하철 부전동역,7,1,051-803-3432,,8,개방화장실,7,129.0630099,0,부산광역시 부산진구 중앙대로 786,0,0,35.16263407,1,,2018-03-22
지하철 서면역,N,1,09:00~18:00,지하철 서면역,8,1,051-803-9431,,8,개방화장실,8,129.0590375,0,부산광역시 부산진구 중앙대로 730,0,0,35.15776331,1,,2018-03-22
지하철 양정역,N,1,09:00~18:00,지하철 양정역,7,1,051-864-4971,,8,개방화장실,7,129.0712212,0,부산광역시 부산진구 중앙대로 930,0,0,35.17296537,1,,2018-03-22
지하철 전포역,N,1,09:00~18:00,지하철 전포역,7,1,051-817-6974,,8,개방화장실,7,129.065365,0,부산광역시 부산진구 전포대로 181,0,0,35.15283615,1,,2018-03-22
지하철 가야역,N,1,09:00~18:00,지하철 가야역,7,1,051-894-7181,,8,개방화장실,7,129.0421752,0,부산광역시 부산진구 가야대로 643-1,0,0,35.15605184,1,,2018-03-22
지하철 동의대역,N,1,09:00~18:00,지하철 동의대역,7,1,051-893-2738,,8,개방화장실,7,129.0325525,0,부산광역시 부산진구 가야대로 554,0,0,35.15404011,1,,2018-03-22
지하철 개금역,N,1,09:00~18:00,지하철 개금역,7,1,051-898-0868,,8,개방화장실,7,129.0203739,0,부산광역시 부산진구 가야대로 442,0,0,35.15319492,1,,2018-03-22
지하철 범내골역,N,1,09:00~18:00,지하철 범내골역,6,1,051-643-1963,,8,개방화장실,6,129.059236,0,부산광역시 부산진구 중앙대로 612,0,0,35.14735691,1,,2018-03-22
지하철 부암역,N,1,09:00~18:00,지하철 부암역,6,1,051-819-4190,,7,개방화장실,6,129.0504264,0,부산광역시 부산진구 가야대로 719,0,0,35.1574372,1,,2018-03-22
부전1동주민센터,N,0,09:00~18:00,부산광역시 부산진구 부전1동주민센터,1,0,051-605-4901,,1,개방화장실,1,129.0586284,0,부산광역시 부산진구 새싹로28번길 28,0,0,35.16034038,0,,2018-03-22
전포지구대,Y,0,09:00~18:00,전포지구대,1,0,051-805-4044,,0,개방화장실,1,129.0630099,0,부산광역시 부산진구 중앙대로 지하 786,0,0,35.16263407,0,,2018-03-22
부산진경찰서,N,0,09:00~18:00,부산진경찰서,6,0,051-806-7000,,8,개방화장실,6,129.0544091,0,부산광역시 부산진구 부전로111번길 6,0,0,35.16029308,0,,2018-03-22
