화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
유엔기념공원주차장,N,1,상시,부산광역시 남구청,2,0,051-607-4442,부산광역시 남구 대연4동 779-3,2,공중화장실,3,129.0954358,0,,0,0,35.12741882,1,Jan-86,2018-07-31
우룡산평화공원,N,0,상시,부산광역시 남구청,1,0,051-607-4442,부산광역시 남구 대연1동 산165-9,2,공중화장실,1,129.0815447,0,,0,0,35.13120887,0,Jan-18,2018-07-31
신선대유원지입구,N,0,상시,부산광역시 남구청,1,0,051-607-4442,부산광역시 남구 용호4동 산241-7,2,공중화장실,1,129.1047409,0,,0,0,35.10521878,0,Jan-18,2018-07-31
신선대유원지정상,N,0,상시,부산광역시 남구청,1,0,051-607-4442,부산광역시 남구 용당동 산170,2,공중화장실,1,129.1013044,0,,0,0,35.10326342,0,Jan-18,2018-07-31
이기대공원큰고개쉼터,N,0,상시,부산광역시 남구청,1,0,051-607-4442,부산광역시 남구 용호동 산118-2,3,공중화장실,2,129.1222976,0,,0,0,35.11293287,0,Jan-18,2018-07-31
이기대공원매점옆,N,0,상시,부산광역시 남구청,1,0,051-607-4442,부산광역시 남구 용호동 산28-1,2,공중화장실,2,129.1242702,0,,0,0,35.12183055,0,Jan-18,2018-07-31
이기대공원공룡발자국,N,0,상시,부산광역시 남구청,1,0,051-607-4442,부산광역시 남구 용호동 산28-1,2,공중화장실,2,129.1242702,0,,0,0,35.12183055,0,Jan-18,2018-07-31
이기대공원관리초소입구,N,1,상시,부산광역시 남구청,0,0,051-607-4442,부산광역시 남구 용호동 산28-1,2,공중화장실,1,129.1242702,0,,0,0,35.12183055,1,Jan-18,2018-07-31
대연5동체육공원,N,0,상시,부산광역시 남구청,1,0,051-607-4442,부산광역시 남구 대연5동 산127-5,1,공중화장실,1,129.0869354,0,,0,0,35.14110458,0,Jan-18,2018-07-31
용호1동체육공원,N,0,상시,부산광역시 남구청,1,0,051-607-4442,부산광역시 남구 용호동 산59,2,공중화장실,1,129.1059572,0,,0,0,35.12111933,0,Jan-18,2018-07-31
용호2동체육공원,N,0,상시,부산광역시 남구청,1,0,051-607-4442,부산광역시 남구 용호동 산157-2,2,공중화장실,1,129.1191222,0,,0,0,35.11278658,0,Jan-18,2018-07-31
문현1동체육공원,N,0,상시,부산광역시 남구청,1,0,051-607-4442,부산광역시 남구 문현1동 산7,2,공중화장실,1,129.0807403,0,,0,0,35.14701102,0,Jan-18,2018-07-31
황령산바람고개,N,0,상시,부산광역시 남구청,1,0,051-607-4442,부산광역시 남구 대연3동 산54-34,2,공중화장실,1,129.0834562,0,,0,0,35.14990932,0,Jan-18,2018-07-31
백운포테니스장입구,N,1,상시,부산광역시 남구청,1,0,051-607-4442,부산광역시 남구 용호4동 895-3,3,공중화장실,3,129.110503,0,,0,0,35.10329101,1,Jan-18,2018-07-31
유엔조각공원,N,1,상시,부산광역시 남구청,4,0,051-607-4442,부산광역시 남구 대연4동 779-1,7,공중화장실,4,129.096696,0,,0,0,35.12848562,1,Jan-18,2018-07-31
장자산체육공원,N,0,상시,부산광역시 남구청,1,0,051-607-4442,부산광역시 남구 용호3동 산22,1,공중화장실,1,129.1186376,0,,0,0,35.12185348,0,Jan-18,2018-07-31
유선정체육공원,N,0,상시,부산광역시 남구청,1,0,051-607-4442,부산광역시 남구 용호4동 산85-4,1,공중화장실,1,129.1070271,0,,0,0,35.10934601,0,Jan-18,2018-07-31
황령산편백나무단지,N,0,상시,부산광역시 남구청,1,0,051-607-4442,부산광역시 남구 대연3동 산53-1,2,공중화장실,1,129.0841628,0,,0,0,35.15627736,0,Jan-18,2018-07-31
백운포체육공원(마사구장,N,1,상시,부산광역시 남구청,1,0,051-607-4442,부산광역시 남구 용호4동 895-3,3,공중화장실,3,129.110503,0,,0,0,35.10329101,1,Jan-18,2018-07-31
황령산 문현약수터,N,0,상시,부산광역시 남구청,1,0,051-607-4442,부산광역시 남구 문현1동 산10,2,공중화장실,1,129.0803991,0,,0,0,35.14912199,0,Jan-18,2018-07-31
문수사입구,N,0,상시,부산광역시 남구청,2,0,051-607-4442,부산광역시 남구 용당동 599-4,5,공중화장실,3,129.0916974,0,,0,0,35.12226751,0,Jan-18,2018-07-31
