화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
승학산60초소경계,N,0,연중,부산광역시 사하구청,2,0,051-220-4925,,3,간이화장실,2,128.992668,0,부산광역시 사하구 당리동 1-4,0,0,35.123117,0,Jan-15,2018-07-26
승학산61서구경계,N,0,연중,부산광역시 사하구청,2,0,051-220-4545,,4,간이화장실,2,128.992668,0,부산광역시 사하구 당리동 1-4,0,0,35.123117,0,Jan-12,2018-07-26
승학산62초소경계,N,0,연중,부산광역시 사하구청,1,0,051-220-4545,,3,간이화장실,2,128.992668,0,부산광역시 사하구 당리동 1-4,0,0,35.123117,0,Jan-14,2018-07-26
동매산체육공원,N,0,연중,부산광역시 사하구청,1,0,051-220-4545,,2,간이화장실,2,128.969338,0,부산광역시 사하구 신평동 산77-2,0,0,35.096838,0,Jan-11,2018-07-26
제석골체육공원,N,0,연중,부산광역시 사하구청,1,0,051-220-4545,,2,간이화장실,1,128.989918,0,부산광역시 사하구 당리동 산5-1,0,0,35.114496,0,Jan-12,2018-07-26
아미산35초소경계,N,0,연중,부산광역시 사하구청,2,0,051-220-4545,,3,간이화장실,2,128.964724,0,부산광역시 사하구 다대동 산31-5,0,0,35.066285,0,Jan-17,2018-07-26
옥녀봉화장실,N,0,연중,부산광역시 사하구청,1,0,051-220-4545,,2,간이화장실,1,129.003208,0,부산광역시 사하구 감천동 산66-12,0,0,35.093623,0,Jan-11,2018-07-26
로울러경기장,N,0,연중,부산광역시 사하구청,3,0,051-220-4124,,3,공중화장실,5,128.948466,0,부산광역시 사하구 하단동 1149-2,0,0,35.111058,0,Jan-16,2018-07-26
을숙도대교화장실,N,0,연중,부산광역시 사하구청,1,0,051-220-4925,,1,간이화장실,2,128.954213,0,부산광역시 사하구 신평동 666,0,0,35.085787,0,Jan-12,2018-07-26
다대운전기사휴게소,N,0,연중,부산광역시 사하구청,1,0,051-220-4925,,1,공중화장실,2,128.957696,0,부산광역시 사하구 다대동 1521-1,0,0,35.054999,0,Jan-10,2018-07-26
다대레포츠광장옆,N,1,연중,부산광역시 사하구청,2,0,051-220-4925,,2,간이화장실,1,128.984807,0,부산광역시 사하구 다대동 1592,0,0,35.060215,0,Jan-13,2018-07-26
장림유수지화장실,N,0,연중,부산광역시 사하구청,1,0,051-220-4925,,2,공중화장실,2,128.967996,0,부산광역시 사하구 장림동 776,0,0,35.083194,0,Jan-14,2018-07-26
감천문화마당,N,0,연중,부산광역시 사하구청,1,0,051-220-5917,,2,공중화장실,2,129.008049,0,부산광역시 사하구 감천동 12-427,0,0,35.094311,0,Jan-11,2018-07-26
