화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
고동바위공원,Y,0,24시간,부산광역시 사상구청,1,0,051-310-4441,부산광역시 사상구 모라동 1359,1,공중화장실,2,128.990399,0,,0,0,35.188482,0,,2018-02-19
서당골공원,N,0,24시간,부산광역시 사상구청,1,0,051-310-4441,부산광역시 사상구 모라동 75-15,2,공중화장실,1,129.000365,0,,0,0,35.181158,1,,2018-02-19
모라백양공원,Y,0,24시간,부산광역시 사상구청,1,0,051-310-4441,부산광역시 사상구 모라동 75-5,1,공중화장실,2,129.002108,0,,0,0,35.182205,0,,2018-02-19
운수공원,Y,0,24시간,부산광역시 사상구청,1,0,051-310-4441,부산광역시 사상구 모라동 75-3,1,공중화장실,2,129.001088,0,,0,0,35.183857,0,,2018-02-19
덕포체육공원,N,0,24시간,부산광역시 사상구청,1,0,051-310-4441,부산광역시 사상구 덕포동 763,1,공중화장실,2,128.988984,0,,0,0,35.178264,0,,2018-02-19
덕포백양공원,Y,0,24시간,부산광역시 사상구청,1,0,051-310-4441,부산광역시 사상구 덕포동 776-1,1,공중화장실,2,128.989595,0,,0,0,35.174921,0,,2018-02-19
창신공원,Y,0,24시간,부산광역시 사상구청,1,0,051-310-4441,부산광역시 사상구 주례동 294,1,공중화장실,2,129.004758,0,,0,0,35.155916,0,,2018-02-19
양지1공원,Y,0,24시간,부산광역시 사상구청,1,0,051-310-4441,부산광역시 사상구 주례동 306,1,공중화장실,2,129.002964,0,,0,0,35.154937,0,,2018-02-19
양지2공원,N,1,24시간,부산광역시 사상구청,1,0,051-310-4441,부산광역시 사상구 주례동 314,3,공중화장실,2,129.004466,0,,0,0,35.154104,1,,2018-02-19
주례백양공원,Y,0,24시간,부산광역시 사상구청,1,0,051-310-4441,부산광역시 사상구 주례동 961,1,공중화장실,2,128.998175,0,,0,0,35.155407,0,,2018-02-19
구덕공원,N,0,24시간,부산광역시 사상구청,1,0,051-310-4441,부산광역시 사상구 학장동 168-6,1,공중화장실,2,128.990585,0,,0,0,35.139394,0,,2018-02-19
기사휴게소,N,0,24시간,부산광역시 사상구청,1,0,051-310-4441,부산광역시 사상구 덕포동 784,1,공중화장실,2,128.988387,0,,0,0,35.173075,0,,2018-02-19
운수사,N,1,24시간,부산광역시 사상구청,2,0,051-310-4441,부산광역시 사상구 모라동 산 5,6,공중화장실,1,129.013453,0,,0,0,35.184345,1,,2018-02-19
새밭마을 행복센터,N,0,24시간,부산광역시 사상구청,1,0,051-310-4441,부산광역시 사상구 학장동 585-42,1,공중화장실,2,128.978574,0,,0,0,35.139528,0,,2018-02-19
엄궁제2공원,N,0,24시간,부산광역시 사상구청,1,0,051-310-4441,부산광역시 사상구 엄궁동 669-4,2,공중화장실,1,128.979803,0,,0,0,35.128151,0,,2018-02-19
5대대계곡,N,0,24시간,부산광역시 사상구청,1,0,051-310-4441,부산광역시 사상구 모라동 산 31,2,공중화장실,1,129.003476,0,,0,0,35.182165,0,,2018-02-19
운수천계곡(1),N,0,24시간,부산광역시 사상구청,1,0,051-310-4441,부산광역시 사상구 모라동 산 88,2,공중화장실,1,129.006264,0,,0,0,35.186585,0,,2018-02-19
운수천계곡(2),N,0,24시간,부산광역시 사상구청,1,0,051-310-4441,부산광역시 사상구 모라동 산 88,2,공중화장실,1,129.008294,0,,0,0,35.185427,0,,2018-02-19
운수천공간쉼터,N,0,24시간,부산광역시 사상구청,2,0,051-310-4441,부산광역시 사상구 모라동 산 93,3,공중화장실,1,129.008361,0,,0,0,35.186279,0,,2018-02-19
