화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
꽃마을,N,0,연중무휴,부산광역시 서구청,2,0,051-240-4442,부산광역시 서구 서대신3가 산 18-1,3,공중화장실,3,129.007161,0,부산광역시 서구 꽃마을로 89,0,0,35.127171,0,Jan-83,2018-08-14
구덕문화공원(인공폭포 앞),N,0,연중무휴,부산광역시 서구청,1,0,051-240-3522,부산광역시 서구 서대신3가 산18-15,1,공중화장실,2,129.005143,0,부산광역시 서구 꽃마을로163번길 73,0,0,35.126318,1,Jan-04,2018-08-14
임해 행정봉사실,N,0,연중무휴,부산광역시 서구청,3,0,051-240-4442,부산광역시 서구 암남동 135-5,8,공중화장실,8,129.018026,0,부산광역시 서구 송도해변로 100,0,0,35.076987,0,Jan-05,2018-08-14
해양 레포츠센터,N,0,연중무휴,부산광역시 서구청,3,0,051-240-4442,부산광역시 서구 암남동 135-5,9,공중화장실,7,129.016411,0,부산광역시 서구 송도해변로50,0,0,35.073765,1,Jan-13,2018-08-14
아미골 체육공원,N,0,연중무휴,부산광역시 서구청,1,0,051-240-4442,부산광역시 서구 아미동2가 237-30,2,공중화장실,2,129.016609,0,부산광역시 서구 까치고개로 130-8,0,0,35.100571,0,Jan-03,2018-08-14
구덕야영장,N,1,연중무휴,부산광역시 서구청,2,0,051-240-4461,부산광역시 서구 서대신동3가 산 2-1,11,공중화장실,5,129.008812,0,부산광역시 서구 보수대로 320번길 59,0,0,35.127395,1,Jan-97,2018-08-14
구덕문화공원,N,1,연중무휴,부산광역시 서구청,4,0,051-240-3521,부산광역시 서구 서대신3가 산 18-1,4,공중화장실,4,129.005881,0,부산광역시 서구 꽃마을로89,0,0,35.126229,1,Jan-04,2018-08-14
해안시장내,N,0,연중무휴,부산광역시 서구청,1,0,051-240-4531,부산광역시 서구 충무동1가 43-1,5,공중화장실,4,129.025281,0,부산광역시 서구 해안새벽시장길2,0,0,35.094287,0,Jan-09,2018-08-14
송림공원 내,N,1,연중무휴,부산광역시 서구청,2,0,051-240-4531,부산광역시 서구 암남동 124-1,3,공중화장실,2,129.023277,0,부산광역시 서구 송도해변로 171,0,0,35.076776,1,Jan-10,2018-08-14
암남동 예비군교장,N,0,연중무휴,부산광역시 서구청,1,0,051-240-4442,부산광역시 서구 암남동 산87-1,2,공중화장실,2,129.013128,0,부산광역시 서구 암남공원로522번길 160,0,0,35.073972,0,Jan-10,2018-08-14
암남공원(풍차),N,0,연중무휴,부산광역시 서구청,1,0,051-240-4531,부산광역시 서구 암남동 193,2,공중화장실,2,129.014599,0,부산광역시 서구 암남공원로 185,0,0,35.058681,0,Jan-14,2018-08-14
남항대교 밑,N,0,연중무휴,부산광역시 서구청,2,0,051-240-4531,부산광역시 서구 암남동 123-34,4,공중화장실,2,129.024812,0,부산광역시 서구 충무대로 94번길 40,0,0,35.078907,0,Jan-09,2018-08-14
내원정사옆,N,0,연중무휴,부산광역시 서구청,1,0,051-240-4442,부산광역시 서구 암남동 산2-1,2,공중화장실,1,129.012747,0,부산광역시 서구 보수대로320번길 59,0,0,35.125986,0,Jun-18,2018-08-14
암남항,N,0,연중무휴,부산광역시 서구청,1,0,051-240-4442,부산광역시 서구 암남동 135-10,2,공중화장실,1,129.018818,0,부산광역시 서구 송도해변로 10-3,0,0,35.070973,0,Jun-18,2018-08-14
