화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
광안리해수욕장(모래사장) 공중화장실,N,1,24시,부산광역시 수영구청 자원순환과,3,0,051-610-4445,부산광역시 수영구 광안2동 282-3,4,공중화장실,3,129.115317,0,부산광역시 수영구 광안해변로 138(광안동),0,0,35.14887,1,Jan-85,2018-07-03
소라화장실,N,1,24시,부산광역시 수영구청 자원순환과,5,0,051-610-4445,부산광역시 수영구 광안2동 198-3,11,공중화장실,7,129.116127,0,부산광역시 수영구 남천바다로33번길(광안동),0,0,35.151619,1,18-Jan,2018-07-03
광안리해수욕장 생활문화센터(지하) 공중화장실,N,1,24시,부산광역시 수영구청 자원순환과,7,0,051-610-4445,부산광역시 수영구 광안2동 192-20,12,공중화장실,10,129.118533,0,부산광역시 수영구 광안해변로 219(광안동),0,0,35.154059,1,Jan-00,2018-07-03
민락타운 내 공중화장실,N,0,24시,부산광역시 수영구청 자원순환과,3,0,051-610-4445,부산광역시 수영구  181-84,5,공중화장실,4,129.123815,0,부산광역시 수영구 민락수변로 1(민락동),0,0,35.155832,1,Jan-98,2018-07-03
수변공원 제1공중화장실,N,1,24시,부산광역시 수영구청 자원순환과,3,0,051-610-4445,부산광역시 수영구 민락동 110-27,4,공중화장실,6,129.130958,0,부산광역시 수영구 민락수변로 95(민락동),0,0,35.15509,1,Jan-98,2018-07-03
수변공원 제2공중화장실,N,1,24시,부산광역시 수영구청 자원순환과,2,0,051-610-4445,부산광역시 수영구 민락동 110-18,5,공중화장실,5,129.13434,0,부산광역시 수영구 민락수변로 129(민락동),0,0,35.156123,1,18-Jan,2018-07-03
수영공원 내 공중화장실,N,1,24시,부산광역시 수영구청 자원순환과,3,0,051-610-4445,부산광역시 수영구 수영동 229-1,5,공중화장실,5,129.113894,0,부산광역시 수영구 수영성로 43(수영동),0,0,35.171348,1,Jan-00,2018-07-03
수영팔도 상가시장 공중화장실,N,1,24시,부산광역시 수영구청 자원순환과,2,0,051-610-4445,부산광역시 수영구 수영동 15-2,5,공중화장실,3,129.117667,0,부산광역시 수영구 수영로725번길 20-8(수영동),0,0,35.169379,1,18-Jan,2018-07-03
수영강변로 공중화장실,N,1,24시,부산광역시 수영구청 자원순환과,1,0,051-610-4445,부산광역시 수영구 망미동 985번지,3,공중화장실,2,129.118559,0,,0,0,35.176121,1,18-Jan,2018-07-03
금련산 제1호 간이화장실,N,0,24시,부산광역시 수영구청 자원순환과,1,0,051-610-4445,부산광역시 수영구 남천동 산26-1,2,공중화장실,1,129.10542,0,,0,0,35.149424,0,Jan-98,2018-07-03
금련산 제3호 간이화장실,N,0,24시,부산광역시 수영구청 자원순환과,1,0,051-610-4445,부산광역시 수영구 광안4동 산61-2,2,공중화장실,1,129.102417,0,,0,0,35.15325,0,Jan-98,2018-07-03
광안3동 간이화장실,N,0,24시,부산광역시 수영구청 자원순환과,1,0,051-610-4445,부산광역시 수영구 광안3동 산8-18,2,공중화장실,1,129.107003,0,,0,0,35.167228,0,18-Jan,2018-07-03
망미1동 간이화장실,N,0,24시,부산광역시 수영구청 자원순환과,1,0,051-610-4445,부산광역시 수영구 망미1동 산107-1,2,공중화장실,1,129.100256,0,,0,0,35.167323,0,18-Jan,2018-07-03
광안4동 간이화장실,N,0,24시,부산광역시 수영구청 자원순환과,1,0,051-610-4445,부산광역시 수영구 광안4동 산33-3,2,공중화장실,1,129.104484,0,,0,0,35.15906,0,18-Jan,2018-07-03
민락해변공원 내 공중화장실,N,1,24시,부산광역시 수영구청 자원순환과,2,0,051-610-4445,부산광역시 수영구 민락동 181-78,7,공중화장실,5,129.126591,0,,0,0,35.154508,1,18-Jan,2018-07-03
구 청구마트부지 내 공중화장실,N,0,24시,부산광역시 수영구청 자원순환과,2,0,051-610-4445,부산광역시 수영구 민락동 110-23,5,공중화장실,4,129.13286,0,,0,0,35.155344,0,18-Jan,2018-07-03
금련산 전망대 간이화장실,N,0,24시,부산광역시 수영구청 자원순환과,1,0,051-610-4445,부산광역시 수영구 광안4동 산39,1,공중화장실,1,129.097466,0,,0,0,35.159414,0,18-Jan,2018-07-03
수미초등학교,N,0,24시,부산광역시 수영구청 자원순환과,1,0,051-610-4445,부산광역시 수영구 망미동 760,2,개방화장실,1,129.103982,0,부산광역시 수영구 연수로310번길 91(망미동),0,0,35.168907,0,18-Jan,2018-07-03
수영자동차학원,N,0,24시,부산광역시 수영구청 자원순환과,3,0,051-610-4445,부산광역시 수영구 망미동 1117,3,개방화장실,3,129.116102,0,부산광역시 수영구 좌수영로210번길 24(망미동),0,0,35.184034,0,18-Jan,2018-07-03
삼익비치타운 노인정,N,0,24시,부산광역시 수영구청 자원순환과,2,0,051-610-4445,부산광역시 수영구 남천동 148-4,3,개방화장실,1,129.116751,0,부산광역시 수영구 광안해변로 100(남천동),0,0,35.141895,0,18-Jan,2018-07-03
팔도시장(야시장) 공중화장실,N,0,24시,부산광역시 수영구청 자원순환과,2,0,051-610-4445,부산광역시 수영구 수영동 183,2,공중화장실,2,129.116044,0,부산광역시 수영구 수영성로 28-5(수영동),0,0,35.170762,0,18-Jan,2018-07-03
해양레포츠센터 공중화장실,N,1,24시,부산광역시 수영구청 자원순환과,1,0,051-610-4445,부산광역시 수영구 남천동 148-2,3,공중화장실,3,129.113419,0,부산광역시 수영구 광안해변로54번길222(남천동),0,0,35.145675,1,18-Jan,2018-07-03
