화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
봉래산체육공원,N,0,24시간,부산광역시 영도구청,1,0,051-419-4445,부산광역시 영도구 청학동 산54-4,2,간이화장실,1,129.053743,0,,0,0,35.086513,0,Jan-17,2018-01-01
자연생태학습장,N,0,24시간,부산광역시 영도구청,1,0,051-419-4445,부산광역시 영도구 청학동 산54-11,2,간이화장실,2,129.057634,0,,0,0,35.084582,0,Jan-11,2018-01-01
파고라,N,0,24시간,부산광역시 영도구청,2,0,051-419-4445,부산광역시 영도구 영선동4가 1267,2,공중화장실,2,129.048191,0,,0,0,35.075589,0,Jan-99,2018-01-01
절영해안산책로2호,N,0,24시간,부산광역시 영도구청,1,0,051-419-4445,부산광역시 영도구 영선동4가 650-2,2,간이화장실,2,129.044505,0,,0,0,35.078682,0,Jan-17,2018-01-01
산정체육공원,N,0,24시간,부산광역시 영도구청,1,0,051-419-4445,부산광역시 영도구 신선동2가 182-1,2,간이화장실,2,129.049369,0,,0,0,35.086485,0,Jan-11,2018-01-01
봉산 약수터,N,0,24시간,부산광역시 영도구청,1,0,051-419-4445,부산광역시 영도구 봉래동5가산5,2,간이화장실,1,129.078078,0,,0,0,35.060493,0,Jan-13,2018-01-01
감지해변,N,1,24시간,부산광역시 영도구청,2,0,051-419-4445,부산광역시 영도구 동삼동산19-1,6,공중화장실,5,129.078078,0,,0,0,35.060493,1,Jan-10,2018-01-01
75광장,N,1,24시간,부산광역시 영도구청,3,0,051-419-4445,부산광역시 영도구 동삼동628-55,4,공중화장실,4,129.062209,0,,0,0,35.069981,1,Jan-08,2018-01-01
도로공원,N,0,24시간,부산광역시 영도구청,1,0,051-419-4445,부산광역시 영도구 동삼동산136-24,2,공중화장실,1,129.075889,0,,0,0,35.083777,0,Jan-14,2018-01-01
감지해변산책로 2호,N,0,24시간,부산광역시 영도구청,1,0,051-419-4445,부산광역시 영도구 동삼동산54,2,간이화장실,1,129.071145,0,,0,0,35.068335,0,Jan-10,2018-01-01
감지해변산책로 1호,N,0,24시간,부산광역시 영도구청,1,0,051-419-4445,부산광역시 영도구 동삼동산32,2,간이화장실,1,129.076681,0,,0,0,35.062667,0,Jan-13,2018-01-01
함지골 약수터,N,0,24시간,부산광역시 영도구청,1,0,051-419-4445,부산광역시 영도구 동삼동산149-5,1,간이화장실,1,129.055621,0,,0,0,35.076794,0,Jan-09,2018-01-01
절영해안산책로7호,N,0,24시간,부산광역시 영도구청,1,0,051-419-4445,부산광역시 영도구 동삼동산71-4,2,간이화장실,1,129.060594,0,,0,0,35.070009,0,Jan-09,2018-01-01
절영해안산책로6호,N,0,24시간,부산광역시 영도구청,1,0,051-419-4445,부산광역시 영도구 동삼동산71-4,1,간이화장실,1,129.060594,0,,0,0,35.070009,0,Jan-05,2018-01-01
흰여울마을,N,0,24시간,부산광역시 영도구청,1,0,051-419-4445,부산광역시 영도구 영선동4가 1150,1,공중화장실,1,129.046777,0,,0,0,35.076762,0,Jan-17,2018-01-01
사격장앞,N,1,24시간,부산광역시 영도구청,1,0,051-419-4445,부산광역시 영도구 동삼동628-61,3,공중화장실,2,129.069341,0,,0,0,35.074424,1,Jan-10,2018-01-01
절영해안산책로4호,N,0,24시간,부산광역시 영도구청,1,0,051-419-4445,부산광역시 영도구 동삼동 149-78,1,간이화장실,1,129.069341,0,,0,0,35.074424,0,Jan-09,2018-01-01
동삼해수천제2호,N,0,24시간,부산광역시 영도구청,1,0,051-419-4445,부산광역시 영도구 동삼1동1125,2,공중화장실,1,129.068395,0,,0,0,35.074901,0,Jan-16,2018-01-01
동삼해수천제1호,N,0,24시간,부산광역시 영도구청,1,0,051-419-4445,부산광역시 영도구 동삼1동1125,2,공중화장실,1,129.068395,0,,0,0,35.074901,0,Jan-16,2018-01-01
