화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
노인종합복지관,N,0,09:00~18:00,부산광역시 연제구청,4,1,051-665-4446,부산광역시 연제구 연산동 578-3,5,개방화장실,4,129.082008,0,부산광역시 연제구 거제천로230번길18(연산동),0,0,35.191015,0,,2018-08-21
연산4동주민센터,N,0,09:00~18:00,부산광역시 연제구청,1,0,051-665-4446,부산광역시 연제구 연산동 630-22,3,개방화장실,1,129.084942,0,부산광역시 연제구 쌍미천로151번길42(연산동),0,0,35.18628707,0,,2018-08-21
연산초등학교,N,1,09:00~18:00,부산광역시 연제구청,5,2,051-665-4446,부산광역시 연제구 연산동 774-1,14,개방화장실,11,129.0819212,0,부산광역시 연제구 월드컵대로 41(연산동),0,0,35.178278,1,,2018-08-21
부산시청,N,0,09:00~18:00,부산광역시 연제구청,5,0,051-665-4446,부산광역시 연제구 연산동 1000,6,개방화장실,3,129.074764,0,부산광역시 연제구 중앙대로1001(연산동),0,0,35.179665,0,,2018-08-21
연산5동행정복지센터,N,0,09:00~18:00,부산광역시 연제구청,1,0,051-665-4446,부산광역시 연제구 연산동 1478-1,1,개방화장실,1,129.076166,0,부산광역시 연제구 거제천로124번길15(연산동),0,0,35.184527,0,,2018-08-21
연산동역,N,0,05:00~24:00,부산광역시 연제구청,2,1,051-665-4446,부산광역시 연제구 연산동 1515-1,6,개방화장실,5,129.0814822,0,부산광역시 연제구 중앙대로 1017(연산동),0,0,35.1879708,0,,2018-08-21
건강가정지원센터,N,0,09:00~18:00,부산광역시 연제구청,1,0,051-665-4446,부산광역시 연제구 연산동 660-53,1,개방화장실,1,129.085754,0,부산광역시 연제구 월드컵대로46번길 11(연산동),0,0,35.178855,0,,2018-08-21
지하철 배산역,N,0,05:00~24:00,부산광역시 연제구청,3,1,051-665-4446,부산광역시 연제구 연산동 2121-14,7,개방화장실,7,129.096179,0,부산광역시 연제구 연수로 229,0,0,35.17366519,0,,2018-08-21
연제중학교,N,0,09:00~18:00,부산광역시 연제구청,6,1,051-665-4446,부산광역시 연제구 연산동 1777-10,9,개방화장실,11,129.089898,0,부산광역시 연제구 쌍미천로62(연산동),0,0,35.178882,0,,2018-08-21
동명초등학교,N,0,09:00~18:00,부산광역시 연제구청,3,1,051-665-4446,부산광역시 연제구 연산동 1784-19,4,개방화장실,4,129.090852,0,부산광역시 연제구 쌍미천로44번길17(연산동),0,0,35.178286,0,,2018-08-21
연제고등학교,N,0,09:00~18:00,부산광역시 연제구청,4,0,051-665-4446,부산광역시 연제구 연산동 2143,4,개방화장실,3,129.091678,0,부산광역시 연제구 쌍미천로30번길31(연산동),0,0,35.177734,0,,2018-08-21
연산동우체국,N,0,09:00~18:00,부산광역시 연제구청,1,0,051-665-4446,부산광역시 연제구 연산동 2133-54,1,개방화장실,1,129.092543,0,부산광역시 연제구 월드컵대로115(연산동),0,0,35.174052,0,,2018-08-21
부산경상대학교,N,1,09:00~18:00,부산광역시 연제구청,5,2,051-665-4446,부산광역시 연제구 연산동 277-4,13,개방화장실,14,129.099735,0,부산광역시 연제구 고분로170(연산동),0,0,35.184556,1,,2018-08-21
연천초등학교,N,0,09:00~18:00,부산광역시 연제구청,1,1,051-665-4446,부산광역시 연제구 연산동 378-11,4,개방화장실,1,129.098515,0,부산광역시 연제구 과정로225번길 46,0,0,35.186098,0,,2018-08-21
연산8동주민센터,N,0,09:00~18:00,부산광역시 연제구청,1,0,051-665-4446,부산광역시 연제구 연산동 408-20,2,개방화장실,1,129.101019,0,부산광역시 연제구 과정로251번길 33,0,0,35.187136,0,,2018-08-21
연일초등학교,N,1,09:00~18:00,부산광역시 연제구청,11,2,051-665-4446,부산광역시 연제구 연산동 1016,18,개방화장실,15,129.095961,0,부산광역시 연제구 고분로 126-4,0,0,35.18432104,1,,2018-08-21
연일중학교,N,1,09:00~18:00,부산광역시 연제구청,3,2,051-665-4446,부산광역시 연제구 연산동 1086,1,개방화장실,9,129.097226,0,부산광역시 연제구 고분로 138,0,0,35.184576,1,,2018-08-21
부산외국어고등학교,N,0,09:00~18:00,부산광역시 연제구청,3,1,051-665-4446,부산광역시 연제구 연산동 1110-2,3,개방화장실,5,129.097328,0,부산광역시 연제구 고분로 144,0,0,35.183453,1,,2018-08-21
부산과학교육원,N,0,09:00~18:00,부산광역시 연제구청,8,1,051-665-4446,부산광역시 연제구 연산동 3-1,17,개방화장실,9,129.100377,0,부산광역시 연제구 토곡로 66,0,0,35.18323291,0,,2018-08-21
부산교육연수원,N,0,09:00~18:00,부산광역시 연제구청,5,0,051-665-4446,부산광역시 연제구 연산동 3-1,7,개방화장실,7,129.100377,0,부산광역시 연제구 토곡로 66,0,0,35.18323291,0,,2018-08-21
부산동암학교,N,0,09:00~18:00,부산광역시 연제구청,3,1,051-665-4446,부산광역시 연제구 연산동 10-50,2,개방화장실,4,129.102252,0,부산광역시 연제구 톳고개로 48,0,0,35.181339,0,,2018-08-21
연천중학교,N,0,09:00~18:00,부산광역시 연제구청,3,1,051-665-4446,부산광역시 연제구 연산동 272,4,개방화장실,3,129.101565,0,부산광역시 연제구 톳고개로 16,0,0,35.184244,0,,2018-08-21
