화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
뱃들공원 공중화장실,N,1,00:00~24:00,보은군 산림녹지과,1,0,043-540-3214,충청북도 보은군 보은읍 이평리 116-1,1,공중화장실,3,127.720921,0,,0,0,36.487131,1,,2018-01-01
산림욕장 공중화장실,N,0,00:00~24:00,보은군 산림녹지과,1,0,043-540-3214,충청북도 보은군 보은읍 풍취리 산4-5,1,간이화장실,1,127.738032,0,충청북도 보은군 보은읍 보청대로 1665,0,0,36.495729,0,,2018-01-01
동학농민혁명기념공원 주차장 공중화장실,N,0,00:00~24:00,보은군 산림녹지과,1,0,043-540-3214,충청북도 보은군 보은읍 성족리 304,3,간이화장실,2,127.753521,0,,0,0,36.511708,0,,2018-01-01
동학농민혁명 기념공원 공중화장실,N,1,00:00~24:00,보은군 산림녹지과,1,0,043-540-3214,충청북도 보은군 보은읍 성족리 산16,5,공중화장실,3,127.757094,0,충청북도 보은군 보은읍 동학로 236-22,0,0,36.51578,1,,2018-01-01
상판리 정이품송 공중화장실,N,1,00:00~24:00,보은군 산림녹지과,3,0,043-540-3214,충청북도 보은군 속리산면 상판리 239,8,공중화장실,4,127.813051,0,충청북도 보은군 속리산면 법주사로 63,0,0,36.516948,0,,2018-01-01
보청지구 공중화장실,N,0,00:00~24:00,보은군 산림녹지과,1,0,043-540-3214,충청북도 보은군 수한면 병원리 279-1,1,간이화장실,1,127.674472,0,충청북도 보은군 수한면 보청대로 2301-39,0,0,36.474665,0,,2018-01-01
무궁화공원 공중화장실,N,0,00:00~24:00,보은군 탄부면사무소,1,0,043-540-4155,충청북도 보은군 탄부면 덕동리 38-3,2,공중화장실,2,127.77964,0,,0,0,36.424755,0,,2018-01-01
신대교 아래 공중화장실,N,0,00:00~24:00,보은군 탄부면사무소,0,0,043-540-4155,충청북도 보은군 탄부면 임한리 309-2,1,간이화장실,1,127.809476,0,,0,0,36.434622,0,,2018-01-01
임한리 솔밭 공중화장실,N,0,00:00~24:00,보은군 탄부면사무소,0,0,043-540-4155,충청북도 보은군 탄부면 임한리 116-1,1,간이화장실,1,127.802627,0,,0,0,36.447759,0,,2018-01-01
삼승면사무소 공중화장실,N,1,00:00~24:00,보은군 삼승면사무소,1,0,043-540-4183,충청북도 보은군 삼승면 원남리 210-5,2,개방화장실,2,127.72536,0,충청북도 보은군 삼승면 안내삼승로 687,0,0,36.395844,0,,2018-01-01
원남시장 공중화장실,N,0,00:00~24:00,보은군 삼승면사무소,1,0,043-540-4183,충청북도 보은군 삼승면 원남리 181-1,2,공중화장실,3,127.731356,0,충청북도 보은군 삼승면 원남로1길 15-12,0,0,36.396134,0,,2018-01-01
내망리 소공원 공중화장실,N,0,00:00~24:00,보은군 삼승면사무소,1,0,043-540-4183,충청북도 보은군 삼승면 내망리 570-1,1,공중화장실,1,127.732545,0,,0,0,36.396746,0,,2018-01-01
선곡리 소공원 공중화장실,N,0,00:00~24:00,보은군 삼승면사무소,1,0,043-540-4183,충청북도 보은군 삼승면 선곡리 324,1,간이화장실,1,127.716388,0,,0,0,36.435394,0,,2018-01-01
수한면사무소 공중화장실,N,0,00:00~24:00,보은군 수한면사무소,2,0,043-540-4212,충청북도 보은군 수한면 후평리 238,2,개방화장실,4,127.69672,0,충청북도 보은군 수한면 후평바리미길 13,0,0,36.479236,0,,2018-01-01
수리티재쉼터 공중화장실,N,0,00:00~24:00,보은군 수한면사무소,1,0,043-540-4212,충청북도 보은군 수한면 차정리 산20-3,0,간이화장실,0,127.641069,0,,0,0,36.478414,0,,2018-01-01
회인면사무소 공중화장실,N,1,00:00~24:00,보은군 회인면사무소,1,0,043-540-4273,충청북도 보은군 회인면 중앙리 172-2,2,개방화장실,1,127.594037,0,충청북도 보은군 회인면 회인로 81,0,0,36.494815,1,,2018-01-01
중앙리 터미널 공중화장실,N,1,00:00~24:00,보은군 회인면사무소,1,0,043-540-4273,충청북도 보은군 회인면 중앙리 59-14,2,공중화장실,2,127.595648,0,충청북도 보은군 회인면 회인로 32-1,0,0,36.490414,0,,2018-01-01
쌍암저수지 공중화장실,N,0,00:00~24:00,보은군 회인면사무소,1,0,043-540-4273,충청북도 보은군 회인면 쌍암리 산107-5,2,간이화장실,2,127.609406,0,,0,0,36.529531,0,,2018-01-01
구룡산 삼림욕장 공중화장실,N,0,00:00~24:00,보은군 회인면사무소,1,0,043-540-4273,충청북도 보은군 회인면 쌍암리 산128-1,2,간이화장실,2,127.624976,0,,0,0,36.540464,0,,2018-01-01
호점산성 공중화장실,N,0,00:00~24:00,보은군 회인면사무소,1,0,043-540-4273,충청북도 보은군 회인면 용곡리 229-1,1,간이화장실,0,127.574261,0,,0,0,36.468587,0,,2018-01-01
회남면사무소 공중화장실,N,1,00:00~24:00,보은군 회남면사무소,2,0,043-540-4247,충청북도 보은군 회남면 거교리 251,4,개방화장실,3,127.576855,0,충청북도 보은군 회남면 회남로 1901,0,0,36.445241,0,,2018-01-01
속리산매표소 밑 조각공원 공중화장실,N,0,00:00~24:00,보은군 산림녹지과,4,0,043-540-3214,충청북도 보은군 속리산면 사내리 산1-1,8,공중화장실,5,127.829621,0,충청북도 보은군 속리산면 법주사로 658-138,0,0,36.54266,0,,2018-01-01
삼년산성주차장 공중화장실,N,1,00:00~24:00,보은군 문화관광과,1,0,043-540-3374,충청북도 보은군 보은읍 성주리 11-6,4,공중화장실,3,127.735928,0,충청북도 보은군 보은읍 성주길 102,0,0,36.487329,0,,2018-01-01
문화예술회관 공중화장실,N,1,00:00~24:00,보은군 문화관광과,3,0,043-540-3755,충청북도 보은군 보은읍 이평리 125,3,개방화장실,6,127.721629,0,충청북도 보은군 보은읍 뱃들로 54,0,0,36.486902,1,,2018-01-01
보건소 공중화장실,N,1,00:00~24:00,보은군 보건소,1,0,043-540-5605,충청북도 보은군 보은읍 삼산리 170-2,3,개방화장실,2,127.714034,0,충청북도 보은군 보은읍 동광길 50,0,0,36.486624,1,,2018-01-01
생활체육공원 공중화장실(인조A구장),N,1,00:00~24:00,보은군 시설관리사업소,2,0,043-540-3466,충청북도 보은군 보은읍 이평리 9-1,3,공중화장실,4,127.72627,0,충청북도 보은군 보은읍 군청길 90,0,0,36.484965,1,,2018-01-01
생활체육공원 공중화장실(인조B구장),N,1,00:00~24:00,보은군 시설관리사업소,2,0,043-540-3466,충청북도 보은군 보은읍 성주리 346,3,공중화장실,4,127.729284,0,충청북도 보은군 보은읍 군청길 59-13,0,0,36.489007,1,,2018-01-01
보은공설운동장 공중화장실,N,1,00:00~24:00,보은군 시설관리사업소,1,0,043-540-3466,충청북도 보은군 보은읍 성주리 301-12,3,공중화장실,4,127.72854,0,,0,0,36.487383,1,,2018-01-01
삼승면 버스정류장 공중화장실,N,0,00:00~24:00,보은군 삼승면사무소,1,0,043-540-4185,충청북도 보은군 삼승면 원남리 532-12,1,간이화장실,1,127.730286,0,충청북도 보은군 삼승면 원남로 21,0,0,36.39549,0,,2018-01-01
