화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
송대공원,N,0,00:00~24:00,청주시 오창읍 오창산단관리팀,1,0,043-201-4654,충청북도 청주시 청원구 오창읍 주성리 312,3,공중화장실,3,127.439884,0,,0,0,36.725011,0,18-Jan,2018-01-01
양청공원,N,0,00:00~24:00,청주시 오창읍 오창산단관리팀,1,0,043-201-4654,충청북도 청주시 청원구 오창읍 각리  636-1,2,공중화장실,2,127.422577,0,,0,0,36.712431,0,18-Jan,2018-01-01
옥산잔디구장,N,0,00:00~24:00,청주시 오창읍 오창산단관리팀,1,0,043-201-4654,충청북도 청주시 청원구 옥산면 남촌리 1109,3,공중화장실,2,127.407342,0,,0,0,36.702865,0,18-Jan,2018-01-01
청남대매표소(경로당),N,0,00:00~24:00,청주시 상당구 문의면,1,0,043-201-4654,충청북도 청주시 상당구 미천리 148-29,2,공중화장실,2,127.498271,0,충청북도 청주시 상당구 문의면 문의시내로 8,0,0,36.514071,0,Jan-00,2018-01-01
문의체육공원,N,0,00:00~24:00,청주시 상당구 문의면,1,0,043-201-4654,충청북도 청주시 상당구 문의면 미천리 126-5,2,공중화장실,2,127.499862,0,,0,0,36.515462,0,Jan-93,2018-01-01
오창전통시장(버스정류장),N,0,00:00~24:00,청주시 청원구 오창읍,1,0,043-201-4654,충청북도 청주시 청원구 오창읍 장대리 286-6,1,공중화장실,1,127.456811,0,,0,0,36.741084,0,Jan-98,2018-01-01
오창전통시장,N,0,00:00~24:00,청주시 청원구 오창읍,1,0,043-201-4654,충청북도 청주시 청원구 오창읍 장대리 54-1,1,공중화장실,0,127.457466,0,,0,0,36.742029,0,Jan-00,2018-01-01
마로니에시공원,N,1,00:00~24:00,청주시 청원구청 농축산경제과,2,0,043-201-4654,충청북도 청주시 청원구 주중동 1024,5,공중화장실,2,127.494134,0,충청북도 청주시 청원구 주성로233번길 32 (주중동),0,0,36.672021,1,18-Jan,2018-01-01
초정문화공원,N,1,00:00~24:00,청주시 청원구청 농축산경제과,4,0,043-201-4654,충청북도 청주시 청원구 내수읍 초정리 64-2,7,공중화장실,3,127.601521,0,충청북도 청주시 청원구 내수읍 초정약수로 853-11,1,0,36.721709,1,18-Jan,2018-01-01
율봉공원,N,2,00:00~24:00,청주시 청원구청 농축산경제과,4,0,043-201-4654,충청북도 청주시 청원구 율량동 2236,8,공중화장실,4,127.486347,0,,0,0,36.663568,2,18-Jan,2018-01-01
