화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
온천광장공중화장실,N,0,24시간,충주시(무술공원관리팀),2,0,043-850-6750,충청북도 충주시 앙성면 능암리 706-1,5,공중화장실,4,127.79489,0,충청북도 충주시 앙성면 가곡로 1457,0,0,37.093782,0,Jan-08,2018-04-30
충주세계무술공원 야외화장실,N,1,24시간,충주시(무술공원관리팀),2,0,043-850-6750,충청북도 충주시 금릉동 601,6,공중화장실,3,127.904352,0,충청북도 충주시 남한강로 24(금릉동),0,0,36.988716,1,Jan-11,2018-04-30
중앙탑공원 야외화장실,N,2,24시간,충주시(관광시설팀),2,0,043-850-6730,충청북도 충주시 중앙탑면 탑평리 19,3,공중화장실,3,127.864321,0,충청북도 충주시 중앙탑면 탑정안길 6,0,0,37.016729,0,Jan-96,2018-04-30
탄산온천공중화장실,N,2,24시간,충주시(무술공원관리팀),2,0,043-850-6750,충청북도 충주시 앙성면 능암리 626,4,공중화장실,3,127.797233,0,충청북도 충주시 앙성면 능동3길 14,0,0,37.089669,0,Jan-08,2018-04-30
탄금공원(문화원)화장실,N,2,24시간,충주시(문화재팀),2,0,043-850-5980,충청북도 충주시 칠금동 산1-1,6,공중화장실,7,127.898477,0,충청북도 충주시 탄금대안길 33(칠금동),0,0,36.987253,0,Jan-94,2018-04-30
탄금공원(노래비)화장실,N,2,24시간,충주시(문화재팀),2,0,043-850-5980,충청북도 충주시 칠금동 산1-1,6,공중화장실,7,127.898477,0,충청북도 충주시 탄금대안길 33(칠금동),0,0,36.987253,0,Jan-94,2018-04-30
용산동시민휴식공원화장실,N,0,24시간,충주시(용산동),1,0,043-850-8375,충청북도 충주시 용산동 31,2,공중화장실,2,127.931223,0,충청북도 충주시 용산동,0,0,36.967092,0,Jan-10,2018-04-30
금제공원화장실,N,0,24시간,충주시(산림녹지과),2,0,043-850-5830,충청북도 충주시 금릉동 691,3,공중화장실,3,127.923545,0,충청북도 충주시 시청로 23,0,0,36.989578,0,Jan-91,2018-04-30
목행공원화장실,N,0,24시간,충주시(산림녹지과),2,0,043-850-5830,충청북도 충주시 목행동 669,2,공중화장실,2,127.914149,0,충청북도 충주시 행정3길 20,0,0,37.010779,0,Jan-95,2018-04-30
대가미공원화장실,N,2,24시간,충주시(산림녹지과),5,0,043-850-5830,충청북도 충주시 교현동 721-1,6,공중화장실,5,127.924253,0,충청북도 충주시 대가미13길 20,0,0,36.980572,0,Jan-90,2018-04-30
