화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
박달재,Y,1,00:00~24:00,충청북도 제천시청,2,0,043-641-6713,충청북도 제천시 백운면 평동리 705,6,개방화장실,3,128.32397,0,충청북도 제천시 백운면 박달로 231,0,0,37.084102,1,Jan-18,2018-01-01
매화공원,N,1,00:00~24:00,충청북도 단양군 매포읍사무소,2,0,043-420-3611,충청북도 단양군 매포읍 평동리 351-1,3,공중화장실,3,128.298446,0,,0,0,37.032253,1,Jan-18,2018-01-01
어상천 시장 화장실,N,0,00:00~24:00,충청북도 단양군 어상천면사무소,1,0,043-420-3911,충청북도 단양군 어상천면 임현리 1163-5,2,공중화장실,1,128.353565,0,충청북도 단양군 어상천면 어상천로 974-12,0,0,37.103426,0,Jan-18,2018-01-01
상학주차장,N,0,00:00~24:00,충청북도 단양군 적성면사무소,3,0,043-420-3961,충청북도 단양군 적성면 상리 829,6,공중화장실,6,128.273685,0,충청북도 단양군 적성면 상학1길 144,0,0,36.977331,0,Jan-18,2018-01-01
단성체육공원,N,1,00:00~24:00,충청북도 단양군 단성면사무소,2,0,043-420-3711,충청북도 단양군 단성면 상방리 201,5,공중화장실,3,128.321052,0,충청북도 단양군 단성면 충혼길 28-3,0,0,36.936265,1,Jan-18,2018-01-01
상방상가,N,0,00:00~24:00,충청북도 단양군 단성면사무소,3,0,043-420-3711,충청북도 단양군 단성면 상방리 188-1,4,공중화장실,4,128.321269,0,충청북도 단양군 단성면 상방5길 5,0,0,36.937338,0,Jan-89,2018-01-01
소선암매점,N,1,00:00~24:00,충청북도 단양군 단성면사무소,3,0,043-420-3711,충청북도 단양군 단성면 대잠리 356,3,공중화장실,3,128.306726,0,충청북도 단양군 단성면 선암계곡로 1482,0,0,36.919261,0,Jan-18,2018-01-01
소선암공원,N,1,00:00~24:00,충청북도 단양군 단성면사무소,4,0,043-420-3711,충청북도 단양군 단성면 대잠리 356,6,공중화장실,5,128.306726,0,충청북도 단양군 단성면 선암계곡로 1482,0,0,36.919261,1,Jan-18,2018-01-01
장회화장실,N,0,00:00~24:00,충청북도 단양군청,6,0,043-420-2684,충청북도 단양군 단성면 장회리 15-3,4,공중화장실,4,128.256022,0,충청북도 단양군 단성면 월악로 3827,0,0,36.930456,0,Jan-98,2018-01-01
사인암화장실,N,0,00:00~24:00,충청북도 단양군 대강면사무소,4,0,043-420-3761,충청북도 단양군 대강면 직티리 82-7,5,공중화장실,3,128.342775,0,충청북도 단양군 대강면 사인암로 386,0,0,36.89105,0,Jan-98,2018-01-01
장림리화장실,N,0,00:00~24:00,충청북도 단양군 대강면사무소,2,0,043-420-3761,충청북도 단양군 대강면 장림리 106-4,4,공중화장실,3,128.354274,0,충청북도 단양군 대강면 대강로 51,0,0,36.921619,0,Jan-18,2018-01-01
체육공원화장실,N,0,00:00~24:00,충청북도 단양군 대강면사무소,3,0,043-420-3761,충청북도 단양군 대강면 두음리 527,3,공중화장실,4,128.356992,0,충청북도 단양군 대강면 사인암로 760-9,0,0,36.919528,0,Jan-18,2018-01-01
방곡도예촌화장실,N,0,00:00~24:00,충청북도 단양군 대강면사무소,1,0,043-420-3761,충청북도 단양군 대강면 방곡리 356,4,공중화장실,2,128.31098,0,충청북도 단양군 대강면 선암계곡로 147,0,0,36.82755,0,Jan-18,2018-01-01
사동유원지 화장실,N,0,00:00~24:00,충청북도 단양군 대강면사무소,3,0,043-420-3761,충청북도 단양군 대강면 사동리 320-1,6,공중화장실,3,128.416178,0,충청북도 단양군 대강면 사동계곡로 200,0,0,36.847914,0,Jan-18,2018-01-01
새밭주차장,N,1,00:00~24:00,충청북도 단양군 가곡면사무소,3,0,043-420-3811,충청북도 단양군 가곡면 어의곡리 81-16,3,공중화장실,4,128.460141,0,충청북도 단양군 가곡면 새밭로 844,0,0,36.987956,1,Jan-18,2018-01-01
새밭야영장,N,0,00:00~24:00,충청북도 단양군 가곡면사무소,2,0,043-420-3811,충청북도 단양군 가곡면 어의곡리 691,3,공중화장실,2,128.460141,0,충청북도 단양군 가곡면 새밭로 845,0,0,36.987956,0,Jan-18,2018-01-01
사평화장실,N,0,00:00~24:00,충청북도 단양군 가곡면사무소,2,0,043-420-3811,충청북도 단양군 가곡면 사평리 489-1,4,공중화장실,2,128.384149,0,충청북도 단양군 가곡면 남한강로 520,0,0,37.025727,0,Jan-18,2018-01-01
상방놋재,N,0,00:00~24:00,충청북도 단양군 단성면사무소,2,0,043-420-3711,충청북도 단양군 단성면 상방리 107-3,3,공중화장실,4,128.325025,0,충청북도 단양군 단성면 월악로 4660,0,0,36.93517,0,Jan-89,2018-01-01
문화마루 화장실,N,1,00:00~24:00,충청북도 단양군 단양읍사무소,2,0,043-420-3511,충청북도 단양군 단양읍 도전리 636,5,공중화장실,4,128.371195,0,충청북도 단양군 단양읍 수변로 82,0,0,36.982641,1,Jan-84,2018-01-01
고수동굴 후문화장실,N,1,00:00~24:00,충청북도 단양군 단양읍사무소,2,0,043-420-3511,충청북도 단양군 단양읍 고수리 45-1,3,공중화장실,4,128.383189,0,충청북도 단양군 단양읍 다리안로 119-4,0,0,36.988647,1,Jan-18,2018-01-01
수변시범화장실,N,1,00:00~24:00,충청북도 단양군 단양읍사무소,4,0,043-420-3511,충청북도 단양군 단양읍 도전리 495,5,공중화장실,7,128.36974,1,충청북도 단양군 단양읍 도전3로 15,0,0,36.979713,1,Jan-95,2018-01-01
고수동굴 주차장화장실,N,1,00:00~24:00,충청북도 단양군 단양읍사무소,3,0,043-420-3511,충청북도 단양군 단양읍 고수리 111-13,4,공중화장실,4,128.381607,0,충청북도 단양군 단양읍 다리안로 99,0,0,36.987412,1,Jan-90,2018-01-01
두악공원,N,0,00:00~24:00,충청북도 단양군 단성면사무소,1,0,043-420-3711,충청북도 단양군 단성면 북하리 113-2,2,공중화장실,1,128.335085,0,,0,0,36.930418,0,Jan-18,2018-01-01
솔밭공원,N,1,00:00~24:00,충청북도 단양군 영춘면사무소,4,0,043-420-2861,충청북도 단양군 영춘면 남천리 482-1,6,공중화장실,6,128.503735,0,충청북도 단양군 영춘면 남천계곡로 147,0,0,37.055047,0,Jan-18,2018-01-01
소금정 화장실,N,1,00:00~24:00,충청북도 단양군 단양읍사무소,2,0,043-420-3511,충청북도 단양군 단양읍 상진리 1017,3,공중화장실,3,128.364518,0,충청북도 단양군 단양읍 삼봉로 192,0,0,36.975284,1,Jan-18,2018-01-01
상진제2어린이화장실(두진공원화장실),N,0,00:00~24:00,충청북도 단양군 단양읍사무소,1,0,043-420-3511,충청북도 단양군 단양읍 상진리 806,1,공중화장실,1,128.357917,0,충청북도 단양군 단양읍 상진2로 18,0,0,36.977921,0,Jan-18,2018-01-01
상진제3어린이화장실(교통공원화장실),N,0,00:00~24:00,충청북도 단양군 단양읍사무소,1,0,043-420-3511,충청북도 단양군 단양읍 상진리 584,1,공중화장실,1,128.353609,0,충청북도 단양군 단양읍 상진7길 8,0,0,36.980166,0,Jun-18,2018-01-01
도담관광지,N,0,00:00~24:00,충청북도 단양군 매포읍사무소,3,0,043-420-3611,충청북도 단양군 매포읍 하괴리 84-1,4,공중화장실,4,128.341771,0,충청북도 단양군 매포읍 삼봉로 644-13,0,0,37.00074,1,Jan-18,2018-01-01
매포체육공원,N,1,00:00~24:00,충청북도 단양군 매포읍사무소,2,0,043-420-3611,충청북도 단양군 매포읍 평동리 462,7,공중화장실,5,128.294997,0,충청북도 단양군 매포읍 평동4로 91,0,0,37.03185,1,Jan-18,2018-01-01
두악공원,N,0,24시간,충청북도 단양군 단성면사무소,1,0,043-420-3711,충청북도 단양군 단성면 북하리 113-2,2,공중화장실,1,128.335085,0,충청북도 단양군 단성면 북하리 113-2,0,0,36.930418,0,Jan-18,2018-07-31
솔밭공원,N,1,24시간,충청북도 단양군 영춘면사무소,4,0,043-420-2861,충청북도 단양군 영춘면 남천리 482-1,6,공중화장실,6,128.5037345,0,충청북도 단양군 영춘면 남천계곡로 147,0,0,37.0550468,0,Jan-18,2018-07-31
