화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
음성군청,N,1,00:00~24:00,음성군,32,0,043-871-3114,충청북도 음성군 음성읍 읍내리 621-1,19,개방화장실,23,127.6907001,0,충청북도 음성군 음성읍 중앙로 173,0,0,36.9399101,0,Dec-96,2018-07-31
음성읍사무소,N,1,09:00~21:00,음성읍,5,0,043-871-2512,충청북도 음성군 음성읍 읍내리 536-6,7,개방화장실,5,127.6907001,0,충청북도 음성군 음성읍 수정로 37,0,0,36.9359701,0,Dec-93,2018-07-31
음성읍주민자치,N,0,09:00~21:00,음성읍,1,0,043-871-2512,충청북도 음성군 음성읍 읍내리 536-6,1,개방화장실,1,127.6907001,0,충청북도 음성군 음성읍 수정로 37,0,0,36.9359701,0,Dec-93,2018-07-31
음성재래시장,N,0,00:00~24:00,음성읍,2,1,043-871-3878,충청북도 음성군 음성읍 읍내리 817-1,3,공중화장실,2,127.6909001,0,충청북도 음성군 음성읍설성공원길 28,0,0,36.9342501,0,Jan-00,2018-07-31
음성교육청,N,0,09:00~18:00,교육청,5,1,043-871-5000,충청북도 음성군 음성읍 읍내리 467,5,개방화장실,5,127.6886001,0,충청북도 음성군 음성읍 설성로57번길 8,0,0,36.9322601,0,Dec-77,2018-07-31
종합운동장,N,1,00:00~24:00,음성군,13,0,043-871-3878,충청북도 음성군 음성읍 읍내리 470-0,15,개방화장실,15,127.6866001,0,충청북도 음성군 음성읍 설성로 47,0,0,36.9316401,2,Dec-90,2018-07-31
음성실내체육관,N,0,09:00~18:00,음성군,17,2,043-871-3879,충청북도 음성군 음성읍 읍내리 470-1,21,개방화장실,15,127.6892001,0,충청북도 음성군 음성읍 중앙로 126,0,0,36.9363101,0,Nov-99,2018-07-31
농업기술센터,N,1,09:00~21:00,음성군,3,0,043-871-2322,충청북도 음성군 음성읍 용산리 258,3,개방화장실,6,127.6845001,0,충청북도 음성군 음성읍 용광로 81-5,0,0,36.9461201,1,Jan-00,2018-07-31
음성소방파출소,N,0,09:00~18:00,소방서,4,0,043-872-2119,충청북도 음성군 음성읍 신천리 586-30,1,개방화장실,6,127.6785001,0,충청북도 음성군 음성읍 음성로 122,0,0,36.9303101,0,Jan-00,2018-07-31
상하수도사업소,N,0,09:00~21:00,음성군,4,0,043-872-2402,충청북도 음성군 음성읍 읍내리 467-3,4,개방화장실,4,127.6886001,0,충청북도 음성군 음성읍 중앙로 71,0,0,36.9308901,0,Dec-95,2018-07-31
수정산체육공원,Y,0,09:00~21:00,음성읍,1,0,043-871-2472,충청북도 음성군 음성읍 읍내리 산 13-1,1,개방화장실,1,127.7017551,0,,0,0,36.9394111,1,14-Sep,2018-07-31
향토자료전시관,N,0,09:00~18:00,음성군,2,0,043-871-5913,충청북도 음성군 음성읍 읍내리 817-12,2,개방화장실,3,127.6917001,0,충청북도 음성군 음성읍 설성공원길 10-7,0,0,36.9314701,0,Dec-93,2018-07-31
음성야외음악당,N,0,00:00~24:00,음성군,2,0,043-871-2483,충청북도 음성군 음성읍 읍내리 817-242,1,개방화장실,2,127.6909511,0,충청북도 음성군 음성읍 설성공원길 28,0,0,36.9335181,1,03-May,2018-07-31
청소년문화의집,N,0,09:00~18:00,음성군,1,1,043-871-5935,충청북도 음성군 음성읍 읍내리 366-17,2,개방화장실,2,127.6912001,0,충청북도 음성군 음성읍 설성공원길 16,0,0,36.9316801,0,Dec-99,2018-07-31
게이트볼장,N,0,09:00~18:00,상이군경회,3,0,043-872-2676,충청북도 음성군 음성읍 읍내리 817,3,개방화장실,2,127.6907001,0,충청북도 음성군 음성읍 수정로 36,0,0,36.9344601,0,Jan-00,2018-07-31
음성군보건소,N,1,09:00~21:00,음성군,6,0,043-871-2122,충청북도 음성군 음성읍 읍내리 406-7,11,개방화장실,9,127.6886001,0,충청북도 음성군 음성읍 중앙로 49,0,0,36.9288301,0,Dec-00,2018-07-31
음성역,N,0,00:00~24:00,음성역,4,1,02-1544-7788,충청북도 음성군 음성읍 평곡리 488-1,3,개방화장실,3,127.6912001,0,충청북도 음성군 음성읍 한불로 60,0,0,36.9377801,0,Jan-00,2018-07-31
음성우체국,N,1,09:00~18:00,우체국,7,0,043-870-1100,충청북도 음성군 음성읍 읍내리 456-4,9,개방화장실,8,127.6893001,0,충청북도 음성군 음성읍 중앙로 94,0,0,36.9328801,0,Jan-00,2018-07-31
국민건강보험공단,N,1,09:00~18:00,공사,1,0,02-1577-1000,충청북도 음성군 음성읍 읍내리 497-7,2,개방화장실,1,127.6889001,0,충청북도 음성군 음성읍 음성로 114,0,0,36.9351401,0,Jan-00,2018-07-31
감우재전승기녑비,N,0,09:00~18:00,음성군,2,1,043-871-5930,충청북도 음성군 음성읍 소여리 897,2,개방화장실,2,127.6468001,0,충청북도 음성군 음성읍 생음대로 594,0,0,36.9513301,0,Jan-00,2018-07-31
한국농어촌공사,N,0,09:00~18:00,공사,4,0,043-871-7300,충청북도 음성군 음성읍 사정리 1135,2,공중화장실,4,127.6236001,0,충청북도 음성군 음성읍 음성로 834,0,0,36.9729001,0,Dec-93,2018-07-31
음성농협,N,0,09:00~18:00,농협,2,0,043-871-4151,충청북도 음성군 음성읍 읍내리 553-16,2,개방화장실,3,127.6912001,0,충청북도 음성군 음성읍 중앙로 141,0,0,36.9377801,0,Jan-00,2018-07-31
농협중앙회,N,0,09:00~18:00,농협,4,0,043-872-4101,충청북도 음성군 음성읍 읍내리 622-6,4,개방화장실,4,127.6903001,0,충청북도 음성군 음성읍 중앙로 167,0,0,36.9395001,0,Dec-98,2018-07-31
음성새마을금고,N,0,09:00~18:00,금고,2,0,043-872-1005,충청북도 음성군 음성읍 읍내리 326-1,1,개방화장실,4,127.6929001,0,충청북도 음성군 음성읍 시장로 90,0,0,36.9359001,0,Dec-92,2018-07-31
대한지적공사,N,1,09:00~18:00,공사,3,0,043-872-3979,충청북도 음성군 음성읍 신천리 173,1,개방화장실,4,127.6893001,0,충청북도 음성군 음성읍 중앙로 18,0,0,36.9261601,1,Jan-00,2018-07-31
여성회관,N,0,09:00~18:00,음성군,2,0,043-871-5933,충청북도 음성군 음성읍 읍내리 817-12,8,개방화장실,4,127.6917001,0,충청북도 음성군 음성읍 음성천서길 103,0,0,36.9314701,0,Dec-91,2018-07-31
선거관리사무소,N,0,09:00~18:00,선관위,2,0,043-872-2471,충청북도 음성군 음성읍 읍내리 817-7,1,개방화장실,2,127.6911001,0,충청북도 음성군 음성읍 설성공원길 6,0,0,36.9307901,0,Dec-96,2018-07-31
음성산림조합,N,0,09:00~18:00,임협,2,0,043-872-4182,충청북도 음성군 음성읍 읍내리 432-1,2,개방화장실,4,127.6894001,0,충청북도 음성군 음성읍 중앙로 62,0,0,36.9298601,0,Dec-96,2018-07-31
봉학골산림욕장,N,0,09:00~24:00,음성군,4,1,043-871-5921,충청북도 음성군 음성읍 용산리 산32-1,6,공중화장실,5,127.6911001,0,충청북도 음성군 음성읍 용광로230번길 138,0,0,36.9722801,0,Dec-00,2018-07-31
수봉초등학교,N,1,09:00~18:00,수봉초,22,0,043-872-2019,충청북도 음성군 음성읍 읍내리 209,35,공중화장실,42,127.6928001,0,충청북도 음성군 음성읍 시장로126번길 19,0,0,36.9402501,1,Dec-99,2018-07-31
남신초등학교,N,2,09:00~18:00,남신초,17,0,043-872-4028,충청북도 음성군 음성읍 읍내리 757-6,28,공중화장실,30,127.6928001,3,충청북도 음성군 음성읍 설성로 33-20,0,0,36.9401901,2,Dec-98,2018-07-31
평곡초등학교,Y,0,09:00~18:00,평곡초,4,1,043-872-2577,충청북도 음성군 음성읍 평곡리 813,8,공중화장실,5,127.7011001,0,충청북도 음성군 음성읍 약현길 8,0,0,36.9292801,0,Jan-00,2018-07-31
음성도서관,N,1,08:00~22:00,도서관,5,0,043-873-2977,충청북도 음성군 음성읍 읍내리 209,5,공중화장실,9,127.6928001,0,충청북도 음성군 음성읍 시장로126번길 29,0,0,36.9401501,0,Dec-99,2018-07-31
한일중학교,N,1,09:00~18:00,한일중,11,0,043-872-2155,충청북도 음성군 음성읍 읍내리 765,2,공중화장실,12,127.6851001,0,충청북도 음성군 음성읍 예술로 34,0,0,36.9362101,0,Dec-90,2018-07-31
음성중학교,N,1,09:00~18:00,음성중,15,0,043-872-2151,충청북도 음성군 음성읍 읍내리 274-3,11,공중화장실,23,127.6955001,0,충청북도 음성군 음성읍 수정로 79,0,0,36.9360301,0,Dec-95,2018-07-31
음성여자중학교,N,0,09:00~18:00,음성여중,6,2,043-872-2158,충청북도 음성군 음성읍 평곡리 830-3,54,공중화장실,10,127.6994001,0,충청북도 음성군 음성읍 한불로 10,0,0,36.9278001,0,Dec-70,2018-07-31
음성고등학교,N,2,09:00~18:00,음성고,54,0,043-873-9973,충청북도 음성군 음성읍 읍내리 503-7,74,개방화장실,79,127.6860001,0,충청북도 음성군 음성읍 설성로57번길 39,0,0,36.9341101,2,Jan-00,2018-07-31
만남의광장휴게소,N,0,06:00~24:00,휴게소,9,1,043-873-4053,충청북도 음성군 음성읍 한벌리 274,14,공중화장실,8,127.7116001,0,충청북도 음성군 음성읍 충청대로 1637,0,0,36.9463201,0,Dec-97,2018-07-31
음성장례식장,N,2,00:00~24:00,장례식장,4,0,043-872-4119,충청북도 음성군 원남면 하노리 589-5,4,공중화장실,10,127.6901001,0,충청북도 음성군 원남면 반기문로 3-26,0,0,36.9169601,2,Jan-00,2018-07-31
형제주유소,N,0,08:00~23:00,주유소,1,0,043-872-4126,충청북도 음성군 음성읍 감우리 236-3,2,공중화장실,2,127.6373001,0,충청북도 음성군 음성읍 음성로 647,0,0,36.9607301,0,Dec-93,2018-07-31
청하주유소,Y,0,08:00~23:00,주유소,0,0,043-878-2282,충청북도 음성군 음성읍 사정리 980-4,0,공중화장실,0,127.6266001,0,충청북도 음성군 음성읍 음성로 791,0,0,36.9701901,0,Dec-93,2018-07-31
석인주유소,N,0,08:00~23:00,주유소,1,0,043-873-1907,충청북도 음성군 음성읍 석인리 250-7,2,공중화장실,1,127.7195001,0,충청북도 음성군 음성읍 한불로 204,0,0,36.9280801,0,Jan-00,2018-07-31
유진주유소,N,0,08:00~23:00,주유소,1,0,043-872-0085,충청북도 음성군 음성읍 소여리 398-39,1,공중화장실,1,127.6646001,0,충청북도 음성군 음성읍 음성로 272,0,0,36.9374101,0,Dec-96,2018-07-31
소여리주유소,N,0,08:00~23:00,주유소,1,0,043-872-4985,충청북도 음성군 음성읍 소여리 403-2,2,공중화장실,2,127.6531001,0,충청북도 음성군 음성읍 음성로 388,0,0,36.9429001,0,Dec-99,2018-07-31
태평양주유소,N,0,08:00~23:00,주유소,2,0,043-873-5180,충청북도 음성군 음성읍 소여리 820-1,0,공중화장실,0,127.6471001,0,충청북도 음성군 음성읍 음성로 482,0,0,36.9483801,0,Dec-97,2018-07-31
감우재주유소,N,0,08:00~23:00,주유소,1,0,043-872-6566,충청북도 음성군 음성읍 소여리 905-1,2,공중화장실,0,127.6465001,0,충청북도 음성군 음성읍 생음대로 590,0,0,36.9507101,0,Dec-96,2018-07-31
제일주유소,N,0,08:00~23:00,주유소,2,0,043-873-1150,충청북도 음성군 음성읍 신천리 583-1,2,공중화장실,0,127.6752001,0,충청북도 음성군 음성읍 음성로 154,0,0,36.9313701,0,Dec-96,2018-07-31
일진주유소,N,0,08:00~23:00,주유소,1,0,043-873-0580,충청북도 음성군 음성읍 읍내리 3-3,2,공중화장실,3,127.6979001,0,충청북도 음성군 음성읍 충청대로 1430,0,0,36.9354901,0,Dec-93,2018-07-31
세진주유소,N,0,08:00~23:00,주유소,2,0,043-873-5150,충청북도 음성군 음성읍 읍내리 507-3,1,공중화장실,1,127.6879001,0,충청북도 음성군 음성읍 예술로 14,0,0,36.9360301,0,Jan-00,2018-07-31
대영에너지,N,0,08:00~23:00,주유소,1,0,043-872-1231,충청북도 음성군 음성읍 읍내리 783-2,1,공중화장실,1,127.6819001,0,충청북도 음성군 음성읍 예술로 93,0,0,36.9319201,0,Jan-00,2018-07-31
일신에너지,N,0,08:00~23:00,주유소,1,0,043-873-4053,충청북도 음성군 음성읍 한벌리 274,1,공중화장실,2,127.7114001,0,충청북도 음성군 음성읍 충청대로 1637,0,0,36.9466001,0,Dec-97,2018-07-31
