화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
우체국,N,1,09:00~18:00,우정사업본부 진천지사,3,0,043-533-3005,충청북도 진천군 진천읍 읍내리 369-1,3,공중화장실,3,127.4416168,0,충청북도 진천군 진천읍 중앙서로 48,0,0,36.85541766,1,Jan-92,2018-06-11
군청,N,2,24시간,충청북도 진천군청,11,0,043-539-3114,충청북도 진천군 진천읍 읍내리 463,21,공중화장실,31,127.4354579,0,충청북도 진천군 진천읍 상산로 13,0,0,36.85537528,1,Jan-92,2018-06-11
읍사무소,N,0,09:00~21:00,충청북도 진천군청,8,0,043-539-8771,충청북도 진천군 진천읍 읍내리 370-1,8,공중화장실,10,127.4412732,0,충청북도 진천군 진천읍 상산로 65,0,0,36.85498256,0,Jan-92,2018-06-11
초평면사무소,N,0,09:00~21:00,충청북도 진천군청,2,0,043-539-8773,충청북도 진천군 초평면 용정리 584-8,2,공중화장실,4,127.5247444,0,충청북도 진천군 초평면 초동로 45-6,0,0,36.84550712,0,Jan-92,2018-06-11
문백면사무소,N,0,09:00~21:00,충청북도 진천군청,2,0,043-539-8774,충청북도 진천군 문백면 문진로 524-18,2,공중화장실,2,127.4365559,0,충청북도 진천군 문백면 문진로 524-18,0,0,36.78655855,0,Jan-92,2018-06-11
백곡면사무소,N,0,09:00~21:00,충청북도 진천군청,1,0,043-539-8775,충청북도 진천군 백곡면 석현리 293번지,2,공중화장실,3,127.3768707,0,충청북도 진천군 백곡면 장터길 15-10,0,0,36.88386974,0,Jan-92,2018-06-11
이월면사무소,N,0,09:00~21:00,충청북도 진천군청,3,0,043-539-8776,충청북도 진천군 이월면 노원리 683-4,2,공중화장실,2,127.4285776,0,충청북도 진천군 이월면 진광로 729,0,0,36.92568609,0,Jan-92,2018-06-11
광혜원면사무소,N,0,09:00~21:00,충청북도 진천군청,4,0,043-539-8777,충청북도 진천군 광혜원면 광혜원리 542-10,4,공중화장실,6,127.4356849,0,충청북도 진천군 광혜원면 화랑길 86,0,0,36.99340789,0,Jan-92,2018-06-11
상수도사업소,N,0,24시간,충청북도 진천군청,5,0,043-539-7773,충청북도 진천군 진천읍 교성리 349-3,3,공중화장실,6,127.447482,0,충청북도 진천군 진천읍 문화로 121-41,0,0,36.85382482,0,Jan-92,2018-06-11
소방서,N,0,24시간,충청북도,10,0,043-532-2119,충청북도 진천군 진천읍 장관리 6-16,6,공중화장실,7,127.4411426,0,충청북도 진천군 진천읍 진광로 93,0,0,36.8726683,0,Jan-92,2018-06-11
