화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
옥천공설시장,N,1,연중무휴,경제정책실,1,0,043-730-3362,,1,개방화장실,2,127.567362,0,충청북도 옥천군 옥천읍 삼금로 5-14,0,0,36.30312,1,10-Mar,2018-07-31
옥천공설시장 공영주차장,N,1,09:00~18:00,경제정책실,1,0,043-730-3362,,1,개방화장실,2,127.568252,0,충청북도 옥천군 옥천읍 삼양로7길 9-7번지,0,0,36.303472,1,15-Jan,2018-07-31
옥천군여성회관,N,1,09:00~18:00,주민복지과,2,1,043-730-3338,,6,개방화장실,2,127.573702,0,충청북도 옥천군 옥천읍 동부로 15-1,0,0,36.30704,1,May-94,2018-07-31
옥천군노인장애인복지관,N,6,09:00~18:00/09:00~15:00(주말),사회복지법인자광재단(수탁자),7,4,043-733-2500,,11,개방화장실,12,127.5696,0,충청북도 옥천군 옥천읍 삼양로8길 9,0,0,36.3045,4,03-Jun,2018-07-31
장계관광지 향토전시관 옆,N,1,09:00~18:00,문화관광과,4,1,043-730-3413,충청북도 옥천군 안내면 장계리 산7-1,5,공중화장실,4,127.63499,0,,0,0,36.377381,1,10-Nov,2018-07-31
장계관광지 까페프란스 앞,N,1,09:00~18:00,문화관광과,4,1,043-730-3413,충청북도 옥천군 안내면 장계리 산7-1,4,공중화장실,3,127.63738,0,,0,1,36.376321,1,10-Oct,2018-07-31
장계관광지 향토전시관,N,1,09:00~18:00,문화관광과,1,1,043-730-3413,충청북도 옥천군 안내면 장계리 산7-1,2,개방화장실,2,127.63499,0,,0,0,36.377381,0,10-May,2018-07-31
육영수생가 대형주차장,N,0,연중무휴,문화관광과,2,0,043-730-3413,충청북도 옥천군 옥천읍 하계리 2-5,5,공중화장실,3,127.58432,0,,0,0,36.316081,1,13-Feb,2018-07-31
향수100리길이동식화장실,N,0,연중무휴,문화관광과,1,0,043-730-3723,충청북도 옥천군 청성면 합금리 507-9,2,공중화장실,2,127.67584,0,,0,0,36.300511,0,13-May,2018-07-31
육영수생가 내,N,0,09:00~18:00,문화관광과,1,0,043-730-3413,,8,개방화장실,3,127.58744,0,충청북도 옥천군 옥천읍 향수길119,0,0,36.318031,0,10-Jan,2018-07-31
향수시네마,N,1,09:00~23시,문화관광과,3,1,043-730-3403,,6,공중화장실,3,127.575599,0,충청북도 옥천군 옥천읍 문정1길 47,0,0,36.304314,1,18-Aug,2018-07-31
옥천문화예술회관,Y,1,09:00~18:00,문화관광과,7,1,043-730-3403,,20,개방화장실,9,127.574281,1,충청북도 옥천군 옥천읍 문정1길32,1,1,36.304043,1,08-Apr,2018-07-31
정지용문학관,N,1,09:00~109:00,문화관광과,2,0,043-730-3403,,2,개방화장실,2,127.58189,0,충청북도 옥천군 옥천읍 향수길56,0,0,36.314986,0,05-Apr,2018-07-31
정지용문학관 주민주차장,N,0,연중무휴,문화관광과,1,0,043-730-3403,충청북도 옥천군 옥천읍 하계리 49-4,2,공중화장실,2,127.58189,0,,0,0,36.314986,0,14-Jan,2018-07-31
관성회관 옥천문화원,Y,1,09:00~18:00,옥천문화원,5,1,043-730-3402,,2,개방화장실,9,127.573132,0,충청북도 옥천군 옥천읍 관성로 35,0,0,36.302111,1,Dec-86,2018-07-31
다목적회관,N,0,09:00~18:00,자치행정과,11,0,043-730-3188,,13,개방화장실,17,127.57487,0,충청북도 옥천군 옥천읍 중앙로 126,0,0,36.307209,0,06-Mar,2018-07-31
옥천군청,N,0,연중무휴,재무과,14,0,043-730-3232,,20,개방화장실,24,127.570864,0,충청북도 옥천군 옥천읍 중앙로99,0,0,36.305352,0,May-78,2018-07-31
안내시장 내 공중화장실화장실,N,0,연중무휴,환경과,2,0,043-730-3454,충청북도 옥천군 안내면 현리 114-5,2,공중화장실,2,127.660592,0,,0,0,36.393668,0,Jul-90,2018-07-31
청산시장 내 공중화장실화장실,N,0,연중무휴,환경과,2,0,043-730-3454,,2,공중화장실,2,127.792426,0,충청북도 옥천군 청산면 지전길 47-19,0,0,36.345016,0,01-Mar,2018-07-31
수변전망대 공중화장실화장실,N,0,연중무휴,환경과,2,0,043-730-3433,,2,공중화장실,2,127.604841,0,충청북도 옥천군 옥천읍 수북리 산51,0,0,36.318477,0,12-Aug,2018-07-31
석탄리(피실) 공중화장실화장실,N,0,연중무휴,환경과,2,0,043-730-3433,충청북도 옥천군 동이면 석탄리 13,2,공중화장실,2,127.617825,0,,0,0,36.319495,0,12-Sep,2018-07-31
향수공원 화장실,N,1,연중무휴,산림녹지과,1,0,043-730-3484,충청북도 옥천군 옥천읍 삼양리 125,2,개방화장실,2,127.572955,0,,0,0,36.308328,1,10-Dec,2018-07-31
옥천 선사공원,N,0,연중무휴,산림녹지과,1,0,043-730-3484,충청북도 옥천군 옥천읍 수북리 39,2,개방화장실,2,127.610882,0,,0,0,36.316246,0,11-Nov,2018-07-31
서대2근린공원화장실,N,1,연중무휴,산림녹지과,2,0,043-730-3484,충청북도 옥천군 옥천읍 금구리 산14-2,7,개방화장실,5,127.572531,0,,0,0,36.29489,1,15-Feb,2018-07-31
금구1어린이공원화장실,N,1,연중무휴,산림녹지과,0,0,043-730-3484,충청북도 옥천군 옥천읍 금구리 57-22,1,개방화장실,1,127.569398,0,,0,0,36.298629,1,16-Feb,2018-07-31
시외버스공영정류소 화장실,Y,1,7시~21시,건설교통과((사)지체장애인협회옥천군지회),2,0,043-730-3533,,2,개방화장실,3,127.56425,0,충청북도 옥천군 옥천읍 삼양로 26,0,0,36.307168,1,13-Jun,2018-07-31
옥천버스 공용화장실,Y,1,6시~23시,옥천버스운송㈜,1,0,043-732-7700,,1,개방화장실,1,127.56605,0,충청북도 옥천군 옥천읍 삼금로 9,0,0,36.298814,1,16-May,2018-07-31
옥천공영주차타워 화장실,N,1,평일09:00~18:00,건설교통과,1,1,043-730-3535,,3,개방화장실,1,127.565846,0,충청북도 옥천군 옥천읍 금장로 14,0,0,36.301811,1,13-Nov,2018-07-31
