화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
재래시장주차장,N,1,00:00~24:00,충청북도 영동군 재래시장주차장,3,1,043-743-5611,충청북도 영동군 영동읍 계산리 694-13,8,개방화장실,3,127.775646,0,충청북도 영동군 영동읍 영동시장2길 10-1,0,0,36.175142,0,Jun-89,2018-01-01
말벌주유소(구 성원),N,0,06:00~21:00,충청북도 영동군 말벌주유소(구 성원),1,0,043-745-7459,충청북도 영동군 영동읍 오탄리 750-6,1,개방화장실,1,127.746861,0,충청북도 영동군 영동읍 난계로 788,0,0,36.197809,0,Jun-18,2018-01-01
영동장례식장,N,0,00:00~24:00,충청북도 영동군 영동장례식장,5,0,043-744-0454,충청북도 영동군 영동읍 오탄리 753-6,7,개방화장실,7,127.746201,0,충청북도 영동군 영동읍 난계로 804-46,0,0,36.198081,0,Jun-18,2018-01-01
용진환경,N,0,09:00~18:00,충청북도 영동군 용진환경,3,0,043-745-1550,충청북도 영동군 영동읍 오탄리 677-3,2,개방화장실,3,127.755572,0,충청북도 영동군 영동읍 오정길 25-63,0,0,36.19762,0,Jun-18,2018-01-01
영동운전면허전문학원,N,0,09:00~17:20,충청북도 영동군 영동운전면허전문학원,2,0,043-745-3250,충청북도 영동군 영동읍 부용리 460-1,2,개방화장실,2,127.758745,0,충청북도 영동군 영동읍 성지길 60,0,0,36.188803,0,Jun-93,2018-01-01
영동우체국,N,0,09:00~18:00,충청북도 영동군 영동우체국,1,0,043-740-8910,충청북도 영동군 영동읍 부용리 2-4,1,개방화장실,0,127.773184,0,충청북도 영동군 영동읍 난계로 1178,0,0,36.173711,0,Jun-81,2018-01-01
영동경찰서,N,0,09:00~18:00,충청북도 영동군 영동경찰서,3,0,043-740-5326,충청북도 영동군 영동읍 계산리 473-1,2,개방화장실,3,127.776043,0,충청북도 영동군 영동읍 영산로 32,0,0,36.177951,0,Jun-97,2018-01-01
영동선거관리위원회,N,0,09:00~18:00,충청북도 영동군 영동선거관리위원회,1,0,043-743-6695,충청북도 영동군 영동읍 계산리 210-1,1,개방화장실,1,127.783436,0,충청북도 영동군 영동읍 동정로 1,0,0,36.174891,0,Jun-96,2018-01-01
영동중학교,N,1,09:00~18:00,충청북도 영동군 영동중학교,21,1,043-742-3841,충청북도 영동군 영동읍 계산리 78,30,개방화장실,22,127.780424,0,충청북도 영동군 영동읍 계산로 106,0,0,36.177135,1,Jun-18,2018-01-01
중앙지구대,Y,0,00:00~24:00,충청북도 영동군 영동경찰서(중앙지구대),1,0,043-745-3112,충청북도 영동군 영동읍 계산리 663-1,0,개방화장실,1,127.783636,0,충청북도 영동군 영동읍 계산로 63,0,0,36.172463,1,Jun-91,2018-01-01
영신중학교,N,0,07:00~18:00,충청북도 영동군 영신중학교,2,0,043-742-3851,충청북도 영동군 영동읍 매천리 458-1,3,개방화장실,3,127.774706,0,충청북도 영동군 영동읍 영동황간로 22,0,0,36.168961,0,Jun-96,2018-01-01
