화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
호서대 self주유소 화장실,N,0,영업시간내,한성하우시스,2,0,041-541-7872,,2,공중화장실,1,127.0807966,0,충청남도 아산시 배방읍 세교리 965-6 7번지,0,0,36.77692744,0,,2018-09-21
아산휴게프라자,N,0,영업시간내,아산휴게프라자,4,0,041-537-3604,,6,개방화장실,4,126.9661236,0,충청남도 아산시 염치읍 서원리 19-28,0,0,36.84267711,0,,2018-09-21
온양농협주유소,N,0,영업시간내,온양농협주유소,1,0,041-542-2584,,2,공중화장실,2,126.9602172,0,충청남도 아산시 신창면 남성리 131,0,0,36.79097679,0,,2018-09-21
대지주유소,N,0,영업시간내,대지주유소,1,0,041-534-2352,,1,공중화장실,1,126.9413257,0,충청남도 아산시 신창면 남성리 539-1,0,0,36.7933407,0,,2018-09-21
파크골프장,N,0,연중무휴,아산시청 체육육성과,1,0,041-540-2812,,1,개방화장실,1,127.0105817,0,충청남도 아산시 권곡동 353-4,0,0,36.7961806,0,,2018-09-21
?교천 (봉강천) 체육공원,N,0,연중무휴,아산시청 체육육성과,1,0,041-540-2812,,3,개방화장실,3,127.0912389,0,충청남도 아산시 배방읍 세교리 802,0,0,36.7636122,0,,2018-09-21
느티전망대 화장실,N,1,연중무휴,아산시청 공원녹지과(아산문화재단),2,0,041-540-2550,,3,개방화장실,2,127.0256014,0,충청남도 아산시 염치읍 백암리 256-2,0,0,36.79936104,1,,2018-09-21
?교천 야구장,Y,0,연중무휴,아산시청 체육육성과,0,0,041-540-2812,,1,개방화장실,1,126.9947784,0,충청남도 아산시 염치읍 석정리 458-1,0,0,36.80023957,0,,2018-09-21
곡교천 체육공원,N,0,연중무휴,아산시청 체육육성과,1,0,041-540-2812,,3,개방화장실,2,127.0017838,0,충청남도 아산시 염치읍 석정리536-1,0,0,36.79716146,0,,2018-09-21
아산정 국궁장,N,0,연중무휴,아산시청 체육육성과,1,0,041-540-2812,,2,개방화장실,2,126.982899,0,충청남도 아산시 영인면 신봉리 산139-2,0,0,36.88913436,0,,2018-09-21
송남휴게소 화장실,N,0,영업시간내,송남휴게소,2,0,041-542-8180,,6,개방화장실,7,126.9985804,0,충청남도 아산시 송악면 307-1,0,0,36.73484376,0,,2018-09-21
동일주유소,N,0,영업시간내,GS칼텍스 동일주유소,1,0,041-543-9999,,1,공중화장실,2,126.9955451,0,충청남도 아산시 곡교천로 151 (온천동),0,0,36.79530871,0,,2018-09-21
온양장례식장,N,0,영업시간내,온양장례식장,4,0,041-547-4444,,3,개방화장실,5,126.9976112,0,충청남도 아산시 곡교천로 171 (온천동),0,0,36.79559352,0,,2018-09-21
온양장례식장,N,0,영업시간내,온양장례식장,4,0,041-547-4444,,3,개방화장실,5,126.9976112,0,충청남도 아산시 곡교천로 171 (온천동),0,0,36.79559352,0,,2018-09-21
E1주유소,N,0,영업시간내,E1주유소,2,0,041-532-9077,,1,공중화장실,2,126.9986375,0,충청남도 아산시 곡교천로 177 (온천동),0,0,36.79550703,0,,2018-09-21
아산곡교천야영장 화장실,N,1,연중무휴,아산시청 문화관광과,5,0,041-540-2553,,9,개방화장실,6,127.0239379,0,충청남도 아산시 곡교천로 407 (권곡동 아산 곡교천 야영장),0,0,36.79709779,1,,2018-09-21
아산장애인복지관,N,1,영업시간내,아산장애인복지관,1,0,041-545-7729,,2,개방화장실,1,126.9837503,0,충청남도 아산시 곡교천로27번길 20-10 (실옥동 아산시장애인복지관),0,0,36.78895663,1,,2018-09-21
남산도서관 화장실,N,0,영업시간내,남산도서관,16,0,041-537-3971,,12,개방화장실,12,126.9957923,0,충청남도 아산시 남산로 10,0,0,36.78183525,0,,2018-09-21
게이트볼도고온천구장화장실(택지개발지구),N,0,영업시간내,도고면사무소,4,0,041-537-3352,,6,개방화장실,4,126.8867963,0,충청남도 아산시 도고면 기곡로31번길 62 (기곡리),0,0,36.76024838,1,,2018-09-21
도고주유소화장실,N,0,영업시간내,도고주유소,1,0,041-541-6161,,1,공중화장실,1,126.8684939,0,충청남도 아산시 도고면 도고면로 2,0,0,36.75652776,0,,2018-09-21
도고면사무소화장실,N,1,영업시간내,도고면사무소,1,0,041-537-3192,,2,개방화장실,1,126.877711,0,충청남도 아산시 도고면 도고면로 91,0,0,36.75766219,1,,2018-09-21
도고보건지소화장실,N,1,영업시간내,도고보건지소,1,0,041-536-8650,,2,개방화장실,2,126.877711,0,충청남도 아산시 도고면 도고면로 91 (신언리 도고보건소),0,0,36.75766219,1,,2018-09-21
아산서부사회복지관화장실,N,0,영업시간내,아산서부사회복지관,4,0,041-541-2020,,6,개방화장실,7,126.8800549,0,충청남도 아산시 도고면 도고면로110번길 16 (기곡리 아산서부사회복지관),0,0,36.75694728,1,,2018-09-21
