화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
지천생태공원,N,0,24시간,충청남도 청양군청,1,0,041-940-2253,충청남도 청양군 청양읍 교월리 56-3,2,공중화장실,1,126.5126626,0,충청남도 청양군 청양읍 교월리 56-3,0,0,36.3226035,0,17-Aug,2018-08-13
정산시장Ⅱ,N,1,24시간,충청남도 청양군청,3,1,041-940-2253,충청남도 청양군 정산면 서정리 163,7,공중화장실,1,126.553141,0,충청남도 청양군 정산면 정현길 54,0,0,36.2618692,1,Jan-80,2018-08-13
남천리 산촌체험마을,N,1,24시간,충청남도 청양군청,1,0,041-940-2253,충청남도 청양군 정산면 남천리 125-3,2,공중화장실,2,126.5726513,0,충청남도 청양군 정산면 남천리 125-3,0,0,36.2621636,1,11-Apr,2018-08-13
모덕사,N,0,24시간,충청남도 청양군청,2,0,041-940-2253,충청남도 청양군 목면 송암리 171-1,4,공중화장실,2,126.5733774,0,충청남도 청양군 목면 나분동길 12,0,0,36.2453953,0,Jan-90,2018-08-13
청남시장,N,0,24시간,충청남도 청양군청,2,0,041-940-2253,충청남도 청양군 청남면 청소리 208,2,공중화장실,2,126.5737191,0,충청남도 청양군 청남면 명덕로 197-4,0,0,36.241727,0,Feb-97,2018-08-13
미당시장,N,0,24시간,충청남도 청양군청,2,0,041-940-2253,충청남도 청양군 장평면 미당리 22-1,4,공중화장실,5,126.562232,0,충청남도 청양군 장평면 미당큰길 50-13,0,0,36.246521,0,May-95,2018-08-13
장평시장,Y,0,24시간,충청남도 청양군청,2,0,041-940-2253,충청남도 청양군 장평면 분향리 396-2,2,공중화장실,2,126.5547595,0,충청남도 청양군 장평면 분향리 396-2,0,0,36.2336541,0,May-95,2018-08-13
도림,N,0,24시간,충청남도 청양군청,1,0,041-940-2253,충청남도 청양군 장평면 적곡리 산6-4,2,공중화장실,1,126.5717516,0,충청남도 청양군 장평면 적곡리 산6-4,0,0,36.273739,0,03-Nov,2018-08-13
용꿈꾸는마을,N,1,24시간,충청남도 청양군청,1,1,041-940-2253,충청남도 청양군 남양면 용두리 478-1,2,공중화장실,1,126.5830262,0,충청남도 청양군 남양면 돌보길 72,0,0,36.2449233,1,17-Jul,2018-08-13
화성시장,N,1,24시간,충청남도 청양군청,2,1,041-940-2253,충청남도 청양군 화성면 산정리 186-2,4,공중화장실,2,126.5650778,0,충청남도 청양군 화성면 산정리 186-2,0,0,36.2456968,1,Mar-97,2018-08-13
다락골줄무덤,N,1,24시간,충청남도 청양군청,2,0,041-940-2253,충청남도 청양군 화성면 농암리 676-5,4,공중화장실,3,126.5814045,1,충청남도 청양군 화성면 다락골길 84,1,0,36.2518956,1,17-May,2018-08-13
용당리,N,0,24시간,충청남도 청양군청,1,0,041-940-2253,충청남도 청양군 화성면 용당리 154-5,1,공중화장실,1,126.5823278,0,충청남도 청양군 화성면 용당리 154-5,0,0,36.2441724,0,17-May,2018-08-13
보리섬 공중화장실(건축형재래식),Y,0,24시간,충청남도 보령시 남포면,0,0,,충청남도 보령시 남포면 월전리 813-8 고운 최치원 선생 유적,2,공중화장실,2,126.550625,0,,0,0,36.2723909,0,Jan-00,2018-04-24
대천2통 공중화장실,N,0,24시간,충청남도 보령시 대천1동,2,0,,충청남도 보령시 대천동 118-4,2,공중화장실,1,126.355762,0,충청남도 보령시 보령북로 68-21(대천동),0,0,36.352668,0,,2018-04-24
17통 노인회관 공중화장실,N,0,24시간,충청남도 보령시 대천2동,3,0,,충청남도 보령시 대천동 331-46,6,공중화장실,5,126.353837,0,충청남도 보령시 중앙로 97-12,0,0,36.350842,0,17-Jan,2018-04-24
중앙시장 주차장 공중화장실,N,2,24시간,충청남도 보령시 대천2동,3,0,,충청남도 보령시 대천동 331-53,7,공중화장실,4,126.353499,0,충청남도 보령시 중앙시장2길 9,2,2,36.349888,0,17-Jan,2018-04-24
김전시장 공중화장실,N,0,24시간,충청남도 보령시 대천2동,1,0,041-932-6808,충청남도 보령시 대천동 439-6,2,간이화장실,1,126.353505,0,충청남도 보령시 해태로 3,0,0,36.352106,0,17-Jan,2018-04-24
게이트볼장 옆,N,0,24시간,충청남도 보령시 대천3동,1,0,,충청남도 보령시 동대동 1207,1,공중화장실,1,126.361205,0,충청남도 보령시 신설5길 20,0,0,36.3501,0,Jun-93,2018-04-24
동대8통 노인회관 옆,N,0,24시간,충청남도 보령시 대천3동,1,0,,충청남도 보령시 동대동 1341,1,공중화장실,1,126.600139,0,충청남도 보령시 희망2길 96-12,0,0,36.3466607,0,Jun-93,2018-04-24
여송식관 앞 공원,N,0,24시간,충청남도 보령시 대천3동,1,0,,충청남도 보령시 동대동 1368,1,공중화장실,1,126.608268,0,,0,0,36.350965,0,Jun-93,2018-04-24
궁촌공원 공중화장실,N,0,24시간,충청남도 보령시 대천4동,1,0,,충청남도 보령시 궁촌동 352-2,2,간이화장실,2,126.591742,0,,0,0,36.34346,0,17-Jan,2018-04-24
대천항 제2공중화장실(수산물시장앞),N,3,24시간,충청남도 보령시 대천5동,3,0,,충청남도 보령시 신흑동 2240-10,6,공중화장실,4,126.507378,0,,0,1,36.327247,0,17-Jan,2018-04-24
로 10-2,N,0,24시간,충청남도 보령시 미산면,0,0,,충청남도 보령시 미산면 용수리 99-10 중대암,1,간이화장실,1,126.684393,0,,0,0,36.263186,0,17-Jan,2018-04-24
로 10-3,N,0,24시간,충청남도 보령시 미산면,1,0,,충청남도 보령시 미산면 도흥리 산 33 백제골,1,간이화장실,0,126.701781,0,,0,0,36.253743,0,17-Jul,2018-04-24
로 10-4,N,0,24시간,충청남도 보령시 미산면,1,0,,충청남도 보령시 미산면 도흥리 산 34 백제골,1,간이화장실,0,126.700716,0,,0,0,36.255822,0,17-Jan,2018-04-24
로 10-5,N,0,24시간,충청남도 보령시 미산면,1,0,,충청남도 보령시 미산면 도흥리 산 33 백제골,1,간이화장실,0,126.701781,0,,0,0,36.253743,0,17-Jul,2018-04-24
로 10-6,N,0,24시간,충청남도 보령시 미산면,1,0,,충청남도 보령시 미산면 도흥리 산 34 백제골,1,간이화장실,1,126.700716,0,,0,0,36.255822,0,17-Jan,2018-04-24
로 10-7,Y,0,24시간,충청남도 보령시 미산면,1,0,,충청남도 보령시 미산면 도흥리 산 2-5 백제골,0,간이화장실,0,126.704794,0,,0,0,36.257796,0,17-Jan,2018-04-24
로 10-12,N,0,24시간,충청남도 보령시 미산면,1,0,,충청남도 보령시 미산면 평라리 산 67-4 서짓골,3,공중화장실,2,126.657567,0,,0,0,36.233592,0,17-Jan,2018-04-24
성주1리 마을회관앞,N,0,24시간,충청남도 보령시 성주면,1,0,,충청남도 보령시 성주면 성주1리 256-8잡,1,공중화장실,1,126.683566,0,,0,0,36.351291,0,17-Jan,2018-04-24
먹방정류소,N,0,24시간,충청남도 보령시 성주면,2,0,,충청남도 보령시 성주면 성주3리 먹방정류소앞,2,공중화장실,0,126.669858,0,,0,0,36.348143,0,Jan-90,2018-04-24
페라글라이닝 비행장앞,N,0,24시간,충청남도 보령시 성주면,1,0,,충청남도 보령시 성주면 성주6리 패러글라이딩장,1,간이화장실,1,126.669858,0,,0,0,36.348143,0,17-Jan,2018-04-24
조각공원(청소년수련관),N,1,24시간,충청남도 보령시 성주면,3,0,,충청남도 보령시 성주면 성주7리 229-3,4,공중화장실,5,126.652308,0,,1,0,36.327431,0,17-Jan,2018-04-24
개화3마을회관앞,N,0,24시간,충청남도 보령시 성주면,1,0,,충청남도 보령시 성주면 개화3리 마을회관옆,1,간이화장실,1,126.652785,0,,0,0,36.297322,0,17-May,2018-04-24
남촌 선착장(포세식),N,0,24시간,충청남도 보령시 오천면,1,0,041-930-4659,충청남도 보령시 오천면 효자도리 660,1,간이화장실,1,126.440362,0,,0,0,36.379358,0,17-Jan,2018-04-24
육도 선착장,N,0,24시간,충청남도 보령시 오천면,1,0,041-930-4659,충청남도 보령시 오천면 효자도리 485,1,간이화장실,1,126.455149,0,,0,0,36.410081,0,17-May,2018-04-24
오봉산 해수욕장(1),N,0,24시간,충청남도 보령시 오천면,2,0,041-930-4659,충청남도 보령시 오천면 원산도리 1671-2,4,공중화장실,3,126.398629,0,,0,0,36.368437,0,Jan-97,2018-04-24
삽시도항 공중화장실,N,0,24시간,충청남도 보령시 오천면,3,0,041-930-4659,충청남도 보령시 오천면 삽시도리 4-8(윗마을 선착장),7,공중화장실,3,126.363099,0,,0,1,36.35129,0,17-Jan,2018-04-24
삽시도 거멀너머해수욕장,N,0,24시간,충청남도 보령시 오천면,1,0,041-930-4659,충청남도 보령시 오천면 삽시도리 산 7-5,1,간이화장실,1,126.354736,0,,0,0,36.351986,0,17-Jan,2018-04-24
마을공동작업장 옆,N,0,24시간,충청남도 보령시 오천면,1,0,041-930-4659,충청남도 보령시 오천면 삽시도리 1174-2,1,간이화장실,1,126.365972,0,,0,0,36.385934,0,17-Nov,2018-04-24
외연도항,N,1,24시간,충청남도 보령시 오천면,1,0,041-930-4659,충청남도 보령시 오천면 외연도리 160-89,3,공중화장실,2,126.084456,0,,0,0,36.225957,0,17-Jan,2018-04-24
무창포해수욕장 3번,N,0,24시간,충청남도 보령시 웅천읍,2,0,,충청남도 보령시 웅천읍 관당리 799-2,6,공중화장실,3,126.536046,0,,0,0,36.243884,0,17-Jan,2018-04-24
무창포해수욕장 4번,N,0,24시간,충청남도 보령시 웅천읍,2,0,,충청남도 보령시 웅천읍 관당리 807,6,공중화장실,3,126.534332,0,,0,0,36.242118,0,17-Jan,2018-04-24
무창포해수욕장 6번,N,0,24시간,충청남도 보령시 웅천읍,3,0,,충청남도 보령시 웅천읍 관당리 806-4,5,공중화장실,4,126.53605,0,,0,0,36.242056,0,Jan-93,2018-04-24
무창포해수욕장 7번,N,1,24시간,충청남도 보령시 웅천읍,5,0,,충청남도 보령시 웅천읍 독산리 800-1,8,공중화장실,5,126.532295,0,,0,0,36.238726,0,17-Jan,2018-04-24
무창포해수욕장 10번,N,2,24시간,충청남도 보령시 웅천읍,2,0,,충청남도 보령시 웅천읍 관당리 826-1,7,공중화장실,3,126.53486,0,,0,0,36.240241,0,17-Jan,2018-04-24
독산마을주차장 내 간이화장실,N,0,24시간,충청남도 보령시 웅천읍,1,0,,충청남도 보령시 웅천읍 독산리 507-1,1,간이화장실,1,126.535408,0,,0,0,36.224939,0,17-Jan,2018-04-24
군부대 훈련장내 화장실,N,0,24시간,충청남도 보령시 웅천읍,0,0,,충청남도 보령시 웅천읍 독산리 803-13,3,간이화장실,0,126.531355,0,,0,0,36.224439,0,17-Jan,2018-04-24
시장상가,N,0,24시간,충청남도 보령시 웅천읍,2,0,,충청남도 보령시 웅천읍 대창리 464-14 시장상가B,0,공중화장실,2,126.600926,0,충청남도 보령시 웅천읍 장터중앙길 21-6,0,0,36.233408,0,Jan-89,2018-04-24
은포리 방조제 이동식 공중화장실,N,0,24시간,충청남도 보령시 주교면,1,0,041-930-4636,충청남도 보령시 주교면 은포리 1522 은포방조제,3,간이화장실,1,126.540686,0,,0,0,36.358832,0,17-Jan,2018-04-24
선착장 공중화장실,N,0,24시간,충청남도 보령시 주교면,1,0,041-930-4636,충청남도 보령시 주교면 송학리 994-1,1,간이화장실,1,126.528539,0,,0,0,36.367323,0,17-Jan,2018-04-24
금암리 공중화장실,N,2,24시간,충청남도 보령시 주산면,2,0,041-930-4712,충청남도 보령시 주산면 금암리 682-35(직행버스정류소 인근),3,공중화장실,2,126.633814,0,,0,0,36.198285,0,17-Jan,2018-04-24
진당산 공중화장실,N,0,24시간,충청남도 보령시 주포면,1,0,041-930-4621,충청남도 보령시 주포면 보령리 산 15-12,1,간이화장실,1,126.600799,0,,0,0,36.409968,0,17-Jul,2018-04-24
맨삽지3 화장실,N,0,24시간,충청남도 보령시 천북면,1,0,041-641-2372,충청남도 보령시 천북면 학성1리 256-7,1,간이화장실,1,126.49086,0,,0,0,36.449855,0,Jan-00,2018-04-24
명대계곡 화장실,N,1,24시간,충청남도 보령시 청라면,2,0,,충청남도 보령시 청라면 장현2리 88-4,5,공중화장실,4,126.675595,0,,0,0,36.447755,0,17-Jan,2018-04-24
청라터널 화장실,N,1,24시간,충청남도 보령시 청라면,1,0,,충청남도 보령시 청라면 향천1리 192-4,1,공중화장실,2,126.649901,0,,0,0,36.36474,0,17-Jan,2018-04-24
음현리 화장실,N,0,24시간,충청남도 보령시 청라면,1,0,,충청남도 보령시 청라면 음현리 256-1,1,간이화장실,1,126.678501,0,,0,0,36.410114,0,17-Jan,2018-04-24
오삼전 방범대 화장실,N,0,24시간,충청남도 보령시 청라면,1,0,,충청남도 보령시 청라면 황룡1리 948-3,1,간이화장실,1,126.648784,0,,0,0,36.412094,0,17-Jan,2018-04-24
옥계교 가로화단 화장실,Y,0,24시간,충청남도 보령시 청라면,1,0,,충청남도 보령시 청라면 옥계1리 산 47-1,0,간이화장실,1,126.634553,0,,0,0,36.403945,0,17-Jan,2018-04-24
옥계승강장,N,0,24시간,충청남도 보령시 청라면,1,0,,충청남도 보령시 청라면 옥계리 638,1,간이화장실,1,126.631397,0,,0,0,36.397614,0,17-Jan,2018-04-24
등산로2코스,Y,0,24시간,충청남도 보령시 청소면,1,0,041-932-9301,충청남도 보령시 청소면 성연리 7,0,간이화장실,1,126.645023,0,,0,0,36.455237,0,17-Jan,2018-04-24
등산로3코스 화장실,Y,0,24시간,충청남도 보령시 청소면,1,0,041-932-9301,충청남도 보령시 청소면 성연리 174-2,0,간이화장실,1,126.641881,0,,0,0,36.460294,0,17-Jan,2018-04-24
수문앞 화장실,N,0,24시간,충청남도 보령시 청소면,1,0,041-932-9301,충청남도 보령시 청소면 진죽리 1006-3,1,간이화장실,0,126.573007,0,,0,0,36.450354,0,17-Jan,2018-04-24
진죽저수지 화장실,N,0,24시간,충청남도 보령시 청소면,1,0,041-932-9301,충청남도 보령시 청소면 진죽리 818-11,0,간이화장실,1,126.577971,0,,0,0,36.453018,0,17-Jan,2018-04-24
펜션단지 공중화장실,N,1,24시간,충청남도 보령시 환경보호과,1,0,041-930-3338,충청남도 보령시 신흑동 2300-1,2,공중화장실,1,126.526389,0,,0,0,36.322303,1,16-Jul,2018-04-24
