화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
은골향기방,N,1,24시간,충청남도 청양군청,1,0,041-940-2253,충청남도 청양군 비봉면 관산리 141-2,2,공중화장실,0,127.007911,0,충청남도 청양군 비봉면 관산리 141-2,0,0,36.253868,1,09-Mar,2018-08-13
비봉산,N,1,24시간,충청남도 청양군청,1,0,041-940-2253,충청남도 청양군 비봉면 사점리 273-1,2,공중화장실,2,127.013359,0,충청남도 청양군 비봉면 충절로 1850-48,0,0,36.2536084,1,09-Mar,2018-08-13
공주소방서 화장실,N,0,24시간,공주소방서 소방행정과,11,0,041-851-0222,충청남도 공주시 웅진동 256-11,10,공중화장실,15,127.062809,0,충청남도 공주시 무령로 55 공주소방서,0,0,36.273302,0,05-Jul,2018-09-13
공주의료원 화장실,N,0,24시간,공주의료원 운영사 (주)고암,27,0,041-962-1668,충청남도 공주시 웅진동 266,50,공중화장실,28,127.063405,0,충청남도 공주시 무령로 77 (웅진동 공주의료원),0,0,36.273109,0,05-Jul,2018-09-13
국립공주박물관 공중화장실,N,0,8시간,국립공주박물관 기획운영과,13,0,041-850-6327,충청남도 공주시 웅진동 360,25,공중화장실,20,127.064502,0,충청남도 공주시 관광단지길34 국립공주박물관,0,0,36.275606,0,05-Jun,2018-09-13
금강가회,N,0,연중무휴,충청남도 논산시청,1,0,041-746-5555,충청남도 논산시 강경읍 황산리 198번지 1호,3,공중화장실,2,126.9979964,0,충청남도 논산시 강경읍 금백로 7-49,0,0,36.1593638,1,12-May,2018-02-13
내산우체국,Y,0,연중무휴,부여우체국,0,0,041-833-4100,,0,공중화장실,1,126.773529,0,충청남도 부여군 내산면 성충로 1008,0,0,36.2731738,0,18-Jan,2018-02-20
죽림주유소,Y,0,연중무휴,죽림주유소,0,0,041-834-6842,,0,공중화장실,1,126.7699499,0,충청남도 부여군 내산면 성충로 932,0,0,36.2791646,0,Jan-95,2018-02-20
온해주유소,N,0,연중무휴,온해주유소,2,0,041-834-4543,충청남도 부여군 내산면 온해리 산26,2,공중화장실,2,126.7389518,0,,0,0,36.2939157,0,Jan-91,2018-02-20
남면마정보건진료소,Y,0,연중무휴,충청남도 부여군청,0,0,041-832-3485,,0,공중화장실,1,126.8334597,0,충청남도 부여군 남면 남성로 771-5,0,0,36.2161812,0,18-Jan,2018-02-20
마정초등학교,N,0,연중무휴,충청남도교육청 부여교육지원청,4,1,041-832-3198,,6,공중화장실,7,126.830249,1,충청남도 부여군 남면 마정로 7-9,0,0,36.2179814,0,,2018-02-20
(구)마정시장 공중화장실,Y,0,연중무휴,충청남도 부여군청,0,0,041-830-6574,충청남도 부여군 남면 마정리 825,0,공중화장실,0,126.8335726,0,,0,0,36.2256533,0,,2018-02-20
남면서부여농협주유소,N,0,연중무휴,남면서부여농협주유소,1,0,041-833-4287,,2,공중화장실,2,126.7983102,0,충청남도 부여군 남면 남성로 434,0,0,36.2127889,0,Jan-93,2018-02-20
남면치안센터,Y,0,연중무휴,충정지방경찰청 부여경찰서,0,0,041-832-3112,,0,공중화장실,1,126.7970063,0,충청남도 부여군 남면 남성로 422,0,0,36.2122369,0,Jan-85,2018-02-20
남면우체국,Y,0,연중무휴,부여우체국,0,0,041-832-3100,,0,공중화장실,1,126.7977354,0,충청남도 부여군 남면 남성로 430,0,0,36.2125579,0,Jan-94,2018-02-20
남면사무소,N,0,연중무휴,충청남도 부여군청,2,1,041-830-6574,,2,공중화장실,1,126.7977448,0,충청남도 부여군 남면 남성로 426,0,0,36.2120091,0,,2018-02-20
남면보건지소,N,0,연중무휴,충청남도 부여군청,1,0,041-830-2775,,1,공중화장실,2,126.7977448,0,충청남도 부여군 남면 남성로 426,0,0,36.2120091,0,,2018-02-20
홍산중학교,N,1,연중무휴,충청남도교육청 부여교육지원청,7,0,041-836-1901,,12,공중화장실,10,126.7647547,0,충청남도 부여군 홍산면 홍산로 112-25,0,0,36.2146718,1,,2018-02-20
한국식품마이스터고등학교,N,0,연중무휴,충청남도교육청 부여교육지원청,8,0,041-836-1055,,8,공중화장실,17,126.7633451,0,충청남도 부여군 홍산면 홍산로 112-23,0,0,36.215499,0,,2018-02-20
홍산터미널(주유소뒤),N,0,연중무휴,충청남도 부여군청,2,0,041-830-6538,충청남도 부여군 홍산면 남촌리 165-7,5,공중화장실,3,126.7576559,0,,0,0,36.215751,0,18-Jan,2018-02-20
홍산치안센터,Y,0,연중무휴,충정지방경찰청 부여경찰서,0,0,041-836-1112,,0,공중화장실,2,126.7520246,0,충청남도 부여군 홍산면 북토로 28,0,0,36.2155098,0,,2018-02-20
홍산면사무소,N,0,연중무휴,충청남도 부여군청,4,0,041-830-6538,,4,공중화장실,4,126.7517716,0,충청남도 부여군 홍산면 홍산로 77,0,0,36.216675,0,,2018-02-20
홍산보건지소,N,1,연중무휴,충청남도 부여군청,2,0,041-830-2765,,2,공중화장실,3,126.746801,0,충청남도 부여군 홍산면 동헌로 36,0,0,36.2152213,1,18-Jan,2018-02-20
홍산초등학교,N,0,연중무휴,충청남도교육청 부여교육지원청,7,1,041-836-0450,,12,공중화장실,15,126.7528267,0,충청남도 부여군 홍산면 홍산로 111번길 7,0,0,36.2177522,0,,2018-02-20
홍산119안전센터,Y,0,연중무휴,부여소방서,0,0,041-830-0382,,0,공중화장실,3,126.7466569,0,충청남도 부여군 홍산면 북토로 89,0,0,36.2182117,0,18-Jan,2018-02-20
홍산우체국,N,0,연중무휴,부여우체국,1,0,041-836-1100,,1,공중화장실,1,126.7482663,0,충청남도 부여군 홍산면 동헌로 23,0,0,36.2149047,0,Jan-96,2018-02-20
시장(채소전)공중화장실,N,1,연중무휴,충청남도 부여군청,3,1,041-830-6538,,3,공중화장실,3,126.7490385,0,충청남도 부여군 홍산면 홍산시장로 43-11,0,0,36.2134033,1,Jan-98,2018-02-20
태봉산 공중화장실,Y,0,연중무휴,충청남도 부여군청,0,0,041-830-6538,충청남도 부여군 홍산면 북촌리 산15,0,공중화장실,1,126.749672,0,,0,0,36.2199697,0,Jan-84,2018-02-20
조현주유소,N,0,연중무휴,조현주유소,1,0,,,1,공중화장실,2,126.7831724,0,충청남도 부여군 홍산면 대백제로 1035,0,0,36.2281741,0,Jan-92,2018-02-20
충남가스충전소,N,0,연중무휴,충남가스충전소,2,0,,,1,공중화장실,2,126.7831724,0,충청남도 부여군 홍산면 대백제로 1035,0,0,36.2281741,0,Jan-98,2018-02-20
홍산상천보건진료소,Y,0,연중무휴,충청남도 부여군청,0,0,041-836-6880,,0,공중화장실,0,126.7639947,0,충청남도 부여군 홍산면 상천로 117,0,0,36.2348268,0,18-Jan,2018-02-20
가로공원 공중화장실,N,0,연중무휴,충청남도 부여군청,1,0,041-830-6568,충청남도 부여군 옥산면 가덕리 24-2,2,공중화장실,1,126.7630227,0,,0,0,36.184614,0,18-Jan,2018-02-20
옥산치안센터,Y,0,연중무휴,충정지방경찰청 부여경찰서,0,0,041-832-0112,,0,공중화장실,1,126.7223666,0,충청남도 부여군 옥산면 안골로 1,0,0,36.1907427,0,,2018-02-20
옥산초등학교,N,1,연중무휴,충청남도교육청 부여교육지원청,4,3,041-832-0090,,8,공중화장실,12,126.7235517,0,충청남도 부여군 옥산면 대백제로 330,0,0,36.190813,1,,2018-02-20
옥산면사무소,N,0,연중무휴,충청남도 부여군청,1,1,041-830-6568,,2,공중화장실,5,126.7248421,0,충청남도 부여군 옥산면 대백제로 336-6,0,0,36.1914637,0,Jan-92,2018-02-20
