화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
장령산자연휴양림,N,2,09:00~18:00,산림녹지과,9,3,043-730-3493,,12,개방화장실,8,127.331455,0,충청북도 옥천군 군서면 장령산로 519,0,0,36.144113,3,Mar-94,2018-07-31
군북보건지소,Y,0,평일 09:00~18:00,보건소,1,0,043-730-2092,,1,개방화장실,1,127.569687,0,충청북도 옥천군 군북면 이백길 8,0,0,36.207753,0,Feb-88,2018-07-31
안남면사무소,N,1,9:00~18:00,안남면,2,1,043-730-4543,,2,개방화장실,2,127.402218,0,충청북도 옥천군 안남면 연주길 46,0,0,36.212299,1,Aug-02,2018-07-31
에코빌광장화장실,N,0,0:00~24:00,안남면,2,0,043-730-4543,충청북도 옥천군 안남면 연주리 421-7,5,공중화장실,3,127.402789,0,,0,0,36.212247,0,Sep-11,2018-07-31
독락정화장실,N,0,연중무휴,안남면,1,0,043-730-4543,충청북도 옥천군 안남면 연주리 907-3,2,공중화장실,1,127.400092,0,,0,0,36.205425,0,Jan-13,2018-07-31
삼성재래시장,N,0,00:00~24:00,충북 삼성면,3,0,043-877-2287,충청북도 음성군 삼성면 덕정리 525,4,공중화장실,1,127.498121,0,,0,0,36.019402,0,Jan-95,2018-07-31
삼성재래시장,N,0,00:00~24:00,충북 삼성면,3,0,043-877-2287,충청북도 음성군 삼성면 덕정리 525,4,공중화장실,1,127.498121,0,,0,0,36.019402,0,Jan-95,2018-01-01
진악지구대,N,0,연중무휴,금산읍,1,0,041-750-0301,충청남도 금산군 금산읍 상리 137-3,1,공중화장실,1,127.488716,0,충청남도 금산군 금산읍 금산로 1446,0,0,36.102978,0,,2018-08-17
군북면사무소,N,1,연중무휴,군북면,4,0,041-750-2051,충청남도 금산군 군북면 두두리 403-1,5,공중화장실,5,127.527807,0,충청남도 금산군 군북면 산꽃로 19,0,0,36.168941,1,,2018-08-17
인삼랜드(상),N,1,연중무휴,고속도로관리공단,11,1,041-754-9200,충청남도 금산군 군북면 외부리 718번지,27,공중화장실,20,127.496482,1,충청남도 금산군 군북면 어필각로 300,1,1,36.152654,1,,2018-08-17
인삼랜드(하),N,1,연중무휴,재향군인회,11,1,041-751-2892,충청남도 금산군 군북면 외부리 721번지 3호,28,공중화장실,20,127.496356,1,충청남도 금산군 군북면 대암길 34-30,1,1,36.154459,1,,2018-08-17
비호산약수터,Y,0,연중무휴,금산읍,1,0,041-750-2012,충청남도 금산군 금산읍 중도리 203-32,1,간이화장실,1,127.498225,0,충청남도 금산군 금산읍 중도리 203-32,0,0,36.099757,0,,2018-08-17
금산우체국,N,0,연중무휴,금산우체국,2,0,041-750-3600,충청남도 금산군 금산읍 상리 175-10,3,공중화장실,4,127.488198,0,충청남도 금산군 금산읍 인삼로 59,0,0,36.103543,0,,2018-08-17
금산시외버스터미널,N,0,연중무휴,시외버스터미널,6,0,,충청남도 금산군 금산읍 상리 34-10,8,공중화장실,12,127.490726,0,충청남도 금산군 금산읍 후곤천길 77,0,0,36.105386,0,,2018-08-17
금산읍사무소,N,1,연중무휴,금산읍,4,0,041-750-8143,충청남도 금산군 금산읍 상리 38-2,3,공중화장실,5,127.490693,0,충청남도 금산군 금산읍 상리 38-2,0,0,36.107451,0,,2018-08-17
시내버스터미널,N,0,연중무휴,시내버스터미널,3,0,,충청남도 금산군 금산읍 상리 49-1,2,공중화장실,4,127.491027,0,충청남도 금산군 금산읍 금산로 1535,0,0,36.110516,0,,2018-08-17
금산 인삼관,N,0,연중무휴,인삼관,12,0,041-750-2423,충청남도 금산군 금산읍 신대리 392번지,18,공중화장실,14,127.500672,0,충청남도 금산군 금산읍 인삼광장로 30,0,0,36.100053,0,,2018-08-17
금산인삼광장,N,1,연중무휴,금산읍,2,2,041-750-8143,충청남도 금산군 금산읍 중도리 18-20,5,공중화장실,2,127.497816,1,충청남도 금산군 금산읍 약초로 35,1,0,36.099477,1,,2018-08-17
흰털 바위 공원,N,1,연중무휴,금산읍,1,1,041-750-8143,충청남도 금산군 금산읍 중도리 92,3,공중화장실,2,127.498997,1,충청남도 금산군 금산읍 중도리 92,0,0,36.103257,1,,2018-08-17
당골 숲 쉼터,N,0,연중무휴,금산읍,1,0,041-750-8143,충청남도 금산군 금산읍 하옥리 214,1,간이화장실,1,127.487321,0,충청남도 금산군 금산읍 하옥리 214,0,0,36.094434,0,,2018-08-17
금산수삼센터,N,8,연중무휴,수삼센타,7,0,041-754-3535,충청남도 금산군 금산읍 하옥리 285-6,7,공중화장실,6,127.490297,0,충청남도 금산군 금산읍 방아동길 36,0,0,36.097051,0,,2018-08-17
공설운동장,N,0,연중무휴,문화공보관광과,3,0,041-750-2402,충청남도 금산군 금산읍 하옥리 87번지,4,공중화장실,5,127.490429,0,충청남도 금산군 금산읍 금산로 1229-5,0,0,36.081152,0,,2018-08-17
