화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
유구읍사무소 화장실,N,1,9시간,유구읍,3,0,041-840-2711,충청남도 공주시 유구읍 석남리 268-1,2,공중화장실,5,126.95052,0,충청남도 공주시 유구읍 중앙1길 87-1,0,0,36.55288,0,05-Jun,2018-09-13
유구보건지소 화장실,N,1,9시간,유구읍보건지소,1,0,041-840-2711,충청남도 공주시 유구읍 석남리 384-116,2,공중화장실,2,126.94992,0,충청남도 공주시 유구읍 유구초교길 40,0,0,36.55241,1,05-Jul,2018-09-13
유구 구시장 공중화장실,Y,0,24시간,유구읍,1,0,041-840-2711,충청남도 공주시 유구읍 석남리 277,1,공중화장실,2,126.95128,0,충청남도 공주시 유구읍 시장길 29,0,0,36.55303,0,05-Jun,2018-09-13
유구시장 공중화장실,N,0,24시간,유구읍,3,1,041-840-2711,충청남도 공주시 유구읍 석남리 276-5,5,공중화장실,3,126.95185,1,충청남도 공주시 유구읍 시장길 21-6,0,0,36.55258,0,05-Jun,2018-09-13
유구천 공중화장실,N,1,24시간,유구읍,0,0,041-840-2711,충청남도 공주시 유구읍 유구리 583,2,공중화장실,2,126.95497,0,,0,0,36.55443,1,05-Jul,2018-09-13
징미약수터 공중화장실,N,0,24시간,유구읍,1,0,041-840-2711,충청남도 공주시 유구읍 만천리 609-1,1,간이화장실,1,126.94634,0,,0,0,36.53533,0,05-Jun,2018-09-13
체육공원 공중화장실,Y,0,24시간,유구읍,1,0,041-840-2711,충청남도 공주시 유구읍 신영리 739-1,0,간이화장실,0,126.95824,0,,0,0,36.57296,0,05-Jun,2018-09-13
추계2리 공중화장실,N,0,24시간,유구읍,1,0,041-840-2711,충청남도 공주시 유구읍 추계리 738,1,간이화장실,1,126.96931,0,,0,0,36.62426,0,05-Jun,2018-09-13
숙징이공원 공중화장실,N,0,24시간,유구읍,1,0,041-840-2711,충청남도 공주시 유구읍 신영리 394-1,2,간이화장실,0,126.96993,0,,0,0,36.57124,0,05-Jun,2018-09-13
구계1리 공중화장실,N,0,24시간,유구읍,1,0,041-840-2711,충청남도 공주시 유구읍 구계리 573,1,간이화장실,1,126.98493,0,,0,0,36.59031,0,05-Jul,2018-09-13
동해리 공중화장실,N,0,24시간,유구읍,1,0,041-840-2711,충청남도 공주시 유구읍 동해리 398,1,간이화장실,1,127.01881,0,,0,0,36.61233,0,05-Jul,2018-09-13
만천리 공중화장실,N,0,24시간,유구읍,1,0,041-840-2711,충청남도 공주시 유구읍 만천리 산 20,1,간이화장실,1,126.97042,0,,0,0,36.54203,0,05-Jul,2018-09-13
연종리 공중화장실,N,0,24시간,유구읍,1,0,041-840-2711,충청남도 공주시 유구읍 연종리 93,1,간이화장실,1,127.00308,0,,0,0,36.59548,0,05-Jul,2018-09-13
유구 문화의 집,N,2,9시간,유구읍,2,0,041-841-2356,충청남도 공주시 유구읍 백교리 82-6,2,개방화장실,6,126.94802,0,충청남도 공주시 유구읍 유구외곽로 322,0,0,36.54335,2,05-Jun,2018-09-13
유구근로자복지회관,N,1,8시간,유구섬유직물노동자협의회,1,0,041-840-2711,충청남도 공주시 유구읍 녹천리 15-3,1,공중화장실,2,126.94672,0,충청남도 공주시 유구읍 중앙1길 143-30,0,0,36.55828,1,05-Jun,2018-09-13
신영쉼터,N,0,12시간,신영쉼터,3,0,041-841-5554,충청남도 공주시 유구읍 신달리 237-15,5,공중화장실,5,126.97171,0,충청남도 공주시 유구읍 금계산로 422,0,0,36.58419,0,05-Jun,2018-09-13
유구터미널,N,1,24시간,유구터미널,1,0,070-8813-1310,충청남도 공주시 유구읍 석남리 283-9,2,공중화장실,2,126.95204,0,충청남도 공주시 유구읍 유구마곡사로 9,0,0,36.55043,1,05-Jun,2018-09-13
녹천주유소,Y,0,12시간,녹천주유소,1,0,041-841-0555,충청남도 공주시 유구읍 녹천리 203,2,개방화장실,2,126.93826,0,충청남도 공주시 유구읍 유구외곽로 28,0,0,36.56574,0,05-Jun,2018-09-13
유구농협주유소,N,0,12시간,유구농협,1,0,041-841-9533,충청남도 공주시 유구읍 신달리 291-1,1,개방화장실,1,126.97171,0,충청남도 공주시 유구읍 금계산로 477,0,0,36.58945,0,05-Jun,2018-09-13
신달주유소,N,0,12시간,신달주유소,1,0,041-841-6607,충청남도 공주시 유구읍 신달리 505-3,1,개방화장실,1,126.96941,0,충청남도 공주시 유구읍 금계산로 687,0,0,36.60788,0,05-Jun,2018-09-13
이인면사무소 화장실,N,1,12시간,이인면,1,0,041-840-2725,충청남도 공주시 이인면 이인리 159-2,2,공중화장실,2,127.06317,0,충청남도 공주시 이인면 검바위로 217,0,0,36.361954,1,05-Jun,2018-09-13
구암리 공중화장실,N,0,24시간,이인면,1,0,041-840-2737,충청남도 공주시 이인면 구암리 산26-4,1,간이화장실,1,127.047372,0,,0,0,36.371384,0,05-Jul,2018-09-13
이인리 공중화장실,N,0,24시간,이인면,1,0,041-840-2737,충청남도 공주시 이인면 복룡리 487-2,1,간이화장실,1,127.07526,0,,0,0,36.333438,0,05-Jun,2018-09-13
신영리1 공중화장실,N,0,24시간,이인면,1,0,041-840-2737,충청남도 공주시 이인면 신영리 427,1,간이화장실,1,127.092248,0,,0,0,36.323948,0,05-Jun,2018-09-13
공주역 화장실,N,1,24시간,공주역,3,1,041-400-4106,충청남도 공주시 이인면 신영리 167-1,8,공중화장실,4,127.096833,1,충청남도 공주시 이인면 새빛로 100,1,0,36.332348,1,05-Jul,2018-09-13
