화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
청송약수터,N,0,06:00~24:00,충청남도 계룡시청,1,0,042-840-2475,충청남도 계룡시 신도안면 정장리 산 30-1,2,개방화장실,1,127.2399246,0,,0,0,36.292649,0,Dec-15,2017-05-30
엄사보호수공원,N,0,06:00~24:00,충청남도 계룡시청,0,1,042-840-2475,충청남도 계룡시 엄사면 251-3,0,개방화장실,0,127.237375,0,,0,0,36.289191,0,Jul-09,2017-05-30
두계근린공원,N,1,06:00~24:00,충청남도 계룡시청,1,1,042-840-2475,충청남도 계룡시 두마면 두계리 62-31,4,개방화장실,3,127.26934,2,,1,1,36.269226,1,Jun-15,2017-05-30
두계천생태공원,N,1,06:00~24:00,충청남도 계룡시청,1,1,042-840-2475,충청남도 계룡시 신도안면 남선리 1167-1,3,개방화장실,0,127.239234,0,충청남도 계룡시 신도안면 신도안2길 41,0,0,36.298634,1,May-12,2017-05-30
엄사근린공원,N,0,06:00~24:00,충청남도 계룡시청,0,0,042-840-2475,충청남도 계룡시 엄사면 엄사리 279,0,개방화장실,0,127.239615,0,충청남도 계룡시 엄사면 번영3길 7,0,0,36.288028,0,Jul-13,2017-05-30
야구장,N,0,06:00~24:00,충청남도 계룡시청,0,0,042-840-2475,충청남도 계룡시 신도안면 정장리 6,1,개방화장실,1,127.2375798,0,,0,0,36.3002457,0,Aug-03,2017-05-30
공설운동장,N,0,06:00~24:00,충청남도 계룡시청,1,1,042-840-2475,충청남도 계룡시 엄사면 유동리 957-4,2,개방화장실,1,127.236333,0,,0,0,36.273568,0,Jul-05,2017-05-30
향적산,N,1,06:00~24:00,충청남도 계룡시청,1,1,042-840-2475,충청남도 계룡시 엄사면 향한리 452-12,3,개방화장실,1,127.211995,0,,0,0,36.291929,0,Dec-04,2017-05-30
신도안 보건지소,N,0,06:00~24:00,충청남도 계룡시청,1,1,042-840-2475,충청남도 계룡시 신도안면 남선리 957-14,1,개방화장실,1,127.242202,0,,0,0,36.300636,0,Jan-07,2017-05-30
신도안면사무소2층,N,0,06:00~24:00,충청남도 계룡시청,1,1,042-840-2475,충청남도 계룡시 신도안면 남선리 957-8,1,개방화장실,2,127.242214,0,,0,0,36.300427,0,Nov-98,2017-05-30
괴목정,N,0,06:00~24:00,충청남도 계룡시청,2,1,042-840-2475,충청남도 계룡시 신도안면 용동리 53,4,개방화장실,1,127.244911,0,,0,0,36.323538,0,Nov-04,2017-05-30
어린이 공원3,N,0,06:00~24:00,충청남도 계룡시청,1,1,042-840-2475,충청남도 계룡시 엄사면 엄사리 130,1,개방화장실,2,127.238911,0,,0,0,36.290302,0,Dec-93,2017-05-30
어린이 공원4,N,0,06:00~24:00,충청남도 계룡시청,1,1,042-840-2475,충청남도 계룡시 엄사면 엄사리 251-1,1,개방화장실,2,127.2388,0,,0,0,36.286398,0,Jun-12,2017-05-30
어린이 공원5,N,1,06:00~24:00,충청남도 계룡시청,1,1,042-840-2475,충청남도 계룡시 엄사면 엄사리 264,3,개방화장실,2,127.279747,0,,0,0,36.258266,1,Dec-15,2017-05-30
농업기술 생활과학,N,0,06:00~24:00,충청남도 계룡시청,2,1,042-840-2475,충청남도 계룡시 두마면 왕대리275,2,개방화장실,2,127.276604,0,,0,0,36.26201,0,Mar-07,2017-05-30
농업기술센터2층,N,0,06:00~24:00,충청남도 계룡시청,3,1,042-840-2475,충청남도 계룡시 두마면 왕대리 275,3,개방화장실,4,127.276604,0,,0,0,36.26201,0,Mar-07,2017-05-30
농업기술센터,N,0,06:00~24:00,충청남도 계룡시청,3,1,042-840-2475,충청남도 계룡시 두마면 왕대리 275,2,개방화장실,4,127.276604,0,,0,0,36.26201,0,Mar-07,2017-05-30
두계시장,N,0,06:00~24:00,충청남도 계룡시청,2,0,042-840-2475,충청남도 계룡시 두마면 두계리 50-4,3,개방화장실,3,127.273777,0,,0,0,36.267382,0,Nov-05,2017-05-30
두마면3층,N,1,06:00~24:00,충청남도 계룡시청,2,1,042-840-2475,충청남도 계룡시 두마면 두계리 78-7,2,개방화장실,3,127.27276,0,,0,0,36.266862,1,Aug-05,2017-05-30
