화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
군북면사무소,N,1,9:00~18:00,군북면,2,1,043-730-4784,,2,개방화장실,2,127.320397,0,충청북도 옥천군 군북면 이백길 8,0,0,36.194865,0,Sep-93,2018-07-31
장암휴게소,Y,1,09시~21시,임명묵,3,1,041-856-9078,충청남도 공주시 석장리동 22-11,5,개방화장실,1,127.11548,0,충청남도 공주시 금벽로 1083,0,0,36.26366,1,05-Jun,2018-09-13
장암주유소,Y,0,09시~21시,송용욱,1,0,041-857-8248,충청남도 공주시 석장리동 22-11,1,개방화장실,2,127.11528,0,충청남도 공주시 금벽로 1083,0,0,36.26361,0,05-Jun,2018-09-13
알밤주유소,N,0,09시~21시,오앤션㈜,1,0,041-852-5185,충청남도 공주시 석장리동 80,1,개방화장실,1,127.11379,0,충청남도 공주시 금벽로 1035,0,0,36.26462,0,05-Jun,2018-09-13
금학지구대 민원인 화장실,N,1,24시간,공주경찰서 금학지구대,1,0,041-858-8901,충청남도 공주시 금학동 250-3,1,공중화장실,1,127.0712,0,충청남도 공주시 우금티로 535 (금학동),0,0,36.263206,1,05-Jun,2018-09-13
석장리보건진료소,N,0,09:00~18:00,석장리보건진료소,1,0,041-840-2518,충청남도 공주시 석장리동 168,1,공중화장실,1,127.111802,0,충청남도 공주시 석장리길 88-39 (석장리동 석장보건진료소),0,0,36.265706,0,05-Jul,2018-09-13
공주병원 화장실,N,3,09:00~18:00,국립공주병원 서무과,17,2,041-850-5722,충청남도 공주시 오곡동 619,20,공중화장실,22,127.063806,0,충청남도 공주시 고분티로 623-21 (오곡동 국립공주병원),0,0,36.240609,1,05-Jun,2018-09-13
공주우체국 1층 화장실,N,1,9:00~18:00,공주우체국,2,1,041-851-2613,충청남도 공주시 반죽동 152-2,3,공중화장실,4,127.072202,0,충청남도 공주시 우체국길 15 (반죽동 공주우체국),0,0,36.271609,1,05-Jun,2018-09-13
공주우체국 2층 화장실,N,0,9:00~18:00,공주우체국,5,0,041-851-2613,충청남도 공주시 반죽동 152-2,0,공중화장실,6,127.072202,0,충청남도 공주시 우체국길 15 (반죽동 공주우체국),0,0,36.271609,0,05-Jun,2018-09-13
공주우체국 3층 화장실,N,0,9:00~18:00,공주우체국,3,0,041-851-2613,충청남도 공주시 반죽동 152-2,3,공중화장실,4,127.072202,0,충청남도 공주시 우체국길 15 (반죽동 공주우체국),0,0,36.271609,0,05-Jun,2018-09-13
이인우체국,N,1,9:00~18:00,이인우체국,1,1,041-857-4001,충청남도 공주시 이인면 이인리 181-7,1,공중화장실,1,127.035109,0,충청남도 공주시 이인면 검바위로 230,0,0,36.214404,0,05-Jun,2018-09-13
충청남도역사문화연구원공중화장실,N,0,24시간,충청남도 역사문화연구원(행정지원부),5,0,041-840-5014,충청남도 공주시 금흥동 110-2,11,공중화장실,11,127.085005,0,충청남도 공주시 연수원길 103 (금흥동 충청남도역사문화연구원),0,0,36.291703,0,05-Jun,2018-09-13
대전지방검찰청 공주지청,N,1,24시간,사무과 총무팀,6,2,041-840-4544,충청남도 공주시 금흥동 610-2,7,공중화장실,6,127.082804,0,충청남도 공주시 한적2길 34-13 대전지방검찰청공주지청,0,0,36.284104,1,05-Jun,2018-09-13
신관지구대,N,0,24시간,신관지구대,1,0,041-858-8903,충청남도 공주시 신관동 274-4,1,공중화장실,0,127.082707,0,충청남도 공주시 한적2길 25 (신관동 신관지구대),0,0,36.283503,0,05-Jul,2018-09-13
국민연금공주부여지사 화장실,N,2,9:00~18:00,국민연금공단 공주부여지사 가입지원부,6,3,041-850-3801,충청남도 공주시 신관동 674-3,9,공중화장실,3,127.082302,0,충청남도 공주시 한적2길 27-5 (신관동),0,0,36.283505,2,05-Jul,2018-09-13
