화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
홍원항2,N,1,24,충청남도 서천군청,1,1,041-950-4338,충청남도 서천군 서면 도둔리 1222-55,3,공중화장실,2,126.501191,0,충청남도 서천군 서면 홍원길 87,0,0,36.155911,1,Apr-17,2018-02-23
성경전래지,N,1,24,충청남도 서천군청,2,0,041-950-4338,충청남도 서천군 서면 마량리 343,6,공중화장실,5,126.501091,0,충청남도 서천군 서면 서인로 82,0,0,36.134061,1,Jan-16,2018-02-23
송림주차장,N,0,24,충청남도 서천군청,1,0,041-950-4338,충청남도 서천군 장항읍 송림리 774-3,1,간이화장실,1,126.66627,0,충청남도 서천군 장항읍 장암길 43-1,0,0,36.01367,0,Sep-16,2018-02-23
장포포구화장실,N,0,24,충청남도 서천군청,2,0,041-950-4338,충청남도 서천군 비인면 장포리 263-28,3,간이화장실,3,126.60536,0,충청남도 서천군 비인면 갯벌체험로 768-26,0,0,36.11203,0,Dec-17,2018-02-23
홍원항2,N,1,24,충청남도 서천군청,1,1,041-950-4338,충청남도 서천군 서면 도둔리 1222-55,3,공중화장실,2,126.501191,0,충청남도 서천군 서면 홍원길 87,0,0,36.155911,1,Apr-17,2018-02-23
성경전래지,N,1,24,충청남도 서천군청,2,0,041-950-4338,충청남도 서천군 서면 마량리 343,6,공중화장실,5,126.501091,0,충청남도 서천군 서면 서인로 82,0,0,36.134061,1,Jan-16,2018-02-23
송림주차장,N,0,24,충청남도 서천군청,1,0,041-950-4338,충청남도 서천군 장항읍 송림리 774-3,1,간이화장실,1,126.66627,0,충청남도 서천군 장항읍 장암길 43-1,0,0,36.01367,0,Sep-16,2018-02-23
장포포구화장실,N,0,24,충청남도 서천군청,2,0,041-950-4338,충청남도 서천군 비인면 장포리 263-28,3,간이화장실,3,126.60536,0,충청남도 서천군 비인면 갯벌체험로 768-26,0,0,36.11203,0,Dec-17,2018-02-23
홍원항2,N,1,24,충청남도 서천군청,1,1,041-950-4338,충청남도 서천군 서면 도둔리 1222-55,3,공중화장실,2,126.501191,0,충청남도 서천군 서면 홍원길 87,0,0,36.155911,1,Apr-17,2018-02-23
성경전래지,N,1,24,충청남도 서천군청,2,0,041-950-4338,충청남도 서천군 서면 마량리 343,6,공중화장실,5,126.501091,0,충청남도 서천군 서면 서인로 82,0,0,36.134061,1,Jan-16,2018-02-23
송림주차장,N,0,24,충청남도 서천군청,1,0,041-950-4338,충청남도 서천군 장항읍 송림리 774-3,1,간이화장실,1,126.66627,0,충청남도 서천군 장항읍 장암길 43-1,0,0,36.01367,0,Sep-16,2018-02-23
장포포구화장실,N,0,24,충청남도 서천군청,2,0,041-950-4338,충청남도 서천군 비인면 장포리 263-28,3,간이화장실,3,126.60536,0,충청남도 서천군 비인면 갯벌체험로 768-26,0,0,36.11203,0,Dec-17,2018-02-23
읍사무소 옆 화장실,N,0,24시간,충청남도 보령시 웅천읍,2,0,,충청남도 보령시 웅천읍 대창리 428-2 시장(읍사무소 옆),3,공중화장실,2,126.601476,0,충청남도 보령시 웅천읍 장터중앙길 88,0,0,36.135485,0,Jan-96,2018-04-24
터미널 화장실,N,0,24시간,충청남도 보령시 웅천읍,1,0,,충청남도 보령시 웅천읍 대창리 349-7 (버스터미널),2,공중화장실,3,126.601453,0,충청남도 보령시 웅천읍 장터중앙길 65-1,0,0,36.135007,0,Jan-17,2018-04-24
복지관 뒤 화장실,N,0,24시간,충청남도 보령시 웅천읍,1,0,,충청남도 보령시 웅천읍 대창리 435-3 (복지관 뒤),3,공중화장실,2,126.601528,0,충청남도 보령시 웅천읍 장터2길 15,0,0,36.135719,0,Jan-17,2018-04-24
