화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
으름재쉼터,N,0,24시간,충청남도 서산시청,1,0,041-660-2339,충청남도 서산시 운산면 원평리 666-8,2,공중화장실,1,126.619526,0,,0,0,36.737236,0,13-Jan,2018-08-23
일락사입구주차장,N,0,24시간,충청남도 서산시청,1,0,041-660-2339,충청남도 서산시 해미면 황락리 12-3,2,공중화장실,2,126.585322,0,,0,0,36.724612,0,Jan-94,2018-08-23
해미상가 1,N,0,24시간,충청남도 서산시청,8,0,041-660-2339,충청남도 서산시 해미면 읍내리 184-1,8,공중화장실,10,126.546537,0,,0,0,36.711209,0,Jan-96,2018-08-23
해미상가 2,N,0,24시간,충청남도 서산시청,4,0,041-660-2339,충청남도 서산시 해미면 읍내리 175-2,6,공중화장실,4,126.547007,0,,0,0,36.710736,0,Jan-96,2018-08-23
버스승강장,N,1,24시간,충청남도 서산시청,1,0,041-660-2339,충청남도 서산시 해미면 읍내리 255-55,3,공중화장실,2,126.546044,0,,0,0,36.712591,1,15-Jan,2018-08-23
별마을(신축),N,0,24시간,충청남도 서산시청,1,0,041-660-2339,충청남도 서산시 해미면 오학리 238-4,1,공중화장실,1,126.552593,0,,0,0,36.719032,0,16-Jan,2018-08-23
신송저수지입구,N,0,24시간,충청남도 서산시청,1,0,041-660-2339,충청남도 서산시 고북면 신송리 산87-8,1,공중화장실,1,126.544882,0,,0,0,36.65616,1,04-Jan,2018-08-23
재래시장,N,1,24시간,충청남도 서산시청,1,0,041-660-2339,충청남도 서산시 고북면 기포리 318-4,4,공중화장실,4,126.531946,0,,0,0,36.666042,1,08-Jan,2018-08-23
천장사,N,0,24시간,충청남도 서산시청,1,0,041-660-2339,충청남도 서산시 고북면 천장사길 100,2,공중화장실,1,126.571678,0,,0,0,36.669759,0,07-Jan,2018-08-23
문화마을,N,0,24시간,충청남도 서산시청,1,0,041-660-2339,충청남도 서산시 고북면 양천리 487,1,공중화장실,1,126.531141,0,,0,0,36.659954,0,07-Jan,2018-08-23
천장사입구주차장,N,1,24시간,충청남도 서산시청,1,0,041-660-2339,충청남도 서산시 고북면 장요리 68-4,2,공중화장실,2,126.567215,0,,0,0,36.659766,1,10-Jan,2018-08-23
서광사 등산로,N,2,24시간,충청남도 서산시청,2,0,041-660-2339,충청남도 서산시 읍내동 562-4,4,공중화장실,2,126.445474,0,,0,0,36.790469,2,09-Jan,2018-08-23
성암공원,N,1,24시간,충청남도 서산시청,0,0,041-660-2339,충청남도 서산시 읍내동 621-1,1,공중화장실,2,126.443899,0,,0,0,36.782495,1,11-Jan,2018-08-23
11통회관옆,Y,0,24시간,충청남도 서산시청,2,0,041-660-2339,충청남도 서산시 읍내동 114-16,2,공중화장실,3,126.449983,0,,0,0,36.779587,0,Jan-92,2018-08-23
영구임대APT공원,N,0,24시간,충청남도 서산시청,2,0,041-660-2339,충청남도 서산시 읍내동 624-3,2,공중화장실,4,126.444842,0,,0,0,36.784108,0,Jan-93,2018-08-23
양류정어린이공원,N,0,24시간,충청남도 서산시청,1,0,041-660-2339,충청남도 서산시 읍내동 323-7,1,공중화장실,3,126.449007,0,,0,0,36.781313,0,Jan-91,2018-08-23
솔빛공원,N,1,24시간,충청남도 서산시청,1,0,041-660-2339,충청남도 서산시 읍내동 492,2,공중화장실,1,126.450126,0,,0,0,36.784455,0,01-Jan,2018-08-23
서산시민공원,N,1,24시간,충청남도 서산시청,2,0,041-660-2339,충청남도 서산시 읍내동 492,2,공중화장실,3,126.449744,0,,0,0,36.784095,1,01-Jan,2018-08-23
레포츠공원,N,1,24시간,충청남도 서산시청,2,0,041-660-2339,충청남도 서산시 부춘공원1로 39 (읍내동),4,공중화장실,4,126.450684,0,,0,0,36.787046,1,08-Jan,2018-08-23
중앙호수공원,N,1,24시간,충청남도 서산시청,2,0,041-660-2339,충청남도 서산시 읍내동 40,4,공중화장실,2,126.447477,0,,0,0,36.784021,1,08-Jan,2018-08-23
옥천암,N,0,24시간,충청남도 서산시청,2,0,041-660-2339,충청남도 서산시 동문동 산38-1,2,공중화장실,3,126.451977,0,,0,0,36.790145,0,03-Jan,2018-08-23
동부(수산물)시장,N,1,24시간,충청남도 서산시청,3,0,041-660-2339,충청남도 서산시 시장3길 17-1 (동문동),4,공중화장실,2,126.456809,0,,0,0,36.782436,1,03-Jan,2018-08-23
동부(야채)시장,N,0,24시간,충청남도 서산시청,3,0,041-660-2339,충청남도 서산시 시장4길 15 (동문동),5,공중화장실,3,126.455343,0,,0,0,36.782399,0,Jan-93,2018-08-23
백약국옆,N,0,24시간,충청남도 서산시청,3,0,041-660-2339,충청남도 서산시 시장2로 9-2 (동문동),3,공중화장실,3,126.455663,0,,0,0,36.783179,0,Jan-93,2018-08-23
동부시장주차장,N,1,24시간,충청남도 서산시청,2,0,041-660-2339,충청남도 서산시 동문동 900-3,6,공중화장실,4,126.456398,0,,0,0,36.781829,1,09-Jan,2018-08-23
동부시장상가,N,0,24시간,충청남도 서산시청,2,0,041-660-2340,충청남도 서산시 시장5로 15 (동문동),3,공중화장실,3,126.456398,0,,0,0,36.781829,0,09-Jan,2018-08-23
중앙로,N,0,24시간,충청남도 서산시청,1,0,041-660-2341,충청남도 서산시 동문동 926-3,2,공중화장실,2,126.453158,0,,0,0,36.78201,1,15-Jan,2018-08-23
호수 화장실,N,2,24시간,충청남도 서산시청,2,0,041-660-2342,충청남도 서산시 예천동  1255-3,3,공중화장실,4,126.442062,0,,0,0,36.766378,3,12-Jan,2018-08-23
황금산 주차장,N,1,24시간,충청남도 서산시청,1,0,041-660-2339,충청남도 서산시 대산읍 독곶리 산230-11,4,공중화장실,3,126.358971,0,,0,0,36.987045,1,12-Jan,2018-08-23
삼길포 정류장,N,1,24시간,충청남도 서산시청,2,0,041-660-2339,충청남도 서산시 대산읍 화곡리 32-1,3,공중화장실,3,126.452984,0,,0,0,37.000489,0,12-Jan,2018-08-23
벌천포 선착장,N,0,24시간,충청남도 서산시청,1,0,041-660-2339,충청남도 서산시 대산읍 가로림로 972-1,2,공중화장실,1,126.333749,0,,0,0,36.96167,0,13-Jan,2018-08-23
벌천포 해수욕장,N,1,24시간,충청남도 서산시청,1,0,041-660-2339,충청남도 서산시 대산읍 오지리 317-60,1,공중화장실,2,126.366419,0,,0,0,36.957275,1,10-Jan,2018-08-23
대산직행버스정류장,N,0,24시간,충청남도 서산시청,1,0,041-660-2339,충청남도 서산시 대산읍 충의로 1909-1,2,공중화장실,0,126.43564,0,,0,0,36.935631,0,13-Jan,2018-08-23
대산종합시장,N,0,24시간,충청남도 서산시청,2,0,041-660-2339,충청남도 서산시 대산읍 충의로 1942,3,공중화장실,2,126.43394,0,,0,0,36.937966,0,Jan-00,2018-08-23
삼길포항,N,1,24시간,충청남도 서산시청,2,1,041-660-2339,충청남도 서산시 대산읍 화곡리 1-61884,7,공중화장실,4,126.451955,0,,0,0,37.004003,1,12-Jan,2018-08-23
대산신협앞,N,0,24시간,충청남도 서산시청,1,1,041-660-2339,충청남도 서산시 대산읍 대산리 109-2,2,공중화장실,1,126.434419,0,,0,0,36.938936,1,16-Jan,2018-08-23
망일산 주차장,N,1,24시간,충청남도 서산시청,1,0,041-660-2239,충청남도 서산시 대산읍 대산리 132-36,2,공중화장실,1,126.4368013,0,,0,0,36.9374309,1,17-Jan,2018-08-23
송림공원,N,1,24시간,충청남도 서산시청,1,1,041-660-2339,충청남도 서산시 인지면 애정리 495-1,1,공중화장실,1,126.416959,0,,0,0,36.733154,1,Jan-98,2018-08-23
도비산등산로,N,1,24시간,충청남도 서산시청,0,0,041-660-2339,충청남도 서산시 인지면 산동리 산86-3,1,공중화장실,2,126.417911,0,,0,0,36.705201,1,12-Jan,2018-08-23
인지면사무소 앞,N,1,24시간,충청남도 서산시청,1,1,041-660-2339,충청남도 서산시 인지면 야당리 551-46,1,공중화장실,1,126.431115,0,,0,0,36.752671,1,12-Jan,2018-08-23
창리버스정류장,N,0,24시간,충청남도 서산시청,1,0,041-660-2339,충청남도 서산시 부석면 창리2길 27,2,공중화장실,3,126.370094,0,,0,0,36.625485,1,Jan-85,2018-08-23
복지관주차장,Y,0,24시간,충청남도 서산시청,1,0,041-660-2339,충청남도 서산시 부석면 취평2길 15-11,1,공중화장실,3,126.391583,0,,0,0,36.713367,1,Jan-87,2018-08-23
취평리정류장,N,1,24시간,충청남도 서산시청,1,0,041-660-2339,충청남도 서산시 부석면 취평리 297-13,1,공중화장실,2,126.392662,0,,0,0,36.712279,1,10-Jan,2018-08-23
창리 쉼터,N,1,24시간,충청남도 서산시청,0,0,041-660-2339,충청남도 서산시 부석면 창리 265-7,1,공중화장실,2,126.378177,0,,0,0,36.622759,1,10-Jan,2018-08-23
해양수산복합단지,N,1,24시간,충청남도 서산시청,2,0,041-660-2339,충청남도 서산시 부석면 창리2길 66,6,공중화장실,4,126.366898,0,,0,0,36.625726,1,10-Jan,2018-08-23
간월도항,N,1,24시간,충청남도 서산시청,1,0,041-660-2339,충청남도 서산시 부석면 간월도리 26-37,3,공중화장실,2,126.432439,0,,0,0,36.617926,1,11-Jan,2018-08-23
강당리 공판장,N,0,24시간,충청남도 서산시청,1,0,041-660-2339,충청남도 서산시 부석면 강당리 645-1,1,공중화장실,1,126.400528,0,,0,0,36.665309,0,03-Jan,2018-08-23
부석사입구,N,0,24시간,충청남도 서산시청,2,0,041-660-2339,충청남도 서산시 부석면 취평리 159-1,3,공중화장실,3,126.411557,0,,0,0,36.703246,0,03-Jan,2018-08-23
부석사주차장,N,1,24시간,충청남도 서산시청,0,0,041-660-2339,충청남도 서산시 부석면 취평리 154-13,2,공중화장실,2,126.395397,0,,0,0,36.717276,1,13-Jan,2018-08-23
물래산 등산로,N,0,24시간,충청남도 서산시청,2,0,041-660-2339,충청남도 서산시 팔봉면 진장리 135-11,5,공중화장실,3,126.377572,0,,0,0,36.760914,0,07-Jan,2018-08-23
간월도관광지 돌담공중화장실화장실,N,1,24시간,충청남도 서산시청,2,0,041-660-2339,충청남도 서산시 부석면 간월도리 685-9,6,공중화장실,4,126.432439,0,,0,0,36.617926,1,09-Jan,2018-08-23
간월도관광지 주차장공중화장실화장실,N,1,24시간,충청남도 서산시청,2,0,041-660-2339,충청남도 서산시 부석면 간월도리 679-2,5,공중화장실,3,126.432439,0,,0,0,36.617926,1,09-Jan,2018-08-23
동사 입구,N,0,24시간,충청남도 서산시청,1,0,041-660-2339,충청남도 서산시 부석면 지산리 산48,1,공중화장실,1,126.422422,0,,0,0,36.700268,0,15-Jan,2018-08-23
팔봉산 주차장,N,1,24시간,충청남도 서산시청,2,0,041-660-2339,충청남도 서산시 팔봉면 양길리 829-1,2,공중화장실,2,126.365001,0,,0,0,36.816882,1,01-Jan,2018-08-23
구도,N,0,24시간,충청남도 서산시청,1,0,041-660-2339,충청남도 서산시 팔봉면 호리 629-3,1,공중화장실,1,126.328586,0,,0,0,36.827814,0,Jan-92,2018-08-23
고파도리 해수욕장,N,0,24시간,충청남도 서산시청,2,0,041-660-2339,충청남도 서산시 팔봉면 고파도리 218,4,공중화장실,2,126.335649,0,,0,0,36.913667,0,Jan-89,2018-08-23
창포선주차장,N,0,24시간,충청남도 서산시청,2,0,041-660-2339,충청남도 서산시 팔봉면 어송리 346-1,4,공중화장실,2,126.368408,0,,0,0,36.792729,1,06-Jan,2018-08-23
양길리 주차장,N,0,24시간,충청남도 서산시청,2,0,041-660-2339,충청남도 서산시 팔봉면 양길리 815-3,4,공중화장실,2,126.366969,0,,0,0,36.817931,1,07-Jan,2018-08-23
중왕리,Y,1,24시간,충청남도 서산시청,0,0,041-660-2339,충청남도 서산시 지곡면 중왕리 509-6,1,공중화장실,1,126.368744,0,,0,0,36.873339,0,01-Jan,2018-08-23
중왕리 선착장,N,0,24시간,충청남도 서산시청,0,0,041-660-2339,충청남도 서산시 지곡면 중왕리 580-2,1,공중화장실,1,126.3663556,0,,0,0,36.873339,0,05-Jan,2018-08-23
진충사,N,1,24시간,충청남도 서산시청,2,0,041-660-2339,충청남도 서산시 지곡면 대요리 669-3,4,공중화장실,2,126.430458,0,,0,0,36.891258,0,06-Jan,2018-08-23
지곡공영주차장,N,0,24시간,충청남도 서산시청,1,0,041-660-2339,충청남도 서산시 지곡면 화천2길 66,2,공중화장실,2,126.434003,0,,0,0,36.864548,0,06-Jan,2018-08-23
일남 정류장,Y,0,24시간,충청남도 서산시청,0,0,041-660-2339,충청남도 서산시 성연면 일람리 416-1,1,공중화장실,1,126.439664,0,,0,0,36.816092,0,01-Jan,2018-08-23
평리,N,1,24시간,충청남도 서산시청,2,0,041-660-2339,충청남도 서산시 성연면 두치로 19-1,3,공중화장실,3,126.463633,0,,0,0,36.837004,1,09-Jan,2018-08-23
테크노밸리1호공원,N,1,24시간,충청남도 서산시청,2,0,041-660-2339,충청남도 서산시 성연면 성연3로 120,5,공중화장실,3,126.427669,0,,0,0,36.835898,1,15-Jan,2018-08-23
