화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
대구콘서트하우스,N,3,09:00~22:00,대구콘서트하우스,39,0,,대구광역시 중구 태평로2가 1-1,89,개방화장실,60,128.593706,0,대구광역시 중구 태평로 141,0,0,35.8760646,3,,2018-08-09
번개시장,N,0,09:00~18:00,개인,2,0,,대구광역시 중구 태평로1가 1-186,3,개방화장실,3,128.5974539,0,대구광역시 중구 태평로 177-2,0,0,35.87521676,0,,2018-08-09
동흥주유소,Y,0,06:00~24:00,동흥주유소,0,0,053-941-4986,대구광역시 동구 신암동 1296-3,0,공중화장실,0,128.607549,0,대구광역시 동구 신암로 62(신암동),0,0,35.87749616,0,,2018-03-01
대구신성초등학교,N,0,연중무휴,대구신성초등학교,16,4,053-232-2864,대구광역시 동구 신암동 134-87,23,공중화장실,49,128.6289427,0,대구광역시 동구 동북로71길 29(신암동),0,0,35.89012297,1,,2018-03-01
대구축산업협동조합,N,0,연중무휴,대구축산업협동조합,8,1,053-957-9901,대구광역시 동구 신암동 645-4,7,공중화장실,9,128.6222697,0,대구광역시 동구 동북로 296(신암동),0,0,35.89198315,1,,2018-03-01
신암주유소,Y,0,연중무휴,신암주유소,0,0,053-954-6637,대구광역시 동구 신암동 704-10,0,공중화장실,0,128.6155164,0,대구광역시 동구 경대로 54(신암동),0,0,35.88554636,0,,2018-03-01
개인택시조합충전소,N,0,근무시간중 개방,개인택시조합,1,0,,대구광역시 북구 검단동 1016번지 5호,2,공중화장실,2,128.6253366,0,대구광역시 북구 검단로 174 (검단동),0,0,35.91003645,0,,2018-03-01
검단동 행정복지센터,N,0,09:00~18:00,대구광역시 북구청,1,0,,대구광역시 북구 검단동 1266번지 2호,2,공중화장실,1,128.6272191,0,대구광역시 북구 검단로41길 12 (검단동),0,0,35.91346769,0,,2018-03-01
의료법인 배성의료재단,N,0,근무시간중 개방,병원장,19,1,,대구광역시 북구 검단동 986번지 2호,14,공중화장실,13,128.6222936,0,대구광역시 북구 검단로 140 (검단동),0,0,35.90812756,1,,2018-03-01
시민운동장,N,0,연중무휴,대구광역시,93,10,,대구광역시 북구 고성동2가 2번지,140,공중화장실,161,128.5861564,0,대구광역시 북구 고성로 191 (고성동3가),0,7,35.88301806,5,,2018-03-01
KT 북대구 고객서비스센터,N,0,근무시간중 개방,KT,32,0,,대구광역시 북구 고성동3가 103번지,24,공중화장실,25,128.5814518,0,대구광역시 북구 고성로 141 (고성동3가),0,0,35.88186897,0,,2018-03-01
대구도시공사,N,0,09:00~18:00,대구도시공사,15,2,,대구광역시 북구 고성동3가 1번지 1호,15,공중화장실,22,128.5893397,0,대구광역시 북구 침산로 73 (고성동3가),0,0,35.88317422,1,,2018-03-01
고성동주민센터,N,0,09:00~18:00,대구광역시 북구청,4,0,,대구광역시 북구 고성동3가 6번지 270호,3,공중화장실,3,128.5835065,0,대구광역시 북구 고성로31길 21 (고성동3가),0,0,35.8818455,1,,2018-03-01
칠곡IC주유소,N,0,연중무휴,개인,1,1,,대구광역시 북구 관음동 1230번지 2호,2,공중화장실,1,128.5420185,0,대구광역시 북구 관음로 141 (관음동),0,0,35.94307205,0,,2018-03-01
신락어린이공원,N,0,연중무휴,대구광역시 북구청,0,0,,대구광역시 북구 관음동 1251번지,0,공중화장실,0,128.5446694,0,,0,0,35.94467443,0,,2018-03-01
관음동주민센터,N,0,09:00~18:00,대구광역시 북구청,0,0,,대구광역시 북구 관음동 1284번지 10호,0,공중화장실,0,128.5473253,0,대구광역시 북구 관음동로 125 (관음동),0,0,35.94425452,0,,2018-03-01
송암어린이공원,N,0,연중무휴,대구광역시 북구청,0,0,,대구광역시 북구 관음동 1290번지,0,공중화장실,0,128.5471859,0,,0,0,35.94301635,0,,2018-03-01
관음중학교,N,0,09:00~18:00,대구광역시 교육청,21,0,,대구광역시 북구 관음동 1340번지,42,공중화장실,26,128.5464741,0,대구광역시 북구 관음동로 87  (관음동),0,0,35.94106465,1,,2018-03-01
관음초등학교,N,0,09:00~18:00,대구광역시 교육청,31,1,,대구광역시 북구 관음동 1340번지 1호,45,공중화장실,87,128.5471123,0,대구광역시 북구 관음동로17길 16  (관음동),0,0,35.93992099,2,,2018-03-01
가산어린이공원,N,0,연중무휴,대구광역시 북구청,0,0,,대구광역시 북구 관음동 1358번지 4호,0,공중화장실,0,128.5448628,0,,0,0,35.93730061,0,,2018-03-01
북구어울아트센터,N,0,09:00~18:00,대구광역시 북구청,22,6,,대구광역시 북구 관음동 1372번지,33,공중화장실,30,128.5451274,0,대구광역시 북구 구암로 47 (관음동),0,0,35.9358662,3,,2018-03-01
관음근린공원,N,0,연중무휴,대구광역시 북구청,2,0,,대구광역시 북구 관음동 1372번지,5,공중화장실,4,128.5462099,0,,0,0,35.93523948,0,,2018-03-01
읍내어린이공원,N,0,연중무휴,대구광역시 북구청,0,0,,대구광역시 북구 관음동 1382번지,0,공중화장실,0,128.5496966,0,,0,0,35.94061216,0,,2018-03-01
관남초등학교,N,0,09:00~18:00,대구광역시 교육청,34,1,,대구광역시 북구 관음동 1386번지 2호,68,공중화장실,42,128.5477879,0,대구광역시 북구 칠곡중앙대로91길 10  (관음동),0,0,35.93683759,0,,2018-03-01
대구은행칠곡점,N,0,09:00~18:00,대구은행,4,0,,대구광역시 북구 관음동 1402번지,4,공중화장실,4,128.5485526,0,대구광역시 북구 칠곡중앙대로 451 (관음동),0,0,35.93604553,0,,2018-03-01
KB국민은행대구강북지점,N,0,근무시간중 개방,국민은행,9,1,,대구광역시 북구 관음동 1402번지 6호,10,공중화장실,10,128.5483898,0,대구광역시 북구 칠곡중앙대로 439 (관음동),0,0,35.93496987,0,,2018-03-01
성동병원,N,0,근무시간중 개방,병원장,1,2,,대구광역시 북구 관음동 1404번지 2호,1,공중화장실,1,128.5475297,0,대구광역시 북구 칠곡중앙대로99길 21 (관음동),0,0,35.94087081,1,,2018-03-01
선린종합사회복지관,N,0,09:00~18:00,복지관,0,0,,대구광역시 북구 관음동 477번지 1호,0,공중화장실,0,128.5455072,0,대구광역시 북구 관음동로9길 10-25 (관음동),0,0,35.93784742,0,,2018-03-01
함지고등학교,N,0,09:00~18:00,대구광역시 교육청,0,0,,대구광역시 북구 구암동 488번지 3호,0,공중화장실,0,128.5605141,0,대구광역시 북구 학정로48길 46(구암동),0,0,35.92786686,0,,2018-03-01
한국농촌공사경북지역본부,N,0,09:00~18:00,한국농어촌공사,17,0,,대구광역시 북구 구암동 651번지,8,공중화장실,23,128.557711,0,대구광역시 북구 구암로 158 (구암동),0,0,35.93136725,0,,2018-03-01
운암공원,N,0,연중무휴,대구광역시 북구청,0,0,,대구광역시 북구 구암동 655번지 2호,0,공중화장실,0,128.5522173,0,대구광역시 북구 팔거천동로 28-1 (구암동),0,0,35.9273905,0,,2018-03-01
해당화어린이공원,N,0,연중무휴,대구광역시 북구청,0,0,,대구광역시 북구 구암동 662번지,0,공중화장실,0,128.5527551,0,,0,0,35.92701948,0,,2018-03-01
구암고등학교,N,0,09:00~18:00,대구광역시 교육청,0,0,,대구광역시 북구 구암동 672번지,0,공중화장실,0,128.5532052,0,대구광역시 북구 태암남로11길 7 (구암동),0,0,35.92623868,0,,2018-03-01
다람쥐어린이공원,N,0,연중무휴,대구광역시 북구청,0,0,,대구광역시 북구 구암동 679번지,0,공중화장실,0,128.555318,0,,0,0,35.92617888,0,,2018-03-01
구암근린공원,N,0,연중무휴,대구광역시 북구청,3,2,,대구광역시 북구 구암동 694번지,5,공중화장실,3,128.5568381,0,,0,0,35.92844086,1,,2018-03-01
구암초등학교,N,0,09:00~18:00,대구광역시 교육청,26,3,,대구광역시 북구 구암동 694번지 1호,52,공중화장실,59,128.5577585,0,대구광역시 북구 학정로 245  (구암동),0,0,35.92814416,2,,2018-03-01
구암중학교,N,0,09:00~18:00,대구광역시 교육청,21,2,,대구광역시 북구 구암동 694번지 2호,37,공중화장실,30,128.5571402,0,대구광역시 북구 태암로 85  (구암동),0,0,35.92757545,0,,2018-03-01
진달래어린이공원,N,0,연중무휴,대구광역시 북구청,0,0,,대구광역시 북구 구암동 695번지 4호,0,공중화장실,0,128.5588483,0,,0,0,35.93060274,0,,2018-03-01
구암어린이공원,N,0,연중무휴,대구광역시 북구청,0,0,,대구광역시 북구 구암동 700번지,0,공중화장실,0,128.5592501,0,,0,0,35.92646309,0,,2018-03-01
도시철도3호선 칠곡운암역,N,0,연중무휴,도시철도공사,2,1,,대구광역시 북구 구암동 761번지 3호,5,공중화장실,3,128.5545486,2,대구광역시 북구 팔거천동로 79 (구암동),0,0,35.93147674,1,,2018-03-01
도시철도3호선 구암역,N,0,연중무휴,도시철도송사,2,1,,대구광역시 북구 구암동 762번지 13호,5,공중화장실,3,128.5503266,2,대구광역시 북구 팔거천동로 1 (구암동),0,0,35.92566312,1,,2018-03-01
동림빌딩,N,0,근무시간중 개방,개인,8,0,,대구광역시 북구 구암동 765번지 1호,12,공중화장실,8,128.5646114,0,대구광역시 북구 동암로 128 (구암동),0,0,35.9437204,0,,2018-03-01
강북경찰서,N,0,연중무휴,경찰청,28,2,,대구광역시 북구 구암동 771번지 1호,28,공중화장실,26,128.5653064,0,대구광역시 북구 동암로 130 (구암동),0,0,35.94345181,2,,2018-03-01
북대구우체국,N,0,09:00~18:00,북대구우체국,8,8,,대구광역시 북구 구암동 771번지 3호,16,공중화장실,4,128.5657163,0,대구광역시 북구 구암로65길 38 (구암동),0,0,35.94153605,4,,2018-03-01
함지근린공원,N,0,연중무휴,대구광역시 북구청,2,0,,대구광역시 북구 구암동 773번지,3,공중화장실,3,128.5687191,0,,0,0,35.94230786,0,,2018-03-01
강북초등학교,N,0,09:00~18:00,대구광역시 교육청,23,2,,대구광역시 북구 구암동 785번지 1호,34,공중화장실,46,128.5667669,0,대구광역시 북구 구암서로 50  (구암동),0,0,35.94086271,1,,2018-03-01
운암고등학교,N,0,09:00~18:00,대구광역시 교육청,0,0,,대구광역시 북구 구암동 787번지,0,공중화장실,0,128.5637529,0,대구광역시 북구 학정로 378(구암동),0,0,35.93884743,0,,2018-03-01
강북중학교,N,0,09:00~18:00,대구광역시 교육청,30,0,,대구광역시 북구 구암동 787번지 1호,60,공중화장실,60,128.5648981,0,대구광역시 북구 구암서로 27  (구암동),0,0,35.93870274,0,,2018-03-01
동평중학교,N,0,09:00~18:00,대구광역시 교육청,24,2,,대구광역시 북구 구암동 787번지 4호,41,공중화장실,56,128.5635072,0,대구광역시 북구 대천로 123  (구암동),0,0,35.93717451,3,,2018-03-01
