화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
대덕초등학교 화장실C,N,2,09:00~18:00,대덕초등학교,15,1,053-620-1114,대구광역시 남구 대명동 1571번지 1호,30,공중화장실,15,128.5618293,0,대구광역시 남구 대명서로 28  (대명동 1571-1),0,0,35.8524182,2,Jan-68,2018-08-24
감삼치안센터,Y,0,09:00~22:00,대구광역시 경찰청,0,0,053-563-0112,대구광역시 달서구 감삼동 100번지 8호,0,개방화장실,0,128.54236,0,대구광역시 달서구 달구벌대로 1606(감삼동),0,0,35.8517527,0,,2018-03-01
감삼동행정복지센터,N,0,09:00~22:00,대구광역시 달서구청,2,1,053-667-4171,대구광역시 달서구 감삼동 136번지 2호,2,개방화장실,1,128.5421776,0,대구광역시 달서구 감삼북길 119-10(감삼동),0,0,35.85102331,1,,2018-03-01
구병원,N,0,09:00~22:00,구병원,18,1,053-560-9114,대구광역시 달서구 감삼동 139번지 2호,19,공중화장실,22,128.5413829,0,대구광역시 달서구 감삼북길 141(감삼동),0,0,35.85068386,0,,2018-03-01
㈜보해양조,N,0,09:00~18:00,보해양조㈜,12,0,053-554-9721,대구광역시 달서구 감삼동 140번지 32호,10,개방화장실,16,128.5398259,0,대구광역시 달서구 달구벌대로 1580(감삼동),0,0,35.8507615,0,,2018-03-01
㈜삼성전자,N,0,09:00~18:00,삼성전자㈜,5,1,053-556-8788,대구광역시 달서구 감삼동 142번지 1호,5,개방화장실,7,128.5376312,0,대구광역시 달서구 와룡로 180(감삼동),0,0,35.84876742,1,,2018-03-01
대구감삼초등학교,N,0,09:00~18:00,대구광역시 교육청,17,1,053-567-1328,대구광역시 달서구 감삼동 196번지 1호,40,공중화장실,50,128.5451437,0,대구광역시 달서구 당산로 123(감삼동),0,0,35.84917929,1,,2018-03-01
감삼중학교 A동화장실,N,0,09:00~22:00,대구광역시 교육청,18,0,053-231-1045,대구광역시 달서구 감삼동 198번지 4호,45,공중화장실,44,128.5448414,0,대구광역시 달서구 당산로 121(감삼동),0,0,35.84820272,0,,2018-03-01
감삼제일주유소화장실,N,0,09:00~22:00,감삼제일주유소,1,0,053-564-0055,대구광역시 달서구 감삼동 210번지 7호,2,개방화장실,2,128.5464556,0,대구광역시 달서구 당산로 137(감삼동),0,0,35.84947961,0,,2018-03-01
한국주유소화장실,N,0,연중무휴,한국주유소,0,0,053-554-5149,대구광역시 달서구 감삼동 280번지 1호,0,개방화장실,0,128.5375572,0,대구광역시 달서구 와룡로 150(감삼동),0,0,35.84607933,0,,2018-03-01
대구본리초등학교본관,N,0,09:00~18:00,대구광역시 교육청,24,0,053-234-1280,대구광역시 달서구 감삼동 338번지,32,공중화장실,51,128.5386393,0,대구광역시 달서구 장기로 198(감삼동),0,0,35.84457316,0,,2018-03-01
웰컴주유소,N,0,연중무휴,웰컴주유소,2,0,053-562-4442,대구광역시 달서구 감삼동 450번지 1호,2,개방화장실,2,128.5351665,0,대구광역시 달서구 달구벌대로 1536(감삼동),0,0,35.84952708,0,,2018-03-01
죽전메디빌,N,0,09:00~18:00,죽전메디빌,18,1,053-269-7000,대구광역시 달서구 감삼동 452번지 1호,25,개방화장실,36,128.5357206,0,대구광역시 달서구 달구벌대로 1542(감삼동),0,0,35.84956325,1,,2018-03-01
대구개인택시 제2충전소화장실,N,0,연중무휴,㈜LG칼텍스,1,0,053-559-0102,대구광역시 달서구 감삼동 467번지 4호,1,개방화장실,2,128.5362445,0,대구광역시 달서구 와룡로 159(감삼동),0,0,35.84688553,0,,2018-03-01
이마트감삼점화장실,N,0,연중무휴,㈜신세계마트,8,3,,대구광역시 달서구 감삼동 521번지,15,개방화장실,15,128.536364,0,대구광역시 달서구 와룡로 143(감삼동),0,0,35.84550704,3,,2018-03-01
서남시장,N,0,09:00~18:00,서남시장,2,0,053-565-3226,대구광역시 달서구 감삼동 55번지 5호,2,개방화장실,2,128.5451735,0,대구광역시 달서구 달구벌대로329길 17(감삼동),0,0,35.85436593,0,,2018-03-01
감삼정원주유소화장실,N,0,연중무휴,감삼정원주유소,1,0,053-551-8113,대구광역시 달서구 감삼동 61번지 2호,2,개방화장실,1,128.5466819,0,대구광역시 달서구 달구벌대로 1653(감삼동),0,0,35.85428885,0,,2018-03-01
대구지방합동청사화장실,N,0,연중무휴,안정행정부,63,15,,대구광역시 달서구 대곡동 1035번지,88,개방화장실,65,128.5169347,0,대구광역시 달서구 화암로 301(대곡동),0,0,35.80467546,16,,2018-03-01
대구노전초등학교,N,0,09:00~18:00,대구광역시 교육청,29,0,053-637-2602,대구광역시 달서구 도원동 1428번지 3호,52,공중화장실,84,128.5312238,3,대구광역시 달서구 한실로 43(도원동),0,0,35.80817462,0,,2018-03-01
도원동주민센터,N,0,09:00~18:00,대구광역시 달서구청,3,1,053-667-4691,대구광역시 달서구 도원동 1429번지 5호,3,개방화장실,5,128.5321884,0,대구광역시 달서구 한실로 53(도원동),0,0,35.80748105,1,,2018-03-01
대구도원동우체국,N,0,09:00~18:00,지식경제부,0,1,053-653-0013,대구광역시 달서구 도원동 1430번지 1호,1,개방화장실,1,128.5356592,0,대구광역시 달서구 도원로 6(도원동),0,0,35.80916698,0,,2018-03-01
도원119안전센터,Y,0,09:00~18:00,대구광역시,0,0,053-633-9110,대구광역시 달서구 도원동 1430번지 2호,0,개방화장실,0,128.5356295,0,대구광역시 달서구 도원로 8(도원동),0,0,35.80900515,0,,2018-03-01
도원도서관,N,0,09:00~18:00,대구광역시 달서구청,3,0,053-667-4824,대구광역시 달서구 도원동 1438번지 3호,6,개방화장실,6,128.5390474,0,대구광역시 달서구 한실로 113(도원동),0,0,35.80679505,0,,2018-03-01
도원치안센터화장실,Y,0,09:00~18:00,대구광역시 경찰청,0,0,053-631-0113,대구광역시 달서구 도원동 1438번지 4호,0,개방화장실,0,128.5393081,0,대구광역시 달서구 한실로 115(도원동),0,0,35.80677369,0,,2018-03-01
