화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
팔조리휴게소,Y,0,연중무휴,경상북도 청도군청,1,0,054-370-2191,경상북도 청도군 이서면 팔조리 산71-2,1,공중화장실,1,128.6762493,0,경상북도 청도군 이서면 팔조령길 399,0,0,35.72032424,0,09-May,2018-07-23
남문주유소,N,0,연중무휴,개인,2,0,,대구광역시 달서구 대곡동 2번지 9호,1,개방화장실,1,128.5090352,0,대구광역시 달서구 비슬로 2682(대곡동),0,0,35.80767304,0,,2018-03-01
하나로 Ⅱ주유소,N,0,연중무휴,지에스칼텍스㈜,0,0,053-633-3330,대구광역시 달서구 진천동 2번지 9호,0,개방화장실,0,128.5090352,0,대구광역시 달서구 비슬로 2682(진천동),0,0,35.80767304,0,,2018-03-01
대곡역,N,0,연중무휴,대구광역시 지하철공사,3,1,053-643-2114,대구광역시 달서구 진천동 30번지 1호,8,개방화장실,5,128.5116464,0,대구광역시 달서구 비슬로 2708(진천동),0,0,35.80862069,1,,2018-03-01
가창중학교,N,0,연중무휴,대구광역시가창중학교,4,0,053-235-3845,대구광역시 달성군 가창면 냉천리 772-2,6,공중화장실,4,128.644025,0,대구광역시 달성군 가창면 원정길 2,0,0,35.77402704,0,,2018-03-01
가창체육공원,N,0,24시간,대구광역시달성군시설관리공단,1,1,053-659-4106,대구광역시 달성군 가창면 대일리 342,4,공중화장실,3,128.6502954,1,대구광역시 달성군 가창면 가창로 604,0,1,35.76752136,1,,2018-03-01
대구가창초등학교,N,0,연중무휴,대구광역시가창초등학교,11,0,053-235-1130,대구광역시 달성군 가창면 대일리 365,14,공중화장실,19,128.6482452,2,대구광역시 달성군 가창면 가창로 640,0,2,35.77104954,0,,2018-03-01
가창우체국,Y,0,09:00~18:00,대구광역시가창우체국,0,0,053-767-6001,대구광역시 달성군 가창면 용계리 106,0,공중화장실,0,128.6228068,0,대구광역시 달성군 가창면 가창로 216길1,0,0,35.80143992,0,,2018-03-01
용계체육시설,N,0,24시간,대구광역시달성군시설관리공단,1,0,053-659-4106,대구광역시 달성군 가창면 용계리 128,3,공중화장실,2,128.6209171,0,,0,0,35.79990103,0,,2018-03-01
가창파출소,N,0,24시간,대구광역시달성경찰서가창파출소,0,0,053-660-8171,대구광역시 달성군 가창면 용계리 565-82,0,공중화장실,0,128.6231796,0,대구광역시 달성군 가창면 가창로 1076,0,0,35.80062386,0,,2018-03-01
용계초등학교,N,0,연중무휴,대구광역시용계초등학교,22,1,053-235-1057,대구광역시 달성군 가창면 용계리 7,33,공중화장실,43,128.6216049,2,대구광역시 달성군 가창면 가창로 221길1,0,2,35.80456691,0,,2018-03-01
가창면보건지소,N,0,09:00~18:00,대구광역시달성군보건소가창보건지소,2,0,053-668-3414,대구광역시 달성군 가창면 용계리 82,2,공중화장실,4,128.6228326,0,대구광역시 달성군 가창면 가창로 1100,0,0,35.80270839,0,,2018-03-01
가창면사무소,N,0,09:00~21:00,대구광역시달성군가창면사무소,6,0,053-668-5570,대구광역시 달성군 가창면 용계리 82,3,공중화장실,6,128.6228326,0,대구광역시 달성군 가창면 가창로 1100,0,0,35.80270839,0,,2018-03-01
산업단지1호근린공원,N,1,24시간,대구광역시달성군구지면사무소,1,1,053-668-5780,대구광역시 달성군 구지면 내리 840,4,공중화장실,3,128.4197506,1,대구광역시 달성군 구지면 달성2차동1로,0,1,35.64067156,1,,2018-03-01
구지119안전센터,N,0,09:00~18:00,대구광역시달성소방서구지119안전센터,3,2,053-616-0119,대구광역시 달성군 구지면 내리 840-6,1,공중화장실,5,128.4189801,0,대구광역시 달성군 구지면 달성2차로 111,0,0,35.64005341,0,,2018-03-01
곽망우당묘소,N,0,연중무휴,대구광역시달성군구지면사무소,2,0,053-668-5777,대구광역시 달성군 구지면 대암리 180,3,간이화장실,2,128.4045846,0,대구광역시 달성군 구지면 과학남로 61길 30,0,0,35.62922751,0,,2018-03-01
도동서원,N,0,24시간,대구광역시달성군구지면사무소,1,0,053-668-5761,대구광역시 달성군 구지면 도동리 35,2,공중화장실,3,128.3716864,0,대구광역시 달성군 구지면 구지서로 726,0,0,35.70079791,0,,2018-03-01
산업단지2호근린공원,N,0,24시간,대구광역시달성군구지면사무소,1,1,053-668-5780,대구광역시 달성군 구지면 예현리 768-8,4,공중화장실,3,128.4248712,1,대구광역시 달성군 구지면 달성2차동2로,0,0,35.63608347,1,,2018-03-01
창린근린공원,N,0,24시간,대구광역시달성군구지면사무소,1,1,053-668-5780,대구광역시 달성군 구지면 창리 1048-4,3,공중화장실,3,128.4139725,0,대구광역시 달성군 구지면 과학마을로 2길,0,0,35.65258849,1,,2018-03-01
구지중 소프트웨어고등학교,N,0,연중무휴,대구광역시구지중달성정보고,49,4,053-231-9214,대구광역시 달성군 구지면 창리 324,50,공중화장실,42,128.4136173,0,대구광역시 달성군 구지면 창리로 11길93,0,0,35.66325201,4,,2018-03-01
구지파출소,N,0,24시간,대구광역시달성경찰서구지파출소,1,0,053-614-4912,대구광역시 달성군 구지면 창리 372-1,1,공중화장실,1,128.4132517,0,대구광역시 달성군 구지면 창리로 11길51,0,0,35.65930186,0,,2018-03-01
대구구지초등학교,N,0,연중무휴,대구광역시구지초등학교,5,4,053-235-0741,대구광역시 달성군 구지면 창리 385,28,공중화장실,22,128.4125566,0,대구광역시 달성군 구지면 창리로 11길45-11,0,0,35.66021121,5,,2018-03-01
구지우체국,Y,0,09:00~18:00,대구광역시구지우체국,0,0,053-614-4800,대구광역시 달성군 구지면 창리 429-11,0,공중화장실,0,128.413133,0,대구광역시 달성군 구지면 창리로 11길18,0,0,35.6578325,0,,2018-03-01
구지면사무소,N,0,09:00~18:00,대구광역시달성군구지면사무소,5,2,053-668-5761,대구광역시 달성군 구지면 창리 439-1,5,공중화장실,4,128.413473,0,대구광역시 달성군 구지면 창리로 11길38,0,0,35.6585747,0,,2018-03-01
구지면보건지소,N,0,09:00~18:00,대구광역시달성군구지면사무소,2,1,053-668-3448,대구광역시 달성군 구지면 창리 439-1,4,공중화장실,3,128.413473,0,대구광역시 달성군 구지면 창리로 11길38,0,0,35.6585747,1,,2018-03-01
구지시장,N,0,24시간,대구광역시달성군구지면사무소,2,1,053-668-5776,대구광역시 달성군 구지면 창리 424-2,5,공중화장실,3,128.4113693,1,,0,1,35.65800459,1,,2018-03-01
논공우체국,N,0,09:00~18:00,대구광역시논공우체국,1,2,053-611-1600,대구광역시 달성군 논공읍 금포리 1096-3,1,공중화장실,1,128.42532,0,대구광역시 달성군 논공읍 비슬로 366길3,0,0,35.77599665,1,,2018-03-01
달성100년타워,N,0,24시간,대구광역시달성군청,1,0,053-668-2855,대구광역시 달성군 논공읍 금포리 1167,2,간이화장실,1,128.429682,0,,0,0,35.77626929,0,,2018-03-01
달성군청,N,0,06:00~24:00,대구광역시달성군청,66,8,053-668-2262,대구광역시 달성군 논공읍 금포리 1313,58,공중화장실,61,128.4314133,0,대구광역시 달성군 논공읍 달성군청C2:C117로 33,0,1,35.77464099,5,,2018-03-01
달성군새마을회관,N,0,09:00~18:00,대구광역시달성군새마을회관,3,2,053-617-9220,대구광역시 달성군 논공읍 금포리 1323,8,공중화장실,10,128.4325986,0,대구광역시 달성군 논공읍 금강로 16길11,0,0,35.77585968,2,,2018-03-01
대구금포초등학교,N,0,연중무휴,대구광역시금포초등학교,13,0,053-235-0444,대구광역시 달성군 논공읍 금포리 1496,21,공중화장실,17,128.4254975,0,대구광역시 달성군 논공읍 금포초등길 28,0,2,35.77429312,0,,2018-03-01
논공금포시장,N,0,24시간,대구광역시달성군논공읍사무소,2,0,053-668-5506,대구광역시 달성군 논공읍 금포리 1805-1,3,공중화장실,3,128.4217742,0,,0,0,35.77386498,0,,2018-03-01
