화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
반월당역(1호선),N,1,05:20~24:00,대구도시철도공사,6,0,,대구광역시 중구 덕산동 88,7,개방화장실,9,128.5933422,0,대구광역시 중구 달구벌대로 지하2100,0,0,35.86443033,1,,2018-08-09
2.28기념 중앙공원,N,1,24시간,대구시설공단 도심공원,4,0,,대구광역시 중구 공평동 15,7,개방화장실,7,128.5971872,1,대구광역시 중구 동성로2길 80,1,1,35.86921528,1,,2018-08-09
반월당역(2호선),N,2,05:20~24:00,대구도시철도공사,6,0,,대구광역시 중구 덕산동 88,14,개방화장실,8,128.5933422,2,대구광역시 중구 달구벌대로 지하2100,0,0,35.86443033,2,,2018-08-09
갑을빌딩,N,0,09:00~18:30,개인,4,0,,대구광역시 중구 서문로2가 83,2,개방화장실,3,128.5869973,0,대구광역시 중구 국채보상로 515,0,0,35.8704103,0,,2018-08-09
경구중학교,N,1,09:00~18:00,경구중학교,20,0,,대구광역시 중구 남산동 2380-5,8,공중화장실,25,128.5834992,0,대구광역시 중구 남산로 20,0,0,35.85851188,1,,2018-08-09
경대병원역(2호선),N,1,05:20~24:00,대구도시철도공사,5,0,,대구광역시 중구 삼덕동2가 271,15,개방화장실,10,128.603102,1,대구광역시 중구 달구벌대로 지하2190,0,0,35.86357944,1,,2018-08-09
경북공업고등학교,N,2,09:00~18:00,경북공업고등학교,21,0,,대구광역시 중구 남산동 2380,17,공중화장실,66,128.5838761,0,대구광역시 중구 남산로 20,0,0,35.85857314,2,,2018-08-09
케이케이(주) 유성주유소,N,0,07:00~22:00,개인,1,0,,대구광역시 중구 대봉동 186-1,1,개방화장실,1,128.6041376,0,대구광역시 중구 동덕로 6,0,0,35.85560652,0,,2018-08-09
케이케이(주) 중앙주유소,N,1,09:00~23:00,개인,0,0,,대구광역시 중구 동인동2가 25-1 외 3,0,개방화장실,1,128.6006557,0,대구광역시 중구 국채보상로 642,0,0,35.86954045,1,,2018-08-09
경북대학 사범대학 부설중학교,N,4,09:00~18:00,부설중학교,15,0,,대구광역시 중구 대봉동 60-18,13,공중화장실,29,128.6005917,0,대구광역시 중구 달구벌대로 2178,0,0,35.8625375,3,,2018-08-09
경북대학교 동인캠퍼스(의과대),N,1,09:00~18:00,경북대학교,3,0,,대구광역시 중구 동인동2가 101,10,공중화장실,5,128.6040534,0,대구광역시 중구 국채보상로 680,0,0,35.86783791,1,,2018-08-09
경북대학교 사범대학 부설고등학교,N,1,09:00~18:00,부설고등학교,32,0,,대구광역시 중구 대봉동 60-18,51,공중화장실,39,128.6005917,0,대구광역시 중구 달구벌대로 2178,0,0,35.8625375,1,,2018-08-09
경북대학교 치과대학,N,1,09:00~18:00,경북대학교 치과대학,19,0,,대구광역시 중구 삼덕동2가 188-1,31,공중화장실,28,128.6013992,0,대구광역시 중구 달구벌대로 2177,0,0,35.86389445,2,,2018-08-09
경북대학교 치과병원,N,1,09:00~18:00,경북대학교 치과병원,2,0,,대구광역시 중구 삼덕동2가 188-1,4,개방화장실,3,128.6013992,0,대구광역시 중구 달구벌대로 2175,0,0,35.86389445,1,,2018-08-09
경북대학교사범대학 부설초등학교,N,4,09:00~18:00,부설초등학교,35,0,,대구광역시 중구 봉산동 162,56,공중화장실,48,128.5981084,0,대구광역시 중구 달구벌대로 2150,0,0,35.86360446,1,,2018-08-09
경북대학병원,N,9,09:00~18:00,경북대학병원,82,0,,대구광역시 중구 삼덕동2가 50,119,개방화장실,94,128.6042518,0,대구광역시 중구 동덕로 130,0,0,35.86625959,9,,2018-08-09
경상감영공원,N,1,24시간,대구시설공단 도심공원,3,1,,대구광역시 중구 포정동 21,4,개방화장실,2,128.5916873,1,대구광역시 중구 경상감영길 99,0,0,35.8726766,1,,2018-08-09
