화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
엘지 주유소,N,0,24시간,엘지 주유소,2,0,053-651-1123,대구광역시 남구 대명동 1577번지 3호,2,개방화장실,1,128.562128,0,대구광역시 남구 앞산순환로 323  (대명동),0,0,35.829395,0,Oct-93,2018-08-24
진영 주유소,N,0,24시간,진영 주유소,2,0,053-651-2445,대구광역시 남구 대명동 2279번지 3호,2,개방화장실,2,128.5748159,0,대구광역시 남구 성당로 296  (대명동),0,0,35.8591065,0,Aug-92,2018-08-24
이천 주유소,N,0,24시간,이천 주유소,1,0,053-475-5293,대구광역시 남구 이천동 419번지 7호,2,개방화장실,2,128.5981846,0,대구광역시 남구 이천로 119,0,0,35.8518856,0,Apr-97,2018-08-24
도원주유소,N,0,24시간,도원주유소,2,0,053-653-0156,대구광역시 남구 대명동 1823번지 2호,4,개방화장실,2,128.5871223,0,대구광역시 남구 명덕로 154  (대명동),0,0,35.8563755,0,Apr-69,2018-08-24
평화주유소,N,0,24시간,평화주유소,2,0,053-472-6600,대구광역시 남구 봉덕동 477번지 1호,4,개방화장실,2,128.5982509,0,대구광역시 남구 이천로 97,0,0,35.8496581,0,Feb-98,2018-08-24
대구제1 주유소,N,0,24시간,대구제1 주유소,2,0,053-623-6767,대구광역시 남구 대명동 332번지 9호,2,개방화장실,2,128.5817919,0,대구광역시 남구 대명로 226  (대명동),0,0,35.8405427,0,Oct-95,2018-08-24
삼광빌딩,N,1,09:00~18:00,삼광빌딩,12,0,053-655-1130,대구광역시 남구 대명동 1141번지 2호,20,개방화장실,8,128.5563143,0,대구광역시 남구 월배로 474  (대명동 1141-2삼광빌딩),0,0,35.8352969,1,Feb-81,2018-08-24
프라임빌딩,N,1,09:00~18:00,프라임빌딩,12,0,053-622-1814,대구광역시 남구 대명동 1623번지 3호,20,개방화장실,8,128.5649055,0,대구광역시 남구 대명로 67  (대명동 1623-3프라임빌딩),0,0,35.8396219,1,Oct-83,2018-08-24
불교사회복지회,N,1,09:00~18:00,불교사회복지회,5,1,053-472-2222,대구광역시 남구 이천동 381번지 9호,10,개방화장실,5,128.5993197,0,대구광역시 남구 이천로28길 8-52  (이천동),0,0,35.8526595,1,04-Jan,2018-08-24
대덕 복지회관,N,1,09:00~18:00,대덕 복지회관,8,1,053-621-9522,대구광역시 남구 대명동 439번지,16,개방화장실,8,128.5837978,0,대구광역시 남구 큰골길 137  (대명동),0,0,35.8361751,1,Oct-00,2018-08-24
