화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
경신고등학교,N,2,09:00~18:00,경신고등학교,65,1,053-760-0077,대구광역시 수성구 범어4동 100-5,3,공중화장실,140,128.637629,0,대구광역시 수성구 달구벌대로504길 34 (범어동),0,0,35.855446,1,02-Apr,2018-01-01
경신중학교,N,1,07:00~20:00,경신중학교,47,1,053-760-0113,대구광역시 수성구 범어동 100-5,6,공중화장실,83,128.637629,0,대구광역시 수성구 달구벌대로504길 34,0,0,35.855446,1,Nov-92,2018-01-01
대구경동초등학교,N,6,09:00~18:00,대구경동초등학교,43,10,053-232-2976,대구광역시 수성구 범어4동 89,73,공중화장실,70,128.639442,0,대구광역시 수성구 청호로76길 12 (범어동),0,0,35.852172,1,Jan-83,2018-01-01
정화중학교,N,2,09:00~18:00,정화중학교,36,2,053-740-1876,대구광역시 수성구 범어4동 산105-1,83,공중화장실,64,128.64116,0,대구광역시 수성구 청호로84길 123 (범어동),0,0,35.850249,2,04-Mar,2018-01-01
정화여자고등학교,N,3,09:00~18:00,정화여자고등학교,85,2,053-740-1700,대구광역시 수성구 범어동 산105-1,97,공중화장실,79,128.64116,0,대구광역시 수성구 청호로84길 123 (범어동),0,0,35.850249,2,04-Apr,2018-01-01
대공원시장,N,0,09:00~18:00,대공원시장,1,0,053-755-7441,대구광역시 수성구 범어4동 204-1,1,공중화장실,3,128.635182,0,대구광역시 수성구 범어로19길 11 (범어동),0,0,35.857689,0,Oct-84,2018-01-01
부광빌딩,N,0,09:00~24:00,부광빌딩,11,0,053-767-0320,대구광역시 수성구 범어4동 205-2,10,공중화장실,10,128.636152,0,대구광역시 수성구 달구벌대로 2500 (범어동),0,0,35.858424,0,Nov-92,2018-01-01
대아빌딩,N,0,09:00~18:00,대아빌딩,29,0,053-765-5200,대구광역시 수성구 범어4동 212-1,19,공중화장실,29,128.639852,0,대구광역시 수성구 달구벌대로 2532 (범어동),0,0,35.858444,0,Oct-92,2018-01-01
골드타워,N,2,09:00~18:00,골드타워,13,0,053-741-8400,대구광역시 수성구 범어4동 198-2,20,공중화장실,13,128.634503,0,대구광역시 수성구 달구벌대로 2486 (범어동),0,0,35.858463,1,08-Oct,2018-01-01
KB손해보험,N,1,09:00~18:00,KB손해보험,70,0,053-669-7200,대구광역시 수성구 범어4동 41-3,89,공중화장실,83,128.641192,0,대구광역시 수성구 달구벌대로 2397 (범어동),0,0,35.858077,1,09-Dec,2018-01-01
상동게이트볼장,N,0,09:00~18:00,상동게이트볼장,1,0,053-666-2183,대구광역시 수성구 상동 667-42,1,개방화장실,1,128.607401,0,대구광역시 수성구 상동 667-42,0,0,35.831043,0,Jan-00,2018-01-01
상동방천주유소,N,0,06:00~24:00,상동방천주유소,1,0,053-768-5100,대구광역시 수성구 상동 208,1,공중화장실,2,128.610167,0,대구광역시 수성구 신천동로 85 (상동),0,0,35.832662,0,Sep-94,2018-01-01
상동LPG충전소,N,0,24시간,상동LPG충전소,2,0,053-764-5050,대구광역시 수성구 상동 675-11,1,공중화장실,2,128.607787,0,대구광역시 수성구 신천동로 51 (상동),0,0,35.829434,0,05-Nov,2018-01-01
버디클럽오일뱅크,N,0,24시간,버디클럽오일뱅크,1,0,053-768-2600,대구광역시 수성구 상동 611-8,1,개방화장실,1,128.609828,0,대구광역시 수성구 무학로 12 (상동),0,0,35.828884,0,Oct-94,2018-01-01
동도중학교,N,0,09:00~18:00,동도중학교,8,0,053-232-7200,대구광역시 수성구 범어4동 336,38,공중화장실,15,128.63949,0,대구광역시 수성구 청호로 350 (범어동),0,0,35.849448,0,Apr-84,2018-01-01
상동주유소,N,0,07:00~22:00,상동주유소,1,0,053-767-5544,대구광역시 수성구 상동 282-2,1,개방화장실,1,128.611182,0,대구광역시 수성구 수성로 93 (상동),0,0,35.833849,0,Aug-92,2018-01-01
수성주유소,Y,0,05:00~24:00,수성주유소,1,0,053-764-3030,대구광역시 수성구 상동 623-1,0,개방화장실,1,128.609418,0,대구광역시 수성구 수성로 1,0,0,35.826061,0,Apr-93,2018-01-01
삼보주유소,N,0,06:00~23:30,삼보주유소,1,0,053-764-3551,대구광역시 수성구 상동 409-2,2,개방화장실,1,128.61531,0,대구광역시 수성구 무학로 61 (상동),0,0,35.830026,0,Mar-95,2018-01-01
수성초등학교,N,5,08:30~16:30,수성초등학교,21,8,053-232-0707,대구광역시 수성구 상동 89-2,42,공중화장실,36,128.610226,0,대구광역시 수성구 상화로5길 40 (상동),0,0,35.836837,4,Nov-97,2018-01-01
덕화중학교,N,4,07:30~18:00,덕화중학교,37,0,053-232-7835,대구광역시 수성구 상동 328-1,50,공중화장실,47,128.614936,0,대구광역시 수성구 들안로9길 36 (상동),0,0,35.832625,4,Dec-82,2018-01-01
한국전파진흥원,N,0,07:00~18:00,한국전파진흥원,12,0,053-766-9001,대구광역시 수성구 상동 6-12,6,공중화장실,18,128.615388,0,대구광역시 수성구 청수로 66 (상동),0,0,35.840164,0,Mar-96,2018-01-01
동성초등학교,N,3,09:00~18:00,동성초등학교,33,0,053-232-1506,대구광역시 수성구 수성동1가 282,61,공중화장실,80,128.612532,0,대구광역시 수성구 수성로 311 (수성동1가),0,0,35.853188,3,Jul-68,2018-01-01
신명여자중학교,N,2,09:00~18:00,신명여자중학교,6,0,053-232-9296,대구광역시 수성구 수성동1가 96-16,49,공중화장실,13,128.609262,0,대구광역시 수성구 신천동로 364 (수성동1가),0,0,35.857512,4,Jan-98,2018-01-01
대구남산고등학교,N,4,09:00~18:00,대구남산고등학교,43,2,053-235-6563,대구광역시 수성구 수성동1가 96-16,72,공중화장실,47,128.609262,0,대구광역시 수성구 신천동로 364 (수성동1가),0,0,35.857512,8,Nov-88,2018-01-01
수성현대시장,N,0,09:00~18:00,수성현대시장,3,0,,대구광역시 수성구 수성동1가 649-76,4,공중화장실,2,128.609412,0,대구광역시 수성구 신천동로 280 (수성동1가  수성현대아파트),0,0,35.849512,0,Jan-00,2018-01-01
대봉교주유소,N,0,24시간,대봉교주유소,2,0,053-764-5188,대구광역시 수성구 수성동2가 173,1,공중화장실,2,128.615422,0,대구광역시 수성구 명덕로 414 (수성동2가),0,0,35.85413,0,Dec-95,2018-01-01
동중학교,N,5,09:00~18:00,동중학교,18,0,053-755-2491,대구광역시 수성구 수성동2가 119-4,37,공중화장실,36,128.616158,0,대구광역시 수성구 수성로76길 33 (수성동2가),0,0,35.85856,3,Oct-73,2018-01-01
동일초등학교,N,5,09:00~18:00,동일초등학교,23,2,053-232-3207,대구광역시 수성구 수성동2가 17-1,50,공중화장실,46,128.616982,0,대구광역시 수성구 들안로 311 (수성동2가),0,0,35.858201,5,Mar-83,2018-01-01
태백시장,N,0,09:00~18:00,태백시장,3,0,053-754-7027,대구광역시 수성구 수성동2가 39-4,3,공중화장실,0,128.616752,0,대구광역시 수성구 들안로 281 (수성동2가),0,0,35.855106,0,Dec-74,2018-01-01
동성시장,N,0,09:00~18:00,동성시장,2,0,,대구광역시 수성구 수성동2가 39-1,2,공중화장실,1,128.617083,0,대구광역시 수성구 수성동2가  39-3,0,0,35.855934,0,May-75,2018-01-01
교보생명빌딩,N,0,09:00~18:00,교보생명빌딩,21,0,053-755-2221,대구광역시 수성구 수성동2가 1,18,공중화장실,36,128.616957,0,대구광역시 수성구 달구벌대로 2330 (수성동2가),0,0,35.859304,0,Dec-89,2018-01-01
광덕빌딩,N,0,09:00~18:00,광덕빌딩,20,0,053-746-2727,대구광역시 수성구 수성동2가 168-4,20,공중화장실,20,128.615089,0,대구광역시 수성구 명덕로 411 (수성동2가),0,0,35.854694,0,Oct-91,2018-01-01
대구은행본점,N,2,09:00~18:00,대구은행본점,121,0,053-756-2001,대구광역시 수성구 수성동2가 118,122,공중화장실,132,128.615019,0,대구광역시 수성구 달구벌대로 2310 (수성동2가),0,0,35.859077,2,May-85,2018-01-01
아조빌딩,N,1,08:00~22:00,아조빌딩,17,1,053-761-4601,대구광역시 수성구 수성동3가 330,16,공중화장실,17,128.61755,0,대구광역시 수성구 들안로 274 (수성동3가),0,0,35.854497,1,Aug-98,2018-01-01
