화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
가야장갑 앞,N,1,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,1,127.414263,0,대전광역시 대덕구 오정동 763,0,0,36.342109,1,Mar-14,2017-01-01
에코공원 내,N,1,24시간,하천관리사업소,1,0,042-270-8431,,3,이동화장실,3,127.443598,0,대전광역시 대덕구 신탄진동 4-2,0,0,36.448896,0,Feb-12,2017-01-01
비래정 앞,N,1,연중무휴,대전광역시 공원관리사업소,3,0,042-270-7879,,7,공중화장실,6,127.460174,1,대전광역시 대덕구 비래동 산28-6,1,0,36.357257,1,Mar-05,2017-01-01
관리사A,N,1,연중무휴,대전광역시 공원관리사업소,4,0,042-270-7880,,8,공중화장실,6,127.458505,1,대전광역시 대덕구 비래동 산26-27,0,0,36.358301,1,Jan-07,2017-01-01
봉황마당,N,0,연중무휴,대전광역시 공원관리사업소,2,0,042-270-7885,,2,공중화장실,1,127.437474,0,대전광역시 대덕구 읍내동 산1-9,0,0,36.382002,0,Jul-04,2017-01-01
용화사 입구,N,0,연중무휴,대전광역시 공원관리사업소,3,0,042-270-7886,,4,공중화장실,0,127.437474,0,대전광역시 대덕구 읍내동 산1-9,0,0,36.382002,0,Aug-97,2017-01-01
장동사무실 옆,N,0,연중무휴,대전광역시 공원관리사업소,2,0,042-270-7887,,2,공중화장실,1,127.442199,0,대전광역시 대덕구 장동 산63,0,0,36.405691,1,Feb-85,2017-01-01
물놀이장,N,0,연중무휴,대전광역시 공원관리사업소,1,0,042-270-7888,,1,공중화장실,1,127.445632,0,대전광역시 대덕구 장동 486,0,0,36.405392,1,Aug-09,2017-01-01
다목적광장,N,0,연중무휴,대전광역시 공원관리사업소,1,0,042-270-7889,,3,공중화장실,2,127.451235,0,대전광역시 대덕구 장동 산59,0,0,36.401128,0,Mar-14,2017-01-01
공연장,N,0,연중무휴,대전광역시 공원관리사업소,1,0,042-270-7890,,2,공중화장실,1,127.451235,0,대전광역시 대덕구 장동 산59,0,0,36.401128,0,Jan-11,2017-01-01
산성입구,N,0,연중무휴,대전광역시 공원관리사업소,1,0,042-270-7892,,1,공중화장실,1,127.449379,0,대전광역시 대덕구 장동 산82,0,0,36.396316,0,Jan-15,2017-01-01
맹꽁이 서식지,N,0,24시간,하천관리사업소,1,0,042-270-8431,,2,이동화장실,1,127.402184,0,대전광역시 대덕구 문평동 747,0,0,36.452378,0,Aug-11,2017-01-01
신구교 야구장,N,0,24시간,하천관리사업소,2,0,042-270-8431,,4,이동화장실,2,127.391877,0,대전광역시 대덕구 문평동 555,0,0,36.444941,0,Jan-11,2017-01-01
신구교 야구장,N,0,24시간,하천관리사업소,1,0,042-270-8431,,2,이동화장실,1,127.391097,0,대전광역시 대덕구 문평동 705,0,0,36.443621,0,Jul-11,2017-01-01
신구교 야구장,N,0,24시간,하천관리사업소,1,0,042-270-8431,,2,이동화장실,1,127.391403,0,대전광역시 대덕구 문평동 570,0,0,36.441139,0,Jul-11,2017-01-01
신구교 야구장,N,0,24시간,하천관리사업소,1,0,042-270-8431,,1,이동화장실,1,127.393424,0,대전광역시 대덕구 문평동 631,0,0,36.439106,0,Jun-01,2017-01-01
