화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
우성사료물류 앞,N,1,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,1,127.440799,0,대전광역시 동구 천동 121,0,0,36.312942,1,Jul-14,2017-01-01
석교상류 제방,N,1,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,2,127.449492,0,대전광역시 동구 가오동 392-17,0,0,36.307131,1,Jun-08,2017-01-01
옥계교하류,N,1,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,2,127.456386,0,대전광역시 중구 옥계동 194-3,0,0,36.298398,1,Feb-09,2017-01-01
관리사B,N,1,연중무휴,대전광역시 공원관리사업소,4,0,042-270-7881,,8,공중화장실,6,127.484626,1,대전광역시 동구 세천동 358,0,0,36.330173,1,Jan-07,2017-01-01
세천주차장,N,1,연중무휴,대전광역시 공원관리사업소,1,0,042-270-7882,,3,공중화장실,2,127.480535,0,대전광역시 동구 삼정동 3-11,0,0,36.330751,1,Dec-09,2017-01-01
생태공원,N,1,연중무휴,대전광역시 공원관리사업소,1,0,042-270-7883,,3,공중화장실,1,127.482423,0,대전광역시 동구 세천동 369,0,0,36.330049,1,May-13,2017-01-01
식장산정상,N,0,연중무휴,대전광역시 공원관리사업소,1,0,042-270-7884,,2,공중화장실,2,127.484101,0,대전광역시 동구 세천동 산43-3,0,0,36.304297,0,Mar-11,2017-01-01
대동하늘공원,N,1,24시간,대전광역시 동구청,1,0,042-251-4584,대전광역시 동구 대동 1-636,3,공중화장실,2,127.4515824,0,,0,0,36.33183844,1,May-17,2018-08-01
구)삼성시장,N,0,24시간,대전광역시 동구청,2,0,042-251-4583,대전광역시 동구 삼성동 105-1,0,공중화장실,2,127.4299604,0,,0,0,36.33966829,0,Jan-94,2018-08-01
삼성타운,N,0,24시간,대전광역시 동구청,3,0,042-251-4583,대전광역시 동구 삼성동 154-8,4,공중화장실,3,127.4326734,0,,0,0,36.34120131,0,Jan-85,2018-08-01
북부교,N,0,24시간,대전광역시 동구청,4,0,042-251-4583,대전광역시 동구 삼성동 285-37,4,공중화장실,4,127.4255682,0,,0,0,36.33738061,0,Jan-94,2018-08-01
저소득층밀집지역(인동),Y,0,24시간,대전광역시 동구청,3,0,042-251-4583,대전광역시 동구 성남동 205-172,0,공중화장실,3,127.4323095,0,,0,0,36.34549943,0,Jan-93,2018-08-01
신인동사무소,N,1,24시간,대전광역시 동구청,3,0,042-251-4583,대전광역시 동구 인동 16-2,3,공중화장실,3,127.4378461,0,,0,0,36.32363478,1,Jan-95,2018-08-01
대흥로,N,0,24시간,대전광역시 동구청,3,0,042-251-4583,대전광역시 동구 인동 77-45,0,공중화장실,0,127.4348508,0,,0,0,36.32491457,0,Jan-85,2018-08-01
식장산 등산로변,N,1,24시간,대전광역시 동구청,3,1,042-251-4583,대전광역시 동구 대성동 4-2,4,공중화장실,4,127.4693008,0,,0,0,36.30072644,0,Jan-03,2018-08-01
매봉어린이공원,N,0,24시간,대전광역시 동구청,2,0,042-251-4583,대전광역시 동구 가양동 430-6,2,공중화장실,2,127.4425017,0,,0,0,36.34814762,0,Jan-04,2018-08-01
곤룡쉼터,N,0,24시간,대전광역시 동구청,1,0,042-251-4583,대전광역시 동구 낭월동 산4-18,1,공중화장실,1,127.4871682,0,,0,0,36.27793441,0,Jul-04,2018-08-01
가오근린공원,N,1,24시간,대전광역시 동구청,3,0,042-251-4583,대전광역시 동구 대성동 132,6,공중화장실,3,127.4605533,0,,0,0,36.30126872,1,Jan-06,2018-08-01
상소동산림욕장(상),N,0,24시간,대전광역시 동구청,2,0,042-251-4583,대전광역시 동구 상소동 산1-1,4,공중화장실,2,127.4710614,1,,0,1,36.23130308,1,Jan-02,2018-08-01
상소동산림욕장(하),N,0,24시간,대전광역시 동구청,2,0,042-251-4583,대전광역시 동구 상소동 산1-1,4,공중화장실,2,127.4710614,0,,0,0,36.23130308,0,Jan-11,2018-08-01
성남 어린이공원,N,0,24시간,대전광역시 동구청,1,0,042-251-4583,대전광역시 동구 성남동 495-1,2,공중화장실,2,127.4368013,0,,0,0,36.34793789,0,Jan-10,2018-08-01
선암 어린이공원,N,0,24시간,대전광역시 동구청,1,0,042-251-4583,대전광역시 동구 용운동 377-7,1,공중화장실,1,127.4600529,0,,0,0,36.32600978,0,Jan-09,2018-08-01
찬샘정 소공원,N,0,24시간,대전광역시 동구청,1,0,042-251-4583,대전광역시 동구 직동 산31-1,2,공중화장실,1,127.4891458,0,,0,0,36.42410708,0,Jan-01,2018-08-01
판암근린공원,N,0,24시간,대전광역시 동구청,1,0,042-251-4583,대전광역시 동구 판암동 496-25,3,공중화장실,2,127.4542056,1,,0,0,36.3186497,1,Jan-14,2018-08-01
동산 어린이공원,N,0,24시간,대전광역시 동구청,1,0,042-251-4583,대전광역시 동구 홍도동 111-1,1,공중화장실,1,127.4207127,0,,0,0,36.34749096,0,Jan-07,2018-08-01
홍도 어린이공원,N,1,24시간,대전광역시 동구청,0,0,042-251-4583,대전광역시 동구 홍도동 142-4,1,공중화장실,1,127.4221939,0,,0,0,36.34451907,1,Jan-14,2018-08-01
효평동 소공원,N,0,24시간,대전광역시 동구청,2,0,042-251-4583,대전광역시 동구 효평동 산39-7,0,공중화장실,1,127.474083,0,,0,0,36.39176923,0,Jan-07,2018-08-01
프라이드화장실,N,1,24시간,대전광역시 동구청,2,0,042-251-4583,대전광역시 동구 용운동 659,6,공중화장실,4,127.4562068,0,,0,0,36.33337451,1,Jan-09,2018-08-01
가팔 어린이공원,N,0,24시간,대전광역시 동구청,2,0,042-251-4583,대전광역시 동구 가양동 652-4,2,공중화장실,2,127.4498095,0,,0,0,36.34428133,0,Jan-10,2018-08-01
초지공원(상),N,0,24시간,대전광역시 동구청,3,0,042-251-4583,대전광역시 동구 대별동 산5-8,3,공중화장실,3,127.4627515,0,,0,0,36.27684903,0,Jan-87,2018-08-01
초지공원(하),N,0,24시간,대전광역시 동구청,2,0,042-251-4583,대전광역시 동구 대별동 산5-8,0,공중화장실,3,127.4627515,0,,0,0,36.27684903,0,Jan-87,2018-08-01
자연 수변공원,N,0,24시간,대전광역시 동구청,1,0,042-251-4583,대전광역시 동구 추동 333,4,공중화장실,2,127.4756287,0,,0,0,36.37176439,0,Jan-12,2018-08-01
공공공지,N,0,24시간,대전광역시 동구청,2,0,042-251-4583,대전광역시 동구 세천동 95,4,공중화장실,3,127.4913066,0,,0,0,36.34575446,0,Jan-13,2018-08-01
구도근린공원,N,0,24시간,대전광역시 동구청,1,0,042-251-4583,대전광역시 동구 구도동 388,3,공중화장실,2,127.4692619,0,,0,0,36.26967908,0,Jan-12,2018-08-01
옥토끼 어린이공원,N,0,24시간,대전광역시 동구청,1,0,042-251-4583,대전광역시 동구 낭월동 810,3,공중화장실,2,127.4672651,0,,0,0,36.2752454,0,Jan-12,2018-08-01
세천체육공원,N,0,24시간,대전광역시 동구청,1,0,042-251-4583,대전광역시 동구 세천동 산5-1,1,공중화장실,1,127.4969971,0,,0,0,36.34161438,0,Jan-00,2018-08-01
판암동네체육시설,N,0,24시간,대전광역시 동구청,1,0,042-251-4583,대전광역시 동구 판암동 산24,0,공중화장실,1,127.4705669,0,,0,0,36.31133014,0,Jan-97,2018-08-01
중앙시장,N,0,24시간,대전광역시 동구청,3,0,042-251-4583,대전광역시 동구 원동 36-15,5,공중화장실,4,127.4344255,0,,0,0,36.32694917,0,Jan-02,2018-08-01
만남의광장,N,0,24시간,대전광역시 동구청,3,0,042-251-4583,대전광역시 동구 중동 82-5,5,공중화장실,5,127.4310652,0,,0,0,36.32913137,0,Jan-04,2018-08-01
중앙시장 공영주차장,N,0,24시간,대전광역시 동구청,2,0,042-251-4583,대전광역시 동구 원동 51-12,3,공중화장실,2,127.4330359,0,,0,0,36.32940902,0,Jan-14,2018-08-01
대전천(아파트 앞),N,0,24시간,대전광역시 동구청,1,0,042-251-4583,대전광역시 동구 대별동 3-3,2,공중화장실,2,127.4639312,0,,0,0,36.28284994,1,Jan-09,2018-08-01
대전천(별천지 앞),N,0,24시간,대전광역시 동구청,1,0,042-251-4583,대전광역시 동구 대성동 283-6,2,공중화장실,2,127.4604216,0,,0,0,36.29250976,1,Jan-09,2018-08-01
야외화장실,N,0,24시간,대전광역시 동구청,1,0,042-251-4583,대전광역시 동구 낭월동 288-80,2,공중화장실,2,127.4639594,0,,0,0,36.27709668,1,Jan-12,2018-08-01
