화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
용문교 상류2,N,1,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,1,127.401039,0,대전광역시 서구 용문동 205-4,0,0,36.338576,1,Jul-13,2017-01-01
우드볼경기장,N,0,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,1,127.399503,0,대전광역시 서구 용문동 513-3,0,0,36.336655,0,Jul-02,2017-01-01
가장교하류 축구장 뒷편,N,0,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,1,127.390718,0,대전광역시 서구 가장동 183-1,0,0,36.329604,0,Jul-02,2017-01-01
가장교 하부,N,1,24시간,하천관리사업소,0,1,042-270-8431,,1,이동화장실,1,127.389131,0,대전광역시 서구 가장동 183-1천,0,0,36.328282,1,Apr-15,2017-01-01
태평교 하부,N,0,24시간,하천관리사업소,1,0,042-270-8431,,1,이동화장실,1,127.386251,0,대전광역시 서구 변동 26-1,0,0,36.323936,0,May-02,2017-01-01
천일아트빌(아) 앞,N,0,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,1,127.384742,0,대전광역시 서구 변동 116-1,0,0,36.321617,0,Jul-02,2017-01-01
버드내중학교 앞,N,0,24시간,하천관리사업소,1,0,042-270-8431,,2,이동화장실,1,127.384179,0,대전광역시 서구 도마동 508,0,0,36.317568,0,Jan-05,2017-01-01
도마교 하류,N,1,24시간,하천관리사업소,0,0,042-270-8431,,2,이동화장실,1,127.385703,0,대전광역시 서구 도마동 508천,0,0,36.312044,0,Feb-05,2017-01-01
도마교 입구,N,0,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,1,127.385303,0,대전광역시 서구 도마동 5-4천 5-2,0,0,36.311311,0,Mar-02,2017-01-01
제1사정교 상류,N,1,24시간,하천관리사업소,0,0,042-270-8431,,0,이동화장실,1,127.378263,1,대전광역시 서구 복수동 53-3,0,0,36.293834,1,Mar-11,2017-01-01
동원 A 화장실 (암석원),N,1,하절기 06:00~20:00 / 동절기 08:00~19:00,대전광역시 한밭수목원,3,0,042-270-8452,대전광역시 서구 만년동 396 한밭수목원,5,공중화장실,5,127.391385,1,대전광역시 서구 둔산대로 169,0,0,36.370368,1,May-08,2017-01-01
동원 B 화장실(약용식물원),N,1,하절기 06:00~20:00 / 동절기 08:00~19:00,대전광역시 한밭수목원,3,0,042-270-8452,대전광역시 서구 만년동 397 한밭수목원,5,공중화장실,5,127.390276,1,대전광역시 서구 둔산대로 169,0,0,36.367718,1,Sep-08,2017-01-01
서원 A 화장실(숲속교실),N,1,하절기 06:00~20:00 / 동절기 08:00~19:00,대전광역시 한밭수목원,3,0,042-270-8452,대전광역시 서구 만년동 398 한밭수목원,5,공중화장실,5,127.385609,1,대전광역시 서구 둔산대로 169,0,0,36.370195,0,Jul-03,2017-01-01
서원 B 화장실(작은문고),N,1,하절기 06:00~20:00 / 동절기 08:00~19:00,대전광역시 한밭수목원,3,0,042-270-8452,대전광역시 서구 만년동 399 한밭수목원,5,공중화장실,5,127.383701,1,대전광역시 서구 둔산대로 169,0,0,36.369919,0,Jul-03,2017-01-01
서원 C 화장실(공작교실),N,1,하절기 06:00~20:00 / 동절기 08:00~19:00,대전광역시 한밭수목원,3,0,042-270-8452,대전광역시 서구 만년동 400 한밭수목원,5,공중화장실,5,127.384354,1,대전광역시 서구 둔산대로 169,0,0,36.367718,0,May-03,2017-01-01
전시온실,N,1,하절기 09:00~17:30 / 동절기 09:00~17:30,대전광역시 한밭수목원,0,0,042-270-8452,대전광역시 서구 만년동 401 한밭수목원,0,개방화장실,0,127.391454,0,대전광역시 서구 둔산대로 169,0,0,36.366583,1,Mar-11,2017-01-01
연구관리동(직원),N,0,하절기 09:00~17:30 / 동절기 09:00~17:30,대전광역시 한밭수목원,1,0,042-270-8452,대전광역시 서구 만년동 402 한밭수목원,2,개방화장실,1,127.391179,0,대전광역시 서구 둔산대로 169,0,0,36.366936,0,Mar-11,2017-01-01
연구관리동(일반),N,1,하절기 09:00~17:30 / 동절기 09:00~17:30,대전광역시 한밭수목원,2,0,042-270-8452,대전광역시 서구 만년동 403 한밭수목원,6,개방화장실,3,127.391179,1,대전광역시 서구 둔산대로 169,0,1,36.366936,1,Apr-11,2017-01-01
광장 화장실,N,1,24시간,대전광역시 한밭수목원,3,0,042-270-8452,대전광역시 서구 만년동 404 한밭수목원,6,공중화장실,5,127.388544,1,대전광역시 서구 둔산대로 169,0,1,36.366482,1,Apr-05,2017-01-01
갑천 화장실,N,1,24시간,대전광역시 한밭수목원,4,0,042-270-8452,대전광역시 서구 만년동 405 한밭수목원,9,공중화장실,5,127.389262,1,대전광역시 서구 둔산대로 169,0,0,36.370486,1,Jun-11,2017-01-01
청사내 화장실,N,0,24시간,대전광역시 한밭수목원,3,0,042-270-8452,대전광역시 서구 만년동 406 한밭수목원,3,개방화장실,4,127.387931,0,대전광역시 서구 둔산대로 169,0,0,36.366458,0,Feb-11,2017-01-01
엑스포다리 하부(수목원 앞),N,1,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,2,127.388254,0,대전광역시 서구 만년동 565,0,0,36.370981,1,May-09,2017-01-01
만년동 둔천초교 앞,N,1,24시간,하천관리사업소,0,1,042-270-8431,,1,이동화장실,0,127.372881,0,대전광역시 서구 만년동 670,0,0,36.368417,1,Sep-16,2017-01-01
월평동 주공1단지@ 앞,N,1,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,1,127.368904,0,대전광역시 서구 만년동 682,0,0,36.365176,1,Apr-13,2017-01-01
월평동 다모아@ 앞,N,0,24시간,하천관리사업소,1,0,042-270-8431,,2,이동화장실,1,127.364745,0,대전광역시 서구 월평동 1557,0,0,36.362953,0,Apr-04,2017-01-01
갑천대교 상류,N,0,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,1,127.358399,0,대전광역시 서구 월평동 216,0,0,36.357651,0,Feb-02,2017-01-01
만년대교 하부,N,0,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,1,127.350784,0,대전광역시 서구 월평동 186-7,0,0,36.350931,0,Feb-02,2017-01-01
입의마을 앞,N,1,24시간,하천관리사업소,0,1,042-270-8431,,1,이동화장실,0,127.353341,0,대전광역시 서구 월평동 191-5,0,0,36.341486,1,Jul-16,2017-01-01
정림중학교,N,1,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,1,127.361678,0,대전광역시 서구 정림동 290-2,0,0,36.297134,1,Jan-12,2017-01-01
모세골교 하류,N,0,24시간,하천관리사업소,1,0,042-270-8431,,2,이동화장실,1,127.358831,0,대전광역시 서구 괴곡동 960-14,0,0,36.290252,0,Jan-15,2017-01-01
흑석동 상보안유원지,N,0,24시간,하천관리사업소,1,0,042-270-8431,,2,이동화장실,1,127.345525,0,대전광역시 서구 흑석동 738-1,0,0,36.274491,0,May-13,2017-01-01
흑석동 상보안유원지 낚시터,N,0,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,1,127.342832,0,대전광역시 서구 흑석동 738,0,0,36.276905,0,Aug-02,2017-01-01
흑석동 적십자수련원 앞,N,0,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,1,127.334108,0,대전광역시 서구 흑석동 530-12,0,0,36.278407,0,Aug-07,2017-01-01
흑석동 장평유원지,N,0,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,1,127.335661,0,대전광역시 서구 흑석동 804,0,0,36.274186,0,Jun-02,2017-01-01
흑석동 장평보 옆,N,0,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,1,127.340288,0,대전광역시 서구 흑석동 749,0,0,36.271269,0,Sep-07,2017-01-01
봉곡동 낚시터,N,0,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,1,127.327618,0,대전광역시 서구 용촌동 90-2,0,0,36.254554,0,May-93,2017-01-01
봉곡2교 옆,N,0,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,1,127.325127,0,대전광역시 서구 봉곡동 519,0,0,36.254488,0,Jun-94,2017-01-01
정림중보 옆,N,0,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,1,127.356354,0,대전광역시 서구 괴곡동 515-5,0,0,36.285141,0,Aug-02,2017-01-01
중촌근린공원 앞,N,0,24시간,하천관리사업소,1,0,042-270-8431,,1,이동화장실,1,127.403464,0,대전광역시 중구 중촌동 471-15,0,0,36.340081,0,Jul-05,2017-01-01
평송수련원 앞 입구,N,0,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,1,127.394504,0,대전광역시 서구 둔산동 1746,0,0,36.363768,0,May-02,2017-01-01
샘머리(아) 앞,N,1,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,1,127.396462,0,대전광역시 서구 둔산동 1693,0,0,36.361532,1,Jul-12,2017-01-01
한밭대교 위(보라@앞),N,1,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,1,127.401905,0,대전광역시 서구 둔산동 2212,0,0,36.353496,1,Jun-12,2017-01-01
용문교 상류1,N,1,24시간,하천관리사업소,0,0,042-270-8431,,1,이동화장실,1,127.401885,0,대전광역시 서구 용문동 513-1,0,0,36.344384,1,Jul-12,2017-01-01
장승공원(이동식),N,0,연중무휴,추소리마을회,1,0,,충청북도 옥천군 군북면 추소리 N소담악,1,공중화장실,0,127.334095,0,,0,0,36.211307,0,Jan-15,2018-07-31
대촌리(이동식),N,0,연중무휴,대촌리마을회,1,0,,,2,공중화장실,2,127.325111,0,충청북도 옥천군 군북면 방아실길 140-26,0,0,36.232158,0,Jul-13,2018-07-31
둔지미공원①,N,1,연중무휴,대전광역시 서구청,1,1,042-288-3634,,4,공중화장실,2,127.3754864,0,대전광역시 서구 둔산동 956,0,0,36.35715442,1,,2018-07-25
둔지미공원②,N,1,연중무휴,대전광역시 서구청,2,0,042-288-3634,,4,공중화장실,3,127.3798126,0,대전광역시 서구 대덕대로 270 (둔산동),0,0,36.35692086,1,,2018-07-25
뒤뜰어린이공원,Y,0,연중무휴,대전광역시 서구청,0,0,042-288-3142,,1,공중화장실,3,127.3663073,0,대전광역시 서구 계룡로342번길 28 (갈마동),0,0,36.35269146,0,,2018-07-25
들말공원,Y,0,연중무휴,대전광역시 서구청,1,0,042-288-3634,,1,공중화장실,1,127.3842768,0,대전광역시 서구 들말4길 24 (가장동),0,0,36.3294748,0,,2018-07-25
만년공원,N,1,연중무휴,대전광역시 서구청,1,1,042-288-3634,,1,공중화장실,1,127.3742216,1,대전광역시 서구 만년동 157,1,1,36.36664595,1,,2018-07-25
문정공원,Y,0,연중무휴,대전광역시 서구청,0,0,042-288-3142,,1,공중화장실,1,127.3989181,0,대전광역시 서구 둔산남로191번길 24 (둔산동),0,0,36.35002771,0,,2018-07-25
반달공원,Y,0,연중무휴,대전광역시 서구청,1,0,042-288-3634,,1,공중화장실,3,127.3659234,0,대전광역시 서구 월평동 801,0,0,36.35540698,0,,2018-07-25
백야공원,N,1,연중무휴,대전광역시 서구청,0,0,042-288-3634,,1,공중화장실,2,127.3542025,0,대전광역시 서구 가수원동 815-6,0,0,36.2972225,1,,2018-07-25
백운공원,Y,0,연중무휴,대전광역시 서구청,0,0,042-288-3142,,1,공중화장실,1,127.3863764,0,대전광역시 서구 도산로335번길 62 (괴정동),0,0,36.33785258,0,,2018-07-25
