화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
와동 잔디포(하),N,0,24시간,하천관리사업소,1,0,042-270-8431,대전광역시 대덕구 와동 321-8,2,이동화장실,1,127.420253,0,대전광역시 대덕구 와동 321-8,0,0,36.413274,0,11-Sep,2017-01-01
와동 잔디포(상),N,0,24시간,하천관리사업소,1,0,042-270-8431,대전광역시 대덕구 와동 451,1,이동화장실,1,127.418224,0,대전광역시 대덕구 와동 451,0,0,36.408804,0,07-Mar,2017-01-01
와동 잔디포(상),N,0,24시간,하천관리사업소,1,0,042-270-8431,대전광역시 대덕구 신대동 561,1,이동화장실,1,127.416799,0,대전광역시 대덕구 신대동 561,0,0,36.406245,0,07-Feb,2017-01-01
엑스포다리 상류,N,1,24시간,하천관리사업소,0,0,042-270-8431,대전광역시 서구 만년동 597,1,이동화장실,2,127.384247,0,대전광역시 서구 만년동 597,0,0,36.371387,1,09-Jul,2017-01-01
만년동 KBS 앞,N,1,24시간,하천관리사업소,0,0,042-270-8431,대전광역시 서구 만년동 611,1,이동화장실,2,127.380463,0,대전광역시 서구 만년동 611,0,0,36.371414,1,09-May,2017-01-01
신구교 하류 축구장,N,1,24시간,하천관리사업소,0,0,042-270-8431,대전광역시 유성구 봉산동 170-3,1,이동화장실,1,127.391419,0,대전광역시 유성구 봉산동 170-3,0,0,36.436595,1,11-Jan,2017-01-01
관평천 합류점 하류,N,0,24시간,하천관리사업소,1,0,042-270-8431,대전광역시 유성구 관평동 7-37,2,이동화장실,1,127.398349,0,대전광역시 유성구 관평동 7-37,0,0,36.431311,0,11-Feb,2017-01-01
용신교 상류,N,0,24시간,하천관리사업소,1,0,042-270-8431,대전광역시 유성구 용산동 7-2,1,이동화장실,1,127.403193,0,대전광역시 유성구 용산동 7-2,0,0,36.427454,0,04-Jun,2017-01-01
파크골프장(하),N,0,24시간,하천관리사업소,0,0,042-270-8431,대전광역시 유성구 탑립동 263-2,1,이동화장실,1,127.409092,0,대전광역시 유성구 탑립동 263-2,0,0,36.423433,0,11-Aug,2017-01-01
파크골프장(상),N,1,24시간,하천관리사업소,1,0,042-270-8431,대전광역시 유성구 탑립동 184-5,1,이동화장실,2,127.414809,0,대전광역시 유성구 탑립동 184-5,0,0,36.417709,1,11-Sep,2017-01-01
