화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
천곡동굴,N,1,08:00~18:00,강원도 동해시시설관리공단,7,1,033-539-3630,강원도 동해시 천곡동 1003,14,공중화장실,10,129.1102051,1,강원도 동해시 동굴로50(천곡동),0,1,37.5173631,1,May-96,2018-08-01
동해웰빙레포츠타운(종합경기장),N,3,05:00~22:00,강원도 동해시시설관리공단,13,1,033-539-3560,강원도 동해시 천곡동 363-1,25,공중화장실,35,129.1012621,1,강원도 동해시 덕골길 10(천곡동),0,0,37.5160801,4,Jun-93,2018-08-01
동해웰빙레포츠타운(체육공원),N,1,00:00~24:00,강원도 동해시시설관리공단,2,0,033-539-3560,강원도 동해시 천곡동 363-1,5,공중화장실,3,129.1025821,0,강원도 동해시 덕골길 10(천곡동),0,0,37.5151121,1,Jun-18,2018-08-01
동해웰빙레포츠타운(축구전용구장),N,0,00:00~24:00,강원도 동해시시설관리공단,1,0,033-539-3560,강원도 동해시 천곡동 363-1,2,공중화장실,3,129.1026681,0,강원도 동해시 덕골길 10(천곡동),0,0,37.5192071,0,Jun-18,2018-08-01
무릉계곡(관리동),N,1,06:00~19:00,강원도 동해시시설관리공단,2,0,033-539-3700,강원도 동해시 삼화동 859-1,4,공중화장실,4,129.0193311,0,강원도 동해시 삼화로 538(삼화동),0,0,37.4634321,0,Jun-86,2018-08-01
무릉계곡 상가앞 솔밭(1호화장실),N,1,00:00~24:00,강원도 동해시시설관리공단,3,1,033-539-3700,강원도 동해시 삼화동 859-1,3,공중화장실,4,129.0211141,0,강원도 동해시 삼화로 538(삼화동),0,0,37.4635011,1,Jun-86,2018-08-01
무릉계곡 주차장(2호화장실),N,1,00:00~24:00,강원도 동해시시설관리공단,3,1,033-539-3700,강원도 동해시 삼화동 859-1,3,공중화장실,4,129.0225361,0,강원도 동해시 삼화로 538(삼화동),0,0,37.4633361,1,Jun-86,2018-08-01
무릉계곡 자연캠프장(3호화장실),N,1,00:00~24:00,강원도 동해시시설관리공단,3,1,033-539-3700,강원도 동해시 삼화동 859-1,3,공중화장실,4,129.0250981,0,강원도 동해시 삼화로 538(삼화동),0,0,37.4641781,1,Jun-86,2018-08-01
무릉계곡 힐링캠프장(4호화장실),N,1,00:00~24:00,강원도 동해시시설관리공단,4,1,033-539-3700,강원도 동해시 삼화동 859-1,3,공중화장실,4,129.0257661,0,강원도 동해시 삼화로 538(삼화동),0,0,37.4642281,1,Jun-86,2018-08-01
망상4호화장실(c야영장),N,0,00:00~24:00,강원도 동해시 관광과,4,0,033-539-8577,강원도 동해시 망상동 393-18,4,공중화장실,5,129.0882621,0,강원도 동해시 동해대로 6270-14,0,0,37.5932161,1,Jun-86,2018-08-01
망상5호화장실(상가주차장앞),N,1,00:00~24:00,강원도 동해시시설관리공단,9,0,033-539-3618,강원도 동해시 망상동 393-96,13,공중화장실,9,129.0903651,0,강원도 동해시 동해대로 6220(망상동),0,0,37.5916921,1,Jun-18,2018-08-01
망상6호화장실(2캠핑장),N,0,00:00~24:00,강원도 동해시청 관광과,4,0,033-539-8577,강원도 동해시 망상동 393-19,4,공중화장실,5,129.0916261,0,강원도 동해시 동해대로 6270-14,0,0,37.5910781,1,Jun-86,2018-08-01
망상7호화장실(2캠핑장 관리사무소),N,0,00:00~24:00,강원도 동해시시설관리공단,3,0,033-539-3618,강원도 동해시 망상동 393-38,3,공중화장실,4,129.0930371,0,강원도 동해시 동해대로 6220(망상동),0,0,37.5907701,1,Jun-92,2018-08-01
동해시공영버스터미널,N,1,06:00~01:00,강원도 동해시시설관리공단,8,0,033-539-3800,강원도 동해시 천곡동 485-10,13,공중화장실,13,129.1040381,0,강원도 동해시 동해대로 5443(천곡동),0,0,37.5275341,1,Jun-86,2018-08-01
추암해수욕장,N,1,00:00~24:00,강원도 동해시청 관광과,4,0,033-539-8577,강원도 동해시 추암동 468-1,6,공중화장실,6,129.1575341,0,강원도 동해시 촛대바위길,1,0,37.4786721,1,Jun-18,2018-08-01
추암해수욕장,N,1,00:00~24:00,강원도 동해시청 관광과,3,0,033-539-8577,강원도 동해시 추암동 398-9,3,공중화장실,4,129.1593341,0,강원도 동해시 촛대바위길,0,0,37.4765651,1,Jun-90,2018-08-01
어달해수욕장,N,1,00:00~24:00,강원도 동해시청 관광과,3,0,033-539-8577,강원도 동해시 일출로 315-4,13,공중화장실,6,129.1164551,0,강원도 동해시 일출로 315-4,0,4,37.5690741,1,Jun-18,2018-08-01
동해산업기술센터야외화장실,N,0,00:00~24:00,강원도 동해시 기업지원과,2,0,033-530-2795,강원도 동해시 망상동 393-28,5,공중화장실,3,129.0866321,0,강원도 동해시 동해대로 6270-53,0,0,37.5945961,0,Jun-18,2018-08-01
묵호할복장,N,1,00:00~24:00,강원도 동해시청 환경과,2,0,033-530-2154,강원도 동해시 묵호진동 95-37,7,공중화장실,5,129.1134081,0,강원도 동해시 일출로 58,0,0,37.5518031,1,Jun-18,2018-08-01
묵호어판장,N,1,00:00~24:00,강원도 동해시청 환경과,2,0,033-530-2154,강원도 동해시 묵호진동 15-128,4,공중화장실,4,129.1159041,0,강원도 동해시 일출로 68,0,0,37.5520611,0,Jun-89,2018-08-01
묵호항매립지(수변공원),N,1,00:00~24:00,강원도 동해시청 환경과,2,0,033-530-2154,강원도 동해시 묵호진동 13-64,3,공중화장실,3,129.1176201,0,강원도 동해시 일출로,0,0,37.5505051,1,Jun-18,2018-08-01
일출공원가리비,N,1,00:00~24:00,강원도 동해시청 환경과,3,0,033-530-2154,강원도 동해시 묵호진동 2-418,5,공중화장실,6,129.1207171,0,강원도 동해시 일출로 151,0,0,37.5557521,1,Jun-18,2018-08-01
어달항,N,2,00:00~24:00,강원도 동해시청 환경과,0,0,033-530-2154,강원도 동해시 어달항 191,2,공중화장실,2,129.1200961,0,강원도 동해시 일출로,0,0,37.5613151,1,Jun-18,2018-08-01
어달항회센터,N,1,00:00~24:00,강원도 동해시청 환경과,0,0,033-530-2154,강원도 동해시 어달동 190,2,공중화장실,2,129.1201071,0,강원도 동해시 일출로 230,0,0,37.5625561,1,Jun-98,2018-08-01
대진해변,N,1,00:00~24:00,강원도 동해시청 환경과,3,0,033-530-2154,강원도 동해시 대진동 204-7,3,공중화장실,5,129.1104751,0,강원도 동해시 대진항길,0,0,37.5807941,1,Jun-18,2018-08-01
발한중앙시장,N,1,00:00~24:00,강원도 동해시청 환경과,2,0,033-530-2154,강원도 동해시 발한동 12-30,4,공중화장실,5,129.1085041,0,강원도 동해시 발한복개로 42,0,0,37.5507821,1,Jun-83,2018-08-01
발한공원,N,0,00:00~24:00,강원도 동해시청 환경과,2,0,033-530-2154,강원도 동해시 발한동 241-9,2,공중화장실,3,129.1051981,0,강원도 동해시 해안로 535,0,0,37.5478671,0,Jun-97,2018-08-01
동호농산물시장,N,0,00:00~24:00,강원도 동해시청 환경과,3,0,033-530-2154,강원도 동해시 발한동 510-6,3,공중화장실,3,129.1016541,0,강원도 동해시 동호3길,0,0,37.5453321,1,Jun-85,2018-08-01
