화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
흘리보건지소,Y,0,(평일)09:00~18:00,고성군청(보건소),1,0,033-680-3543,,0,공중화장실,1,128.3740175,0,강원도 고성군 간성읍 흘리길 190 (흘리보건진료소),0,0,38.26432098,0,,2018-08-13
고성군 위생처리장,N,0,(평일)09:00~18:00,고성군청(환경보호과),0,0,033-680-3790,,0,공중화장실,0,128.4780744,0,강원도 고성군 간성읍 탑동길 59,0,0,38.37340186,0,,2018-08-13
상하수도사업소 1층,Y,1,(평일)09:00~18:00,고성군청(상하수도사업소),2,1,033-680-3763,,0,공중화장실,1,128.4625911,0,강원도 고성군 간성읍 탑동길 321 (금수리),0,0,38.35571689,0,,2018-08-13
상하수도사업소 2층,N,0,(평일)09:00~18:00,고성군청(상하수도사업소),3,0,033-680-3763,,1,공중화장실,5,128.4625911,0,강원도 고성군 간성읍 탑동길 321 (금수리),0,0,38.35571689,0,,2018-08-13
고성경찰서 본관 1층,N,1,(평일)09:00~18:00,고성경찰서,1,1,,,2,공중화장실,2,128.476468,0,강원도 고성군 간성읍 탑동길 12 (신안리 고성경찰서),0,0,38.3767875,1,,2018-08-13
고성경찰서 본관 2층,N,0,(평일)09:00~18:00,고성경찰서,2,0,,,2,공중화장실,3,128.476468,0,강원도 고성군 간성읍 탑동길 12 (신안리 고성경찰서),0,0,38.3767875,0,,2018-08-13
고성경찰서 본관 3층,N,0,(평일)09:00~18:00,고성경찰서,2,0,,,2,공중화장실,3,128.476468,0,강원도 고성군 간성읍 탑동길 12 (신안리 고성경찰서),0,0,38.3767875,0,,2018-08-13
고성경찰서 별관 1층,N,1,(평일)09:00~18:00,고성경찰서,2,1,,,1,공중화장실,1,128.476468,0,강원도 고성군 간성읍 탑동길 12 (신안리 고성경찰서),0,0,38.3767875,0,,2018-08-13
고성경찰서 별관 2층 남성전용,N,0,(평일)09:00~18:00,고성경찰서,2,0,,,0,공중화장실,1,128.476468,0,강원도 고성군 간성읍 탑동길 12 (신안리 고성경찰서),0,0,38.3767875,0,,2018-08-13
동부지방산림청 고성민북경영팀,N,1,(평일)09:00~18:00,동부지방산림청,0,1,,,1,공중화장실,1,128.4779181,0,강원도 고성군 간성읍 탑동길 15,0,0,38.37719441,0,,2018-08-13
진부령 미술관,N,0,연중무휴,고성군청(관광문화체육과),2,0,033-680-3028,,2,공중화장실,3,128.3596243,0,강원도 고성군 간성읍 흘리길 15-10 (흘리),0,0,38.26547236,0,,2018-08-13
진부리유원지간이화장실,N,0,(여름7~8월)00:00~24:00,고성군청(관광문화체육과),0,0,033-680-3028,,0,공중화장실,0,128.3631858,0,강원도 고성군 간성읍 진부령유원지길 10 유원지관리사무소,0,0,38.29657441,0,,2018-08-13
동호리 체육공원,Y,0,연중무휴,고성군청(환경보호과),1,0,033-680-3347,,0,공중화장실,1,128.4946098,0,강원도 고성군 간성읍 남천길 191,0,0,38.38533857,0,,2018-08-13
간성 SK셀프 주유소,Y,0,(연중무휴)09:00~19:00,개인,1,0,,,0,공중화장실,1,128.4760399,0,강원도 고성군 간성읍 탑동길 4-15,0,0,38.37734779,0,,2018-08-13
죽왕면사무소 1층 화장실,N,1,(평일)09:00~18:00,죽왕면사무소,2,1,,,2,공중화장실,1,128.5255227,0,강원도 고성군 죽왕면 오호길 11 (오호리 죽왕면사무소),0,0,38.32881681,0,,2018-08-13
