화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
KT홍천지점,Y,0,09:00~18:00,KT홍천지점,12,0,033-435-0981,강원도 홍천군 홍천읍 신장대리 55-13,12,개방화장실,18,127.8857154,0,강원도 홍천군 홍천읍 홍천로 364,0,0,37.68894417,0,Aug-96,2018-03-01
LPG 가?가스충전소,Y,0,09:00~18:00,LPG 가?가스충전소,2,0,033-435-9440,강원도 홍천군 홍천읍 하오안리 202-3,2,개방화장실,2,127.8475917,0,강원도 홍천군 홍천읍 설악로 1242,0,0,37.66554008,0,Apr-18,2018-03-01
LPG 삼마치충전소,Y,0,09:00~18:00,LPG 삼마치충전소,2,0,033-435-8873,강원도 홍천군 홍천읍 삼마치리 540,2,개방화장실,2,127.8970038,0,강원도 홍천군 홍천읍 영서로 1502,0,0,37.61027395,0,Jun-18,2018-03-01
LPG 홍천가스상사,Y,0,09:00~18:00,LPG 홍천가스상사,2,0,033-436-5151,강원도 홍천군 북방면 하화계리 300-1,2,개방화장실,2,127.8664099,0,강원도 홍천군 북방면 홍천로 183,0,0,37.6920283,0,Jun-83,2018-03-01
강변주유소,Y,0,09:00~18:00,강변주유소,1,0,033-435-9889,강원도 홍천군 화촌면 송정리 72-4,1,개방화장실,1,127.9391388,0,강원도 홍천군 화촌면 홍천로 1090,0,0,37.73728982,0,Jan-00,2018-03-01
강재구공원,Y,0,09:00~18:00,강원도 홍천군청,0,0,033-435-6001,강원도 홍천군 북방면 성동리 985-3,4,공중화장실,0,127.8684726,0,강원도 홍천군 북방면 성동로 275,0,0,37.7284979,0,,2018-03-01
공작산 생태숲,Y,0,09:00~18:00,강원도 홍천군청,2,0,033-436-1585,강원도 홍천군 동면 덕치리 5-6,3,공중화장실,2,127.9627481,0,강원도 홍천군 동면 노천리 5-6,0,0,37.69830844,0,,2018-03-01
공작산 주차장 간이화장실화장실,Y,0,09:00~18:00,강원도 홍천군청,1,0,033-430-4306,강원도 홍천군 동면 노천리 2011-6,1,개방화장실,0,128.0221784,0,강원도 홍천군 동면 노천리 2011-6,0,0,37.69749468,1,,2018-03-01
광원학생야영장,Y,0,09:00~18:00,광원학생야영장,3,0,033-432-6003,강원도 홍천군 내면 광원리 782-22,6,개방화장실,3,128.4438327,0,강원도 홍천군 내면 구룡령로 6390,0,0,37.82891111,0,Feb-18,2018-03-01
구성주유소,Y,0,09:00~18:00,구성주유소,3,0,033-435-2051,강원도 홍천군 화촌면 구성포리 1005-1,6,개방화장실,5,127.9121446,0,강원도 홍천군 화촌면 가락재로 1062,0,0,37.77584573,0,Mar-92,2018-03-01
국민건강보험공단 홍천지사,Y,0,09:00~18:00,국민건강보험공단 홍천지사,0,0,1577-1000,강원도 홍천군 홍천읍 태학리 310,6,공중화장실,2,127.9072015,0,강원도 홍천군 홍천읍 홍천로 645,0,0,37.70641416,0,Nov-99,2018-03-01
금강주유충전소,Y,0,09:00~18:00,금강주유충전소,2,0,033-435-4566,강원도 홍천군 홍천읍 와동리 481-5,2,개방화장실,2,127.936543,0,강원도 홍천군 홍천읍 설악로 2374,0,0,37.72863262,0,,2018-03-01
금메달주유소,Y,0,09:00~18:00,금메달주유소,2,0,033-434-5533,강원도 홍천군 홍천읍 와동리 481,2,개방화장실,2,127.9352893,0,강원도 홍천군 홍천읍 설악로 2367,0,0,37.72852365,0,,2018-03-01
남면 터미널,Y,0,09:00~18:00,남면 터미널,0,0,033-432-4102,강원도 홍천군 남면 양덕원리 191-1,1,공중화장실,2,127.7683493,0,강원도 홍천군 남면 양덕원로 82,0,0,37.61656235,0,Sep-84,2018-03-01
남면사무소,Y,1,09:00~18:00,남면사무소,4,0,033-432-4004,강원도 홍천군 남면 양덕원리 178-1,2,개방화장실,6,127.7676764,0,강원도 홍천군 남면 양덕원로 97,0,0,37.61809477,1,Dec-82,2018-03-01
남면파출소,Y,0,09:00~18:00,남면파출소,0,0,033-432-4112,강원도 홍천군 남면 양덕원리 194-9,2,개방화장실,2,127.7685254,0,강원도 홍천군 남면 양덕원3길 23,0,0,37.61738289,0,Nov-95,2018-03-01
남산주유소,Y,0,09:00~18:00,남산주유소,2,0,033-435-0008,강원도 홍천군 홍천읍 장전평리 118-1,0,개방화장실,3,127.880152,0,강원도 홍천군 홍천읍 장전평로 235,0,0,37.66599353,0,Jan-94,2018-03-01
