화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
화천군 산림 조합,Y,0,09:00~18:00,강원도 화천군 산림조합,0,0,033-441-3232,강원도 화천군 화천읍 하리 51-6,0,공중화장실,0,127.705852,0,강원도 화천군 화천읍 중앙로6길 21-2,0,0,38.103184,0,Dec-18,2018-08-10
우체국화장실,N,2,09:00~18:00,강원도 화천군 우체국,7,0,033-442-3003,강원도 화천군 화천읍 하리 17-4,8,공중화장실,12,127.70748,0,강원도 화천군 화천읍 중앙로 29,0,0,38.103847,2,Nov-18,2018-08-10
화천단위농협,N,0,09:00~18:00,강원도 화천단위농협,4,0,033-442-2490,강원도 화천군 화천읍 하리 44-22,4,공중화장실,6,127.705726,0,강원도 화천군 화천읍 중앙로 13,0,0,38.104775,0,Jul-90,2018-08-10
춘천철원축협,Y,0,09:00~18:00,강원도 화천철원축협,0,0,033-442-4181,강원도 화천군 화천읍 하리 43-19,0,공중화장실,2,127.704537,0,강원도 화천군 화천읍 상승로41,0,0,38.104969,0,Oct-86,2018-08-10
화천경찰서,N,0,09:00~18:00,강원도 화천경찰서,5,0,033-442-3333,강원도 화천군 화천읍 아리 241,4,공중화장실,8,127.707233,0,강원도 화천군 화천읍 화천새싹길 33,0,0,38.106277,0,Apr-93,2018-08-10
정보산업고등학교,N,0,09:00~18:00,강원도 화천군 정보산업고등학교,26,0,033-440-1615,강원도 화천군 화천읍 하리 76,42,공중화장실,45,127.704927,0,강원도 화천군 화천읍 상승로 69,0,0,38.106977,0,Dec-18,2018-08-10
화천도서관,N,0,09:00~18:00,강원도 화천도서관,3,0,033-441-6343,강원도 화천군 화천읍 하리 76,4,공중화장실,5,127.704554,0,강원도 화천군 화천읍 상승로3길 22,0,0,38.106523,0,Dec-90,2018-08-10
화천읍사무소,N,1,09:00~18:00,강원도 화천읍사무소,6,0,033-440-2606,강원도 화천군 화천읍 하리 59-6,5,공중화장실,7,127.707175,0,강원도 화천군 화천읍 중앙로9길 9,0,0,38.104309,1,Jul-93,2018-08-10
청소년수련관,N,1,09:00~18:00,강원도 화천군 청소년수련관,7,0,033-442-7953,강원도 화천군 화천읍 중리 212-7,10,공중화장실,10,127.711564,0,강원도 화천군 화천읍 산천어길 79,0,0,38.10861,1,Jul-18,2018-08-10
KT전화국,N,0,09:00~18:00,강원도 화천군 KT전화국,7,0,000-000-0100,강원도 화천군 화천읍 하리 14-2,4,공중화장실,7,127.70827,0,강원도 화천군 화천읍 중앙로 33-14,0,0,38.103795,1,Dec-18,2018-08-10
