화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
상하수도사업소,Y,0,09:00~18:00,상하수도사업소,1,0,033-460-2141,강원도 인제군 인제읍 상동리 430,2,공중화장실,2,128.172188,0,,0,0,38.070392,0,,2018-01-31
인제가면언제오나,Y,0,09:00~18:00,인제가면언제오나,3,0,033-461-6515,강원도 인제군 남면 신남리 501-3,5,공중화장실,7,128.1741901,0,,0,0,38.064813,0,,2018-01-31
인제고려병원,Y,0,09:00~18:00,인제고려병원,4,0,033-461-0088,강원도 인제군 인제읍 상동리 256-2,5,공중화장실,6,128.082236,0,,0,0,37.975125,0,,2018-01-31
남전약수터,Y,1,09:00~18:00,인제군청,3,0,033-460-2063,강원도 인제군 남면 남전리 503-1,6,공중화장실,3,128.173542,0,,0,0,38.067718,1,,2018-01-31
가리산리마을회,Y,0,09:00~18:00,가리산리마을회,1,0,033-460-2063,강원도 인제군 인제읍 가리산리 215-1,3,공중화장실,2,128.131811,0,,0,0,38.0282201,0,,2018-01-31
신남재래시장공중화장실,Y,0,09:00~18:00,인제군청,2,0,033-460-2063,강원도 인제군 남면 신남리 18-41,4,공중화장실,3,128.325723,0,,0,0,38.061507,0,,2018-01-31
돌배가든,Y,0,09:00~18:00,돌배가든,1,0,033-462-5200,강원도 인제군 북면 용대리 1105-3,2,공중화장실,2,128.079624,0,,0,0,37.967445,0,,2018-01-31
원통천주교회,Y,0,09:00~18:00,원통천주교회,2,0,033-460-2063,강원도 인제군 북면 원통리 671-3,2,공중화장실,0,128.326771,0,,0,0,38.194992,0,,2018-01-31
밤골래프팅샤워장,Y,0,09:00~18:00,밤골래프팅샤워장,3,0,033-460-2063,강원도 인제군 인제읍 고사리 236-6,3,공중화장실,0,128.205694,0,,0,0,38.123994,0,,2018-01-31
고사리샤워장,Y,0,09:00~18:00,고사리샤워장,3,0,033-460-2063,강원도 인제군 인제읍 고사리 572-2,3,공중화장실,3,128.215566,0,,0,0,38.034688,0,,2018-01-31
덕산정수장,Y,0,09:00~18:00,상하수도사업소,0,0,033-460-2141,강원도 인제군 인제읍 덕산리 666-1,3,공중화장실,3,128.207051,0,,0,0,38.042978,0,,2018-01-31
부평초등학교,Y,0,09:00~18:00,부평초등학교,8,0,033-461-6044,강원도 인제군 남면 신남리 459,9,공중화장실,8,128.193541,0,,0,0,38.076807,0,,2018-01-31
용대관광지공중화장실,Y,1,09:00~18:00,인제군청,5,0,033-461-6044,강원도 인제군 북면 용대리 1976-2,13,공중화장실,6,128.383586,0,,0,0,38.185283,1,,2018-01-31
산성장오일뱅크,Y,0,09:00~18:00,산성장오일뱅크,1,0,033-461-2247,강원도 인제군 인제읍 상동리 326-1,1,공중화장실,1,128.307913,0,,0,0,38.186713,0,,2018-01-31
신남우체국,Y,0,09:00~18:00,신남우체국,1,0,033-461-2079,강원도 인제군 남면 신남리 3-1,1,공중화장실,1,128.167383,0,,0,0,38.066118,0,,2018-01-31
남면파출소,Y,0,09:00~18:00,남면파출소,1,0,033-461-6112,강원도 인제군 남면 신남리 368-1,1,공중화장실,2,128.124266,0,,0,0,37.957199,0,,2018-01-31
