화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
정선군청,N,1,09:00 ~ 18:00,강원도 정선군청,11,0,033-560-2305,강원도 정선군 정선읍 봉양리 267,11,공중화장실,13,128.6608302,0,강원도 정선군 정선읍 봉양3길 21,0,0,37.38059104,1,,2018-02-21
정선읍사무소,N,1,09:00 ~ 18:00,강원도 정선군 정선읍사무소,2,1,033-560-2705,강원도 정선군 정선읍 봉양리 210 1,2,공중화장실,2,128.6616687,0,강원도 정선군 정선읍 정선로 1331,0,0,37.37964019,1,,2018-02-21
정선시장,N,2,09:00 ~ 18:00,강원도 정선군 정선읍사무소,7,0,033-560-2705,강원도 정선군 정선읍 봉양리 350-9,9,공중화장실,10,128.6650638,0,강원도 정선군 정선읍 봉양7길 39,0,0,37.38049517,2,,2018-02-21
여성회관,N,1,09:00 ~ 18:00,강원도 정선군 정선읍사무소,7,0,033-560-2705,강원도 정선군 정선읍 애산리 605-13,12,공중화장실,9,128.6708124,0,강원도 정선군 정선읍 애산로 25,0,0,37.37429016,1,,2018-02-21
벽탄초교,N,1,09:00 ~ 18:00,강원도 정선군 정선읍사무소,4,0,033-560-2705,강원도 정선군 정선읍 용탄리 697-1,7,공중화장실,12,128.6018757,0,강원도 정선군 정선읍 벽탄길 32,0,0,37.39472921,1,,2018-02-21
정선초교 가수분교,N,1,09:00 ~ 18:00,강원도 정선군 정선읍사무소,5,0,033-560-2705,강원도 정선군 정선읍 가수리 193,5,공중화장실,8,128.6278955,0,강원도 정선군 정선읍 수미길 7,0,0,37.3147654,0,,2018-02-21
봉양초교,N,2,09:00 ~ 18:00,강원도 정선군 정선읍사무소,8,0,033-560-2705,강원도 정선군 정선읍 봉양리 1-10,8,공중화장실,0,128.6690539,8,강원도 정선군 정선읍 녹송7길 1,4,20,37.38603235,2,,2018-02-21
정선초교,N,1,09:00 ~ 18:00,강원도 정선군 정선읍사무소,19,1,033-560-2705,강원도 정선군 정선읍 봉양리 306,23,공중화장실,22,128.6596613,0,강원도 정선군 정선읍 비봉로 15,0,0,37.38121933,1,,2018-02-21
정선우체국,N,1,09:00 ~ 18:00,강원도 정선군 정선읍사무소,1,1,033-560-2705,강원도 정선군 정선읍 봉양리 309,1,공중화장실,1,128.6608252,0,강원도 정선군 정선읍 비봉로 25,0,0,37.38131194,1,,2018-02-21
정선병원(장례식장),N,0,09:00 ~ 18:00,강원도 정선군 정선읍사무소,2,0,033-560-2705,강원도 정선군 정선읍 봉양리 430,1,공중화장실,2,128.6603115,0,강원도 정선군 정선읍 봉양1길 145,0,0,37.38324315,1,,2018-02-21
정선병원,N,1,09:00 ~ 18:00,강원도 정선군 정선읍사무소,6,2,033-560-2705,강원도 정선군 정선읍 봉양리 430,7,공중화장실,6,128.6603115,0,강원도 정선군 정선읍 봉양1길 145,0,0,37.38324315,1,,2018-02-21
광하주유소,N,0,09:00 ~ 18:00,강원도 정선군 정선읍사무소,2,0,033-560-2705,강원도 정선군 정선읍 광하리 85-1,3,공중화장실,3,128.6201245,0,강원도 정선군 정선읍 정선로 582,0,0,37.36297928,0,,2018-02-21
관문주유소,N,0,09:00 ~ 18:00,강원도 정선군 정선읍사무소,3,0,033-560-2705,강원도 정선군 정선읍 북실리 789-1,5,공중화장실,6,128.6445918,0,강원도 정선군 정선읍 정선로 1160,0,0,37.38182523,0,,2018-02-21
진성주유소,N,0,09:00 ~ 18:00,강원도 정선군 정선읍사무소,2,0,033-560-2705,강원도 정선군 정선읍 애산리 581,2,공중화장실,2,128.6698355,0,강원도 정선군 정선읍 애산로 1,0,0,37.37235835,0,,2018-02-21
정선주유소,N,0,09:00 ~ 18:00,강원도 정선군 정선읍사무소,1,0,033-560-2705,강원도 정선군 정선읍 덕송리 634-2,1,공중화장실,2,128.6660646,0,강원도 정선군 정선읍 서동로 1199,0,0,37.396583,0,,2018-02-21
삼익주유소,N,0,09:00 ~ 18:00,강원도 정선군 정선읍사무소,1,0,033-560-2705,강원도 정선군 정선읍 봉양리 375-1,1,공중화장실,1,128.6661353,0,강원도 정선군 정선읍 비봉로 71,0,0,37.38163351,0,,2018-02-21
정선역,N,1,09:00 ~ 18:00,강원도 정선군 정선읍사무소,2,1,033-560-2705,강원도 정선군 정선읍 애산리 428,6,공중화장실,3,128.6724849,0,강원도 정선군 정선읍 녹송8길 55-1,0,1,37.3858056,1,,2018-02-21
정선시외 버스터미널,N,1,09:00 ~ 18:00,강원도 정선군 정선읍사무소,3,1,033-560-2705,강원도 정선군 정선읍 북실리 757-3,3,공중화장실,4,128.6503025,0,강원도 정선군 정선읍 정선로 1226,0,0,37.37885634,0,,2018-02-21
가리왕산 휴양림,N,1,09:00 ~ 18:00,강원도 정선군 정선읍사무소,0,0,033-560-2705,강원도 정선군 정선읍 회동리 산2-1,2,공중화장실,2,128.5764528,0,강원도 정선군 정선읍 가리왕산로 707,0,0,37.42119508,1,,2018-02-21
정선문화 예술회관,N,1,09:00 ~ 18:00,강원도 정선군 정선읍사무소,10,0,033-560-2705,강원도 정선군 정선읍 봉양리 267,10,공중화장실,11,128.6608302,0,강원도 정선군 정선읍 봉양3길 21,0,1,37.38059104,1,,2018-02-21
정선공설운동장,N,1,09:00 ~ 18:00,강원도 정선군 정선읍사무소,9,0,033-560-2705,강원도 정선군 정선읍 봉양리 115-1,17,공중화장실,11,128.6655128,0,강원도 정선군 정선읍 봉양1길 3-33,0,0,37.37764519,1,,2018-02-21
아라리촌,N,2,09:00 ~ 18:00,강원도 정선군 정선읍사무소,6,0,033-560-2705,강원도 정선군 정선읍 애산리 560,9,공중화장실,11,128.6715228,0,강원도 정선군 정선읍 애산로 37,0,0,37.374187,2,,2018-02-21
정선정보공고,N,1,09:00 ~ 18:00,강원도 정선군 정선읍사무소,15,0,033-560-2705,강원도 정선군 정선읍 북실리 765-1,16,공중화장실,18,128.6471319,0,강원도 정선군 정선읍 용담샛길 2,0,0,37.38044167,2,,2018-02-21
정선고교,N,2,09:00 ~ 18:00,강원도 정선군 정선읍사무소,12,0,033-560-2705,강원도 정선군 정선읍 봉양리 153-1,40,공중화장실,26,128.6623328,0,강원도 정선군 정선읍 봉양4길 15,0,0,37.37812263,2,,2018-02-21
정선중교,N,1,09:00 ~ 18:00,강원도 정선군 정선읍사무소,6,0,033-560-2705,강원도 정선군 정선읍 봉양리 153-1,20,공중화장실,13,128.6623328,0,강원도 정선군 정선읍 봉양4길 15,0,0,37.37812263,1,,2018-02-21
정선도서관,N,1,09:00 ~ 18:00,강원도 정선군 정선읍사무소,8,1,033-560-2705,강원도 정선군 정선읍 봉양리 153-1,12,공중화장실,11,128.6623328,0,강원도 정선군 정선읍 봉양4길 9,0,0,37.37812263,0,,2018-02-21
정선번영회,N,0,09:00 ~ 18:00,강원도 정선군 정선읍사무소,1,0,033-560-2705,강원도 정선군 정선읍 봉양리 349-20,1,공중화장실,1,128.6652322,0,강원도 정선군 정선읍 봉양7길 39,0,0,37.38038609,0,,2018-02-21
고한시외버스터미널,N,0,09:00 ~ 18:00,강원도 정선군 고한읍사무소,2,0,033-560-2717,강원도 정선군 고한읍 고한리 273-14,3,공중화장실,4,128.8346016,0,강원도 정선군 고한읍 지장천로 856,0,0,37.21974433,0,,2018-02-21
공설운동장,N,0,09:00 ~ 18:00,강원도 정선군 고한읍사무소,3,0,033-560-2717,강원도 정선군 고한읍 고한리 산 2 158,3,공중화장실,3,128.874749,0,강원도 정선군 고한읍 고토일길 58-18,0,0,37.21102884,0,,2018-02-21
고한초등학교,N,0,09:00 ~ 18:00,강원도 정선군 고한읍사무소,20,0,033-560-2717,강원도 정선군 고한읍 고한리 106-3,22,공중화장실,5,128.8454611,0,강원도 정선군 고한읍 고한4길 11,0,0,37.2064119,0,,2018-02-21
고한중학교,N,0,09:00 ~ 18:00,강원도 정선군 고한읍사무소,8,0,033-560-2717,강원도 정선군 고한읍 고한리 74,16,공중화장실,4,128.8533415,0,강원도 정선군 고한읍 고한9길 160,0,0,37.20291307,0,,2018-02-21
고한고등학교,N,0,09:00 ~ 18:00,강원도 정선군 고한읍사무소,8,0,033-560-2717,강원도 정선군 고한읍 고한리 80,10,공중화장실,4,128.8527936,0,강원도 정선군 고한읍 고한9길 160,0,0,37.20627816,0,,2018-02-21
고한읍사무소,N,0,09:00 ~ 18:00,강원도 정선군 고한읍사무소,6,0,033-560-2717,강원도 정선군 고한읍 고한리 80-4,6,공중화장실,8,128.8517122,0,강원도 정선군 고한읍 고한로 33-5,0,0,37.20428549,1,,2018-02-21
고한보건지소,N,0,09:00 ~ 18:00,강원도 정선군 고한읍사무소,2,0,033-560-2717,강원도 정선군 고한읍 고한리 140-5,2,공중화장실,2,128.8363856,0,강원도 정선군 고한읍 물한리길 10,0,0,37.21090989,0,,2018-02-21
고한 119안전센터,N,0,09:00 ~ 18:00,강원도 정선군 고한읍사무소,1,0,033-560-2717,강원도 정선군 고한읍 고한리 357,2,공중화장실,2,128.8791631,0,강원도 정선군 고한읍 강원남로 6455,0,0,37.20646342,0,,2018-02-21
갈래초등학교,N,0,09:00 ~ 18:00,강원도 정선군 고한읍사무소,7,0,033-560-2717,강원도 정선군 고한읍 고한리 31,15,공중화장실,5,128.8657313,0,강원도 정선군 고한읍 고한로 300,0,0,37.19487526,0,,2018-02-21
고한역,N,0,09:00 ~ 18:00,강원도 정선군 고한읍사무소,3,0,033-560-2717,강원도 정선군 고한읍 고한리 99-41,4,공중화장실,4,128.8528906,0,강원도 정선군 고한읍 고한로 166,0,0,37.20088883,0,,2018-02-21
농협고한지점,N,0,09:00 ~ 18:00,강원도 정선군 고한읍사무소,1,0,033-560-2717,강원도 정선군 고한읍 고한리 62-23,3,공중화장실,2,128.8544482,0,강원도 정선군 고한읍 고한로 169,0,0,37.20016572,0,,2018-02-21
고한시장,N,0,09:00 ~ 18:00,강원도 정선군 고한읍사무소,2,0,033-560-2717,강원도 정선군 고한읍 고한리 62-34,4,공중화장실,3,128.8544153,0,강원도 정선군 고한읍 고한4길 46,0,0,37.20123827,0,,2018-02-21
고한우체국,N,0,09:00 ~ 18:00,강원도 정선군 고한읍사무소,1,0,033-560-2717,강원도 정선군 고한읍 고한리 96-51,1,공중화장실,1,128.8518395,0,강원도 정선군 고한읍 고한2길 57,0,0,37.20258148,0,,2018-02-21
정선군 하늘터,N,0,09:00 ~ 18:00,강원도 정선군 사북읍사무소,2,0,033-560-2628,강원도 정선군 사북읍 사북리 305-16,2,공중화장실,2,128.8263032,0,강원도 정선군 사북읍 소금강로 3500-34,0,0,37.22544354,0,,2018-02-21
사북복지회관,N,0,09:00 ~ 18:00,강원도 정선군 사북읍사무소,8,0,033-560-2628,강원도 정선군 사북읍 사북리 368-3,11,공중화장실,12,128.8173822,0,강원도 정선군 사북읍 사북2길 16,0,0,37.22786644,0,,2018-02-21
사음우체국,N,0,09:00 ~ 18:00,강원도 정선군 사북읍사무소,1,0,033-560-2628,강원도 정선군 사북읍 사북리 366-2,1,공중화장실,2,128.8163557,0,강원도 정선군 사북읍 사북중앙로 12,0,0,37.22672913,0,,2018-02-21
사북역,N,0,09:00 ~ 18:00,강원도 정선군 사북읍사무소,4,0,033-560-2628,강원도 정선군 사북읍 사북리 150-14,4,공중화장실,5,128.8515607,0,강원도 정선군 사북읍 지장천로 616-28,0,0,37.23586132,0,,2018-02-21
사북초등학교,N,0,09:00 ~ 18:00,강원도 정선군 사북읍사무소,24,0,033-560-2628,강원도 정선군 사북읍 사북리 344-4,28,공중화장실,41,128.8200233,0,강원도 정선군 사북읍 소금강로 3561,0,0,37.22825365,0,,2018-02-21
