화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
차항주유소,N,0,07:00~20:00,평창군 경제체육과,1,0,033-330-2011,,1,공중화장실,2,128.6954551,0,강원도 평창군 대관령면 경강로 5101 (차항리 차항주유소),0,0,37.68693158,0,Dec-99,2018-09-05
용평주유소,N,0,07:00~20:00,평창군 경제체육과,1,0,033-330-2011,,1,공중화장실,2,128.6998868,0,강원도 평창군 대관령면 경강로 5191 (횡계리 용평주유소),0,0,37.68004993,0,Jan-83,2018-09-05
신재생에너지전시관,N,0,09:00~18:00,강원도 관광개발과,5,0,033-249-3363,,16,공중화장실,10,128.7545143,0,강원도 평창군 대관령면 경강로 5721 (횡계리 대관령휴게소),0,0,37.68514858,0,Jan-88,2018-09-05
대관령마을휴게소,N,0,08:30~18:30,대관령면사무소 주민생활지원부서,2,0,033-332-3383,,5,공중화장실,3,128.7583048,0,강원도 평창군 대관령면 경강로 5754 (횡계리),0,0,37.68552452,0,May-88,2018-09-05
대관령보건지소,N,1,09:00~18:00,평창군보건의료원 보건사업과,2,0,033-330-4836,,3,공중화장실,4,128.7040147,0,강원도 평창군 대관령면 대관령로 63 (횡계리),0,0,37.6741887,1,18-Feb,2018-09-05
대관령우체국,N,0,09:00~18:00,대관령우체국,1,0,033-335-5002,,2,공중화장실,2,128.7041011,0,강원도 평창군 대관령면 대관령로 70 (횡계리 대관령우체국),0,0,37.67340909,0,Feb-88,2018-09-05
횡계주유소,N,0,07:00~20:00,평창군 경제체육과,1,0,033-330-2011,,2,공중화장실,2,128.704519,0,강원도 평창군 대관령면 대관령로 74 (횡계리 횡계주유소),0,0,37.67324449,0,Dec-82,2018-09-05
횡계터미널,N,1,06:30~21:30,평창군 도시주택과,1,0,033-330-2285,,4,공중화장실,3,128.7049693,0,강원도 평창군 대관령면 대관령로 78 (횡계리 횡계터미널),0,0,37.67311186,0,18-Sep,2018-09-05
대관령면사무소,N,1,09:00~18:00,대관령면사무소,4,0,033-330-2608,,4,공중화장실,7,128.7063032,0,강원도 평창군 대관령면 대관령로 83 (횡계리 대관령면사무소),0,0,37.67315743,1,18-Dec,2018-09-05
대관령파출소,N,0,09:00~18:00,대관령파출소,1,0,033-339-5284,,1,공중화장실,1,128.7071628,0,강원도 평창군 대관령면 대관령로 95 (횡계리 대관령파출소),0,0,37.67268374,0,Dec-91,2018-09-05
대관령소방안전센터,N,0,00:00~00:00,대관령소방안전센터,1,0,033-335-5119,,1,공중화장실,1,128.7074731,0,강원도 평창군 대관령면 대관령로 97-3 (횡계리),0,0,37.67277293,0,Dec-83,2018-09-05
도암주유소,N,0,07:00~20:00,평창군 경제체육과,1,0,033-330-2011,,1,공중화장실,1,128.6670903,0,강원도 평창군 대관령면 솔봉로 191 (용산리 도암주유소),0,0,37.67043554,0,18-Apr,2018-09-05
알펜시아리조트,N,0,00:00~00:00,평창군 문화관광과,13,0,033-330-2253,,12,공중화장실,8,128.6813953,0,강원도 평창군 대관령면 솔봉로 325 (용산리),0,0,37.66510101,0,18-Nov,2018-09-05
대관령농협주유소,N,0,07:00~20:00,평창군 경제체육과,1,0,033-330-2011,,2,공중화장실,2,128.6985666,0,강원도 평창군 대관령면 경강로 5167,0,0,37.68180225,0,18-Jan,2018-09-05
대화도서관,N,1,09:00~22:00,평창군 문화관광과,2,0,033-330-2816,,1,공중화장실,2,128.4584623,0,강원도 평창군 대화면 남산1길 28,0,0,37.5009415,1,18-Apr,2018-09-05
대화면사무소,N,1,09:00~18:00,대화면사무소 총무부서,6,0,033-330-2604,,8,공중화장실,7,128.4584623,0,강원도 평창군 대화면 남산1길 28 (대화리 대화면사무소),0,0,37.5009415,1,Dec-84,2018-09-05
대화보건지소,N,0,09:00~18:00,평창군 보건의료원,1,0,033-330-4836,,1,공중화장실,1,128.4575311,0,강원도 평창군 대화면 남산1길 36 (대화리 대화보건지소),0,0,37.50143589,1,18-Oct,2018-09-05
대화실내체육관,N,1,09:00~18:00,평창군 경제체육과,4,0,033-330-2545,,4,공중화장실,6,128.4568775,1,강원도 평창군 대화면 대화1길 28-5 (대화리),0,0,37.49852494,0,Jul-00,2018-09-05
대화터미널,N,0,07:00~21:00,평창군 도시주택과,3,0,033-330-2285,,3,공중화장실,5,128.452941,0,강원도 평창군 대화면 대화3길 10 (대화리 대화터미널),0,0,37.50032124,0,Apr-99,2018-09-05
대화전통시장화장실,N,0,00:00~00:00,평창군 경제체육과,3,0,033-330-2761,,3,공중화장실,6,128.4547123,0,강원도 평창군 대화면 대화3길 41 (대화리),0,0,37.50069585,0,18-Jul,2018-09-05
대화우체국,N,0,09:00~18:00,대화우체국,2,0,033-333-3001,,2,공중화장실,1,128.4556944,0,강원도 평창군 대화면 대화중앙로 128-5 (대화리 대화우체국),0,0,37.50049275,0,18-Mar,2018-09-05
세방주유소,N,0,07:00~20:00,평창군 경제체육과,1,0,033-330-2011,,1,공중화장실,2,128.4549216,0,강원도 평창군 대화면 대화중앙로 153 (대화리 세방주유소),0,0,37.5028591,0,Oct-83,2018-09-05
대화주유소,N,0,07:00~20:00,평창군 경제체육과,1,0,033-330-2011,,1,공중화장실,1,128.4556123,0,강원도 평창군 대화면 대화중앙로 85 (대화리 대화주유소),0,0,37.49649723,0,Apr-84,2018-09-05
새신리주유소,N,0,07:00~20:00,평창군 경제체육과,2,0,033-330-2011,,2,공중화장실,2,128.455495,0,강원도 평창군 대화면 평창대로 1289 (신리),0,0,37.5321466,1,Nov-97,2018-09-05
바이오단지주유소,N,0,00:00~00:00,평창군 경제체육과,1,0,033-330-2011,,1,공중화장실,1,128.451462,0,강원도 평창군 대화면 평창대로 1416 (신리 바이오단지주유소),0,0,37.54259292,0,18-Aug,2018-09-05
