화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
미륵산 등산로 주차장 공중화장실,N,0,데이터없음,강원도 원주시청,2,0,033-737-3105,강원도 원주시 귀래면 주포리 129-1번지,3,공중화장실,3,127.8641579,0,강원도 원주시 귀래면 미륵산길 200,0,0,37.18372516,1,18-Apr,2018-08-14
감악산공중화장실,N,0,데이터없음,강원도 원주시청,2,0,033-737-3105,강원도 원주시 신림면 황둔리 1542번지 2호,5,공중화장실,3,128.1404526,0,강원도 원주시 신림면 신림황둔로 712,0,0,37.24928294,0,18-Oct,2018-08-14
국형사 공중화장실,N,2,데이터없음,강원도 원주시청,4,0,033-737-3105,강원도 원주시 행구동  99번지 1호,10,공중화장실,6,128.0123008,0,강원도 원주시 고문골길 155 (행구동),0,0,37.33548724,1,18-Apr,2018-08-14
황둔시장공중화장실,N,0,데이터없음,강원도 원주시청,2,0,033-737-3105,강원도 원주시 신림면 송계리 658번지 15호,3,공중화장실,3,128.1928796,0,강원도 원주시 신림면 신림황둔로 1245,0,0,37.26205859,0,18-Jul,2018-08-14
신림시장공중화장실,N,0,데이터없음,강원도 원주시청,2,0,033-737-3105,강원도 원주시 신림면 신림리 538번지 2호,2,공중화장실,3,128.0821088,0,강원도 원주시 신림면 신림황둔로 9-1,0,0,37.23090135,0,18-Jul,2018-08-14
문막시장공중화장실,N,0,데이터없음,강원도 원주시청,2,0,033-737-3107,강원도 원주시 문막읍 문막리 240번지 1호,3,공중화장실,4,127.8153649,0,강원도 원주시 문막읍 문막시장1길 52-10,0,0,37.30604184,0,18-Jul,2018-08-14
원천석묘역,N,1,데이터없음,강원도 원주시청,2,0,033-737-3108,강원도 원주시 행구동  344번지,2,공중화장실,3,128.0117854,0,,0,0,37.35715907,1,18-Aug,2018-08-14
간현국민관광지공중화장실,N,0,데이터없음,문화관광과,64,0,000-000-0000,강원도 원주시 지정면 간현리 1036번지,33,공중화장실,49,127.8327332,0,강원도 원주시 지정면 소금산길 21,0,0,37.36443258,0,18-Jul,2018-08-14
젊음의광장공중화장실,N,0,데이터없음,문화체육사업소,6,0,000-000-0000,강원도 원주시 명륜동  345번지,11,공중화장실,5,127.9463827,0,강원도 원주시 단구로 170 (명륜동),0,0,37.33635058,0,18-Jul,2018-08-14
용수골공중화장실,N,0,데이터없음,강원도 원주시청,2,0,033-737-3105,강원도 원주시 판부면 서곡리 1621번지,3,공중화장실,2,127.9410402,0,,0,0,37.28318211,0,18-Jun,2018-08-14
부론면사무소 공중화장실,N,3,데이터없음,부론면장,3,0,000-000-0000,강원도 원주시 부론면 법천리 1449번지 4호,1,공중화장실,2,127.7501909,0,강원도 원주시 부론면 법천시장길 59,0,0,37.20782658,1,Jul-88,2018-08-14
토지문학공원,N,1,데이터없음,강원도 원주시청,1,0,033-737-3105,강원도 원주시 단구동  1620번지 5호,2,공중화장실,2,127.9597404,0,강원도 원주시 토지길 1  (단구동),0,0,37.3227669,1,Oct-78,2018-08-14
원주시청(본관),N,0,데이터없음,강원도 원주시청,112,0,033-737-3105,강원도 원주시 무실동  1번지,54,공중화장실,49,127.919732,0,강원도 원주시 시청로 1  (무실동원주시청),0,0,37.34192272,0,18-Dec,2018-08-14
원주시의회청사,N,0,데이터없음,강원도 원주시청,22,0,033-737-3105,강원도 원주시 무실동  1번지,9,공중화장실,9,127.919732,0,강원도 원주시 시청로 1  (무실동원주시청),0,0,37.34192272,0,18-Dec,2018-08-14
원주시청 백운아트홀,N,5,데이터없음,강원도 원주시청,54,0,033-737-3105,강원도 원주시 무실동  1번지,32,공중화장실,24,127.919732,0,강원도 원주시 시청로 1  (무실동원주시청),0,0,37.34192272,1,18-Dec,2018-08-14
원주시청 야외화장실,N,0,데이터없음,강원도 원주시청,3,0,033-737-3105,강원도 원주시 무실동  1번지,3,공중화장실,3,127.919732,0,강원도 원주시 시청로 1 (무실동원주시청),0,0,37.34192272,0,18-Dec,2018-08-14
봉산동 주민센터 공중화장실,N,1,데이터없음,강원도 원주시청,4,0,033-737-3105,강원도 원주시 봉산동  1130번지 8호,3,공중화장실,4,127.9569623,0,강원도 원주시 치악로 1868 (봉산동),0,0,37.34755562,1,Aug-79,2018-08-14
문막읍사무소 화장실,N,0,데이터없음,강원도 원주시청,4,0,033-737-3105,강원도 원주시 문막읍 건등리 1718번지,4,공중화장실,5,127.817379,0,강원도 원주시 문막읍 건등로 11,0,0,37.31292947,0,Dec-93,2018-08-14
소초면사무소 공중화장실,N,3,데이터없음,강원도 원주시청,7,0,033-737-3105,강원도 원주시 소초면 평장리 789번지 1호,2,공중화장실,4,128.0027692,0,강원도 원주시 소초면 치악로 2790,0,0,37.41787629,1,Oct-93,2018-08-14
호저면사무소 공중화장실,N,1,데이터없음,강원도 원주시청,4,0,033-737-3105,강원도 원주시 호저면 주산리 522번지,2,공중화장실,1,127.9255907,0,강원도 원주시 호저면 호저로 429,0,0,37.410654,1,Mar-91,2018-08-14
지정면사무소 공중화장실,N,3,데이터없음,강원도 원주시청,12,0,033-737-3105,강원도 원주시 지정면 간현리 849번지 1호,4,공중화장실,0,127.8403478,0,강원도 원주시 지정면 간현로 126,0,0,37.36188387,1,Dec-89,2018-08-14
귀래면사무소 공중화장실,N,3,데이터없음,강원도 원주시청,4,0,033-737-3105,강원도 원주시 귀래면 운남리 555번지 5호,2,공중화장실,2,127.8850595,0,강원도 원주시 귀래면 북원로 106,0,0,37.16991456,1,Nov-80,2018-08-14
북원여자중학교,N,2,데이터없음,강원도교육감,0,0,000-000-0000,강원도 원주시 태장동  1359번지,0,공중화장실,9,127.9533832,0,강원도 원주시 북원여중길 48  (태장동),0,0,37.38686972,0,Mar-71,2018-08-14
명륜초등학교,N,5,데이터없음,노인생활협동조합,37,0,000-000-0000,강원도 원주시 개운동  389번지,60,공중화장실,69,127.959279,0,강원도 원주시 행구로 25  (개운동),0,12,37.34202358,5,Aug-85,2018-08-14
원주의료원,N,11,데이터없음,중부보안공사,13,0,000-000-0000,강원도 원주시 개운동  437번지,14,공중화장실,17,127.9490033,0,강원도 원주시 서원대로 387  (개운동),0,0,37.33281033,10,Jul-93,2018-08-14
단구초등학교,N,19,데이터없음,노인생활협동조합,16,0,000-000-0000,강원도 원주시 단구동  106번지,40,공중화장실,48,127.9638815,0,강원도 원주시 단구초교길 5  (단구동),0,0,37.32257896,10,Dec-00,2018-08-14
단구동 동네체육시설 공중화장실,N,0,데이터없음,강원도 원주시청,1,0,033-737-3105,강원도 원주시 단구동  1462번지 4호,2,공중화장실,1,127.952458,0,강원도 원주시 송림길 58-12 (단구동),0,0,37.33032465,0,18-Dec,2018-08-14
한국가스공사 강원지역본부,N,0,데이터없음,신천개발,14,0,000-000-0000,강원도 원주시 단구동  1682번지 5호,8,공중화장실,14,127.9553082,0,강원도 원주시 단구로 423  (단구동),0,0,37.31890858,0,18-Dec,2018-08-14
