화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
광치자연휴양림 화장실,N,1,(평일)09:00~18:00,생태산림과,4,1,033-480-3115,,9,공중화장실,5,128.0710753,0,강원도 양구군 남면 광치령로1794번길 265 (가오작리 광치자연휴양림),0,0,38.14199857,1,,2018-08-28
국토정중앙천문대 야영장 화장실,N,1,(평일)09:00~18:00,양구군 경제관광과,2,1,033-480-2195,,3,공중화장실,1,128.0284779,0,강원도 양구군 남면 도촌리 87-6,0,0,38.06949825,1,,2018-08-28
금강산주유소 화장실,N,1,(평일)09:00~18:00,경제관광과,2,1,033-480-2182,,2,공중화장실,2,128.0248634,0,강원도 양구군 남면 정중앙로 352 (창리),0,0,38.08813125,1,,2018-08-28
양구주유소 화장실,Y,1,(평일)09:00~18:00,경제관광과,1,1,033-480-2182,,1,공중화장실,2,128.0313741,0,강원도 양구군 남면 정중앙로 584-1 (청리),0,0,38.10629007,1,,2018-08-28
양구노인전문요양원 화장실,N,1,(평일)09:00~18:00,주민생활지원실,2,1,033-480-2315,,2,공중화장실,2,128.0568283,0,강원도 양구군 동면 숨골로 247 (원당리),0,0,38.18263426,1,,2018-08-28
DMZ야생화분재원 화장실,N,1,(평일)09:00~18:00,생태산림과,1,1,033-481-1955,,3,공중화장실,2,128.0742792,0,강원도 양구군 동면 숨골로310번길 132 (원당리),0,0,38.19025934,1,,2018-08-28
야생동물생태관 화장실,N,1,(평일)09:00~18:00,생태산림과,2,1,033-480-2530,,5,공중화장실,3,128.0748355,0,강원도 양구군 동면 숨골로310번길 140 (원당리),0,0,38.1908308,1,,2018-08-28
생태식물원 화장실,N,1,(평일)09:00~18:00,생태산림과,2,1,033-480-2529,,2,공중화장실,2,128.0769702,0,강원도 양구군 동면 숨골로310번길 169 (원당리생태식물원),0,0,38.19193191,1,,2018-08-28
후곡약수터 화장실,N,1,(평일)09:00~18:00,양구군 경제관광과,3,1,033-480-2195,,4,공중화장실,4,128.0544888,0,강원도 양구군 동면 후곡리 약수터길 82,0,0,38.16665591,1,,2018-08-28
양구읍사무소,N,1,(평일)09:00~18:00,양구군 양구읍,3,1,033-480-2927,,3,공중화장실,2,127.9905585,0,강원도 양구군 양구읍 관공서로 18 (상리 양구읍사무소),0,0,38.10806827,1,,2018-08-28
청소년문화의집,N,1,(평일)09:00~18:00,양구군 양구읍,2,1,033-480-2927,,2,공중화장실,4,127.9905585,0,강원도 양구군 양구읍 관공서로 18 (상리 양구읍사무소),0,0,38.10806827,1,,2018-08-28
근현대사박물관 화장실,N,1,(평일)09:00~18:00,문화체육과,2,1,033-482-1945,,3,공중화장실,3,127.9904076,0,강원도 양구군 양구읍 금강산로 439-51,0,0,38.12222777,1,,2018-08-28
선사박물관 화장실,N,1,(평일)09:00~18:00,문화체육과,3,1,033-480-2677,,4,공중화장실,4,127.9900125,0,강원도 양구군 양구읍 금강산로 439-53,0,0,38.12268874,1,,2018-08-28
