화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
현산공원 화장실1,N,0,00:00~24:00,강원도 양양군청,2,0,033-670-2236,강원도 양양군 양양읍 군행리 25-2,1,개방화장실,2,128.617161,0,,0,0,38.074845,0,Jan-18,2018-08-24
현산공원 화장실2,N,0,00:00~24:00,강원도 양양군청,1,0,033-670-2236,강원도 양양군 양양읍 서문리 275,4,개방화장실,1,128.615316,0,,0,0,38.077389,0,Jan-18,2018-08-24
구교공원 화장실,N,0,00:00~24:00,강원도 양양군청,1,0,033-670-2236,강원도 양양군 양양읍 구교리 200,1,개방화장실,1,128.623947,0,,0,0,38.078974,0,Jan-96,2018-08-24
양양군의회화장실,N,1,00:00~24:00,강원도 양양군의회,3,1,033-670-2508,강원도 양양군 양양읍 군행리 8,2,개방화장실,4,128.618301,0,강원도 양양군 양양읍 남문로 39,0,0,38.074981,1,Jan-96,2018-08-24
낙산대형주차장도로변화장실,N,1,00:00~24:00,강원도 양양군 해양레포츠관리사업소,6,0,033-670-2430,강원도 양양군 강현면 전진리 19-7,8,개방화장실,10,128.629083,0,강원도 양양군 강현면 낙산사로 18,0,0,38.119183,1,Jan-95,2018-08-24
낙산유선조합옆화장실,N,1,00:00~24:00,강원도 양양군 해양레포츠관리사업소,2,0,033-670-2430,강원도 양양군 강현면 전진리 3-9,4,개방화장실,2,128.631031,0,,0,0,38.122357,0,Jan-18,2018-08-24
낙산A지구백사장화장실,N,1,00:00~24:00,강원도 양양군 해양레포츠관리사업소,5,0,033-670-2430,강원도 양양군 강현면 전진리 7,10,개방화장실,5,128.631417,0,강원도 양양군 강현면 해맞이길 17,0,0,38.119867,0,Jan-85,2018-08-24
낙산B지구백사장화장실,N,1,00:00~24:00,강원도 양양군 해양레포츠관리사업소,3,0,033-670-2430,강원도 양양군 강현면 주청리 1,8,개방화장실,7,128.633332,0,강원도 양양군 강현면 해맞이길 59,0,0,38.117516,1,Jan-83,2018-08-24
낙산C지구백사장화장실,N,1,00:00~24:00,강원도 양양군 해양레포츠관리사업소,4,0,033-670-2430,강원도 양양군 양양읍 조산리 산1,10,개방화장실,6,128.636358,0,강원도 양양군 양양읍 해맞이길 115,0,0,38.113874,1,Jan-91,2018-08-24
해마레저앞화장실,N,1,00:00~24:00,강원도 양양군 해양레포츠관리사업소,2,0,033-670-2430,강원도 양양군 양양읍 조산리 399-56,6,개방화장실,4,128.638231,0,강원도 양양군 양양읍 일출로 127-9,0,1,38.112067,0,Jan-18,2018-08-24
낙산월드앞화장실,N,1,00:00~24:00,강원도 양양군 해양레포츠관리사업소,2,0,033-670-2430,강원도 양양군 양양읍 조산리 399-57,6,개방화장실,4,128.639158,0,강원도 양양군 양양읍 일출로 127-37,0,1,38.111971,0,Jan-18,2018-08-24
낙산C지구주차장화장실,N,1,00:00~24:00,강원도 양양군 해양레포츠관리사업소,4,0,033-670-2430,강원도 양양군 양양읍 조산리 434-5,9,개방화장실,7,128.636315,0,,0,0,38.112709,1,Jan-89,2018-08-24
낙산B지구주차장화장실,N,1,00:00~24:00,강원도 양양군 해양레포츠관리사업소,4,0,033-670-2430,강원도 양양군 강현면 주청리 2-9,9,개방화장실,7,128.631841,0,강원도 양양군 강현면 일출로 43,0,0,38.116305,1,Jan-89,2018-08-24
전진항(활어회집)화장실,N,2,00:00~24:00,낙산어촌계 부녀회,1,0,,강원도 양양군 강현면 전진리 3-9,2,개방화장실,2,128.631889,0,,0,0,38.122791,0,Jan-18,2018-08-24
설악마을화장실,N,2,00:00~24:00,설악해변운영발전위원회,2,0,,강원도 양양군 강현면 전진리 61-5,2,개방화장실,2,128.625371,0,강원도 양양군 강현면 뒷나루2길 25,0,0,38.128021,0,Jan-00,2018-08-24
설악마을조립식화장실,N,0,00:00~24:00,설악해변운영발전위원회,2,0,,강원도 양양군 강현면 전진리 61-5,2,개방화장실,2,128.623097,0,강원도 양양군 강현면 뒷나루2길 19,0,0,38.129434,0,Jan-18,2018-08-24
설악주차장화장실,N,1,00:00~24:00,강원도 양양군 해양레포츠관리사업소,3,0,033-670-2430,강원도 양양군 강현면 용호리 126-2,7,개방화장실,6,128.622812,0,,0,0,38.130316,1,Jan-98,2018-08-24
하조등대화장실(조립식),N,0,00:00~24:00,강원도 양양군 해양레포츠관리사업소,2,0,033-670-2430,강원도 양양군 현북면 하광정리 산3,5,개방화장실,4,128.734918,0,강원도 양양군 현북면 조준길 99,0,0,38.019866,0,Jan-18,2018-08-24
하조대해변(1)화장실,N,1,00:00~24:00,강원도 양양군 해양레포츠관리사업소,3,0,033-670-2430,강원도 양양군 현북면 하광정리 630,7,개방화장실,7,128.725971,0,강원도 양양군 현북면 하조대2길 51,0,0,38.021066,0,Jan-18,2018-08-24
