화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
영월군청,N,2,09:00~18:00,강원도 영월군청,12,2,033-370-2335,강원도 영월군 영월읍 하송리242,16,개방화장실,24,128.4611824,0,강원도 영월군 영월읍 하송로 64,0,0,37.18309161,2,,2018-08-21
영월읍사무소,N,1,09:00~18:00,강원도 영월군청,5,1,033-370-1200,강원도 영월군 영월읍 영흥리1017-3,3,개방화장실,6,128.4663278,0,강원도 영월군 영월읍 단종로 48-8,0,0,37.18736712,1,,2018-08-21
상동읍사무소,N,1,09:00~18:00,강원도 영월군청,4,0,033-378-2907,강원도 영월군 상동읍 내덕리 5,4,개방화장실,4,128.8267808,0,강원도 영월군 상동읍 태백산로 3189,0,0,37.12695998,1,,2018-08-21
중동면사무소,N,1,09:00~18:00,강원도 영월군청,2,0,033-378-4209,강원도 영월군 중동면 녹전리774-12,2,개방화장실,3,128.6802714,0,강원도 영월군 중동면 태백산로 1202,0,0,37.14516836,1,,2018-08-21
김삿갓면사무소,N,1,09:00~18:00,강원도 영월군청,2,0,033-372-9001,강원도 영월군 김삿갓면 옥동리266,2,개방화장실,3,128.5700187,0,강원도 영월군 김삿갓면 옥동장터길 36,0,0,37.12569505,1,,2018-08-21
북면사무소,N,1,09:00~18:00,강원도 영월군청,4,0,033-372-3013,강원도 영월군 북면 마차리 1180-7,4,개방화장실,6,128.4547928,0,강원도 영월군 북면 봉래산로 987,0,0,37.25474334,1,,2018-08-21
한반도면사무소,N,1,09:00~18:00,강원도 영월군청,4,0,033-372-4004,강원도 영월군 남면 연당리1036,5,개방화장실,6,128.3279126,0,강원도 영월군 한반도면 신천길 6-6,0,0,37.23667972,1,,2018-08-21
남면사무소,N,1,09:00~18:00,강원도 영월군청,4,0,033-372-6001,강원도 영월군 한반도면 신천리465,5,개방화장실,6,128.4042513,0,강원도 영월군 남면 연당로 47-6,0,0,37.18638219,1,,2018-08-21
주천면사무소,N,1,09:00~18:00,강원도 영월군청,2,0,033-372-7004,강원도 영월군 주천면 주천리1242-2,2,개방화장실,3,128.2692023,0,강원도 영월군 주천면 주천로 103,0,0,37.27240432,0,,2018-08-21
수주면사무소,N,1,09:00~18:00,강원도 영월군청,3,0,033-372-8001,강원도 영월군 수주면 무릉리904,2,개방화장실,4,128.2682924,0,강원도 영월군 수주면 무릉길 70-6,0,0,37.28805509,0,,2018-08-21
영월농업기술센터,N,1,09:00~18:00,강원도 영월군청,14,1,033-374-4211,강원도 영월군 영월읍 덕포리951,14,개방화장실,10,128.4762205,0,강원도 영월군 영월읍 덕포우회길 329,0,0,37.16913107,1,,2018-08-21
영월군보건소(구),N,4,09:00~18:00,강원도 영월군청,3,44,033-372-2014,강원도 영월군 영월읍 하송리236-2,4,개방화장실,9,128.4616107,0,강원도 영월군 영월읍 하송로 46-43,0,0,37.18544688,0,,2018-08-21
영월군보건소(신),N,2,09:00~18:00,강원도 영월군청,7,2,033-370-2550,강원도 영월군 영월읍 하송리236-2,11,개방화장실,13,128.4636214,0,강원도 영월군 영월읍 하송로 44,0,0,37.18437332,2,,2018-08-21
덕포보건지소,N,1,09:00~18:00,강원도 영월군청,1,1,033-370-2008,강원도 영월군 영월읍 덕포리574-68,1,개방화장실,2,128.4767907,0,강원도 영월군 영월읍 중앙로 148,0,0,37.17922209,1,,2018-08-21
중동면보건지소,N,1,09:00~18:00,강원도 영월군청,2,1,033-378-4012,강원도 영월군 중동면 녹전리 774-12,2,개방화장실,2,128.6802714,0,강원도 영월군 중동면 태백산로 1202,0,0,37.14516836,1,,2018-08-21
김삿갓면보건지소,N,0,09:00~18:00,강원도 영월군청,1,0,033-372-9085,강원도 영월군 김삿갓면 옥동리266,1,개방화장실,1,128.5700187,0,강원도 영월군 김삿갓면 옥동장터길 36,0,0,37.12569505,0,,2018-08-21
북면보건지소,N,0,09:00~18:00,강원도 영월군청,1,0,033-372-3300,강원도 영월군 북면 마차리1349-6,2,개방화장실,1,128.4547928,0,강원도 영월군 북면 봉래산로 987,0,0,37.25474334,0,,2018-08-21
남면보건지소,N,0,09:00~18:00,강원도 영월군청,1,0,033-372-4107,강원도 영월군 남면 연당리 1001-70,1,개방화장실,1,128.4074644,0,강원도 영월군 남면 연당로 123-1,0,0,37.19034441,0,,2018-08-21
한반도면보건지소,N,0,09:00~18:00,강원도 영월군청,1,0,033-370-2179,강원도 영월군 한반도면 쌍용리 545-11,1,개방화장실,1,128.3266459,0,강원도 영월군 한반도면 쌍용로 203-3,0,0,37.17774426,0,,2018-08-21
주천통합보건지소,N,1,09:00~18:00,강원도 영월군청,1,0,033-372-7156,강원도 영월군 주천면 주천리 1458-15,2,개방화장실,2,128.2702936,0,강원도 영월군 주천면 송학주천로 1467-20,0,0,37.27535503,1,,2018-08-21
상동보건지소,N,0,09:00~18:00,강원도 영월군청,4,0,033-378-3420,강원도 영월군 상동읍 내덕리5,4,개방화장실,4,128.8270109,0,강원도 영월군 상동읍 태백산로 3191,0,0,37.12716905,0,,2018-08-21
석항보건진료소,N,0,09:00~18:00,강원도 영월군청,1,0,033-378-4900,강원도 영월군 중동면 석항리 140,1,개방화장실,1,128.6197053,0,강원도 영월군 중동면 영월로 3856,0,0,37.1982024,0,,2018-08-21
연덕보건진료소,N,0,09:00~18:00,강원도 영월군청,1,0,033-374-9609,강원도 영월군 북면 연덕리 507-4외 1,1,개방화장실,1,128.42489,0,강원도 영월군 북면 삼방산길 27,0,0,37.28475965,0,,2018-08-21
신천보건진료소,N,0,09:00~18:00,강원도 영월군청,1,0,033-372-6099,강원도 영월군 한반도면 신천리 445-13,1,개방화장실,1,128.3255865,0,강원도 영월군 한반도면 서강로 722,0,0,37.23666615,0,,2018-08-21
쌍용출장소,N,0,09:00~18:00,강원도 영월군청,2,0,033-370-2614,강원도 영월군 한반도면 쌍용리 463-2,1,개방화장실,2,128.3273392,0,강원도 영월군 한반도면 쌍용로 203-10,0,0,37.1774698,1,,2018-08-21
영월세무서,N,1,09:00~18:00,강원도 영월군 세무서,4,0,033-370-0200,강원도 영월군 영월읍 하송리 185번지 1호,6,개방화장실,6,128.465554,0,강원도 영월군 영월읍 하송안길 49,0,0,37.182288,1,,2018-08-21
영월소방서,N,1,09:00~18:00,강원도 영월군 소방서,5,0,033-373-1119,강원도 영월군 영월읍 하송리288,3,개방화장실,5,128.4584341,0,강원도 영월군 영월읍 영월로 1863,0,0,37.18539233,1,,2018-08-21
영월경찰서,N,1,09:00~18:00,강원도 영월군 경찰서,6,0,033-374-3333,강원도 영월군 영월읍 영흥리945,5,개방화장실,11,128.4680783,0,강원도 영월군 영월읍 단종로 9,0,0,37.1847146,1,,2018-08-21
영월군교육지원청,N,1,09:00~18:00,강원도 영월군 교육청,3,0,033-370-1114,강원도 영월군 영월읍 하송리207-1,4,개방화장실,6,128.4579943,0,강원도 영월군 영월읍 영월로 1892,0,0,37.1831345,1,,2018-08-21
춘천지방법원영월지원,N,1,09:00~18:00,법원장,4,0,033-371-1114,강원도 영월군 영월읍 영흥리 876,3,개방화장실,4,128.4733287,0,강원도 영월군 영월읍 영월향교1길 53,0,0,37.1869523,1,,2018-08-21
춘천지방검찰청영월지청,N,1,09:00~18:00,지청장,4,0,033-371-4200,강원도 영월군 영월읍 영흥리 876,4,개방화장실,6,128.4733287,0,강원도 영월군 영월읍 영월향교1길 53,0,0,37.1869523,1,,2018-08-21
꼴두바위 공원,N,0,09:00~24:00,강원도 영월군청,1,0,033-370-2982,강원도 영월군 상동읍 구래리 103-1,4,공중화장실,3,128.840632,0,강원도 영월군 상동읍 중석길 00,0,0,37.1447139,0,,2018-08-21
장릉,N,1,09:00~18:00,강원도 영월군청,3,1,033-370-2656,강원도 영월군 영월읍 영흥리1087,7,개방화장실,4,128.4548041,0,강원도 영월군 영월읍 단종로 190,0,0,37.19551707,1,,2018-08-21
청령포,N,1,09:00~24:00,강원도 영월군청,3,1,033-370-2657,,7,공중화장실,0,128.4477692,0,강원도 영월군 영월읍 청령포로 133,0,0,37.1774468,1,,2018-08-21
고씨동굴,N,14,09:00~18:00,공단,23,14,033-370-2618,강원도 영월군 김삿갓면 진별리 506-29,15,공중화장실,8,128.5367477,0,강원도 영월군 김삿갓면 영월동로 1139,0,0,37.12874393,14,,2018-08-21
관풍헌 화장실,N,0,09:00~18:00,강원도 영월군청,1,0,033-370-2541,,2,개방화장실,0,128.4704893,0,강원도 영월군 영월읍 중앙로 61,0,0,37.18361434,0,,2018-08-21
한반도지형탐방로화장실(공용),N,1,09:00~24:00,강원도 영월군청,1,0,033-370-2541,,3,공중화장실,2,128.3483758,0,강원도 영월군 한반도면 한반도로 794-15,0,0,37.23410952,1,,2018-08-21
한반도지형탐방로화장실(여자용),N,0,09:00~24:00,강원도 영월군청,0,0,033-370-2541,,7,공중화장실,0,128.3483758,0,강원도 영월군 한반도면 한반도로 794-15,0,0,37.23410952,0,,2018-08-21
선돌,N,1,09:00~24:00,강원도 영월군청,1,0,033-370-2541,강원도 영월군 영월읍 방절리122,2,간이화장실,2,128.4556778,0,강원도 영월군 영월읍 영월로 00,0,0,37.18752371,1,,2018-08-21
엄홍도기념관,N,1,09:00~18:00,강원도 영월군청,2,0,033-370-2641,강원도 영월군 영월읍 영흥리 산134-4,2,개방화장실,2,128.4501971,0,강원도 영월군 영월읍 영월로 1713-12,0,0,37.19724577,1,,2018-08-21
강원도탄광문화촌,N,1,09:00~18:00,강원도 영월군청,0,0,033-370-2543,강원도 영월군 북면 마차리786-4,0,개방화장실,0,128.466907,0,강원도 영월군 북면 밤재로 351,0,0,37.26310615,1,,2018-08-21
동강생태정보센터,N,1,09:00~18:00,강원도 영월군청,3,1,033-372-6827,강원도 영월군 영월읍 삼옥리 896,9,개방화장실,4,128.505454,0,강원도 영월군 영월읍 동강로 716,0,0,37.22820546,1,,2018-08-21
난고 김삿갓문학관,N,1,09:00~18:00,공단,4,0,033-375-7900,,6,개방화장실,6,128.6017387,0,강원도 영월군 김삿갓면 김삿갓로 216-22,0,0,37.07949054,1,,2018-08-21
동강사진박물관,N,2,09:00~18:00,공단,3,2,033-375-4554,,5,개방화장실,7,128.4615521,0,강원도 영월군 영월읍 영월로 1909-10,0,0,37.18194101,2,,2018-08-21
별마로천문대,N,2,09:00~18:00,공단,5,2,033-374-7460,,8,개방화장실,7,128.4857315,0,강원도 영월군 영월읍 천문대길 397,0,0,37.19946864,2,,2018-08-21
영월역,N,1,09:00~24:00,역장,4,1,033-374-7788,강원도 영월군 영월읍 덕포리506-2,5,개방화장실,5,128.4829897,0,강원도 영월군 영월읍 영월로 2106,0,0,37.18367474,1,,2018-08-21
쌍용역,N,0,09:00~24:00,역장,2,0,033-372-7732,강원도 영월군 한반도면 쌍용리500,2,개방화장실,2,128.3284914,0,강원도 영월군 한반도면 용정원길 9,0,0,37.17407637,0,,2018-08-21
영월시외버스 터미널,N,0,09:00~24:00,터미널장,3,0,033-374-2540,,3,개방화장실,5,128.4652747,0,강원도 영월군 영월읍 중앙1로 23,0,0,37.1829834,0,,2018-08-21
영월 서부시장,N,0,09:00~24:00,조합장,4,0,033-374-2450,강원도 영월군 영월읍 하송리5-24,8,공중화장실,4,128.4664513,0,강원도 영월군 영월읍 서부시장길 11-1,0,0,37.18303732,0,,2018-08-21
아침시장,N,0,09:00~24:00,조합장,2,0,033-374-2450,강원도 영월군 영월읍 영흥리 947-2,4,공중화장실,2,128.466754,0,강원도 영월군 영월읍 중앙로 30-1,0,0,37.18331828,0,,2018-08-21
영월 종합상가,N,0,09:00~10:00,조합장,5,0,033-374-2450,강원도 영월군 영월읍 하송리 11,5,공중화장실,6,128.4666482,0,강원도 영월군 영월읍 서부시장길 16-10,0,0,37.18273936,0,,2018-08-21
영월 덕포시장,N,0,09:00~24:00,조합장,3,0,033-370-2351,강원도 영월군 영월읍 덕포리 574-29,4,공중화장실,3,128.4769259,0,강원도 영월군 영월읍 덕포시장길 8-00,0,0,37.18130345,0,,2018-08-21
주천시장(다하누),N,0,09:00~24:00,조합장,2,0,033-370-2351,강원도 영월군 주천면 주천리1239-10,3,공중화장실,1,128.2676181,0,강원도 영월군 주천면 주천시장길 16-00,0,0,37.27097972,0,,2018-08-21
주천시장(시장),N,0,09:00~24:00,조합장,2,0,033-370-2351,강원도 영월군 주천면 주천리 1232-4,3,공중화장실,4,128.266365,0,강원도 영월군 주천면 주천시장길 00,0,0,37.27074807,0,,2018-08-21
김삿갓휴게소,N,0,09:00~24:00,시설장,5,0,033-374-9590,강원도 영월군 김삿갓면 와석리 322번지,4,개방화장실,3,128.6105752,0,강원도 영월군 김삿갓면 영월동로 2150,0,0,37.1212515,0,,2018-08-21
강승월휴게소,N,0,09:00~24:00,시설장,2,0,033-372-9937,강원도 영월군 한반도면 쌍용리1083-1,5,개방화장실,5,128.3084442,0,강원도 영월군 한반도면 강원남로 122-4,0,0,37.18028926,0,,2018-08-21
당마루휴게소,N,0,09:00~24:00,시설장,2,0,033-372-6134,강원도 영월군 한반도면 옹정리 396번지 6호,2,개방화장실,2,128.3519676,0,강원도 영월군 한반도면 서강로 1028,0,0,37.23988528,0,,2018-08-21
상동휴게소,N,0,09:00~24:00,시설장,3,0,033-378-5551,강원도 영월군 상동읍 덕구리 173-10,4,개방화장실,4,128.7836254,0,강원도 영월군 상동읍 태백산로 2680-6,0,0,37.11935388,0,,2018-08-21
녹전휴게소,N,0,09:00~24:00,시설장,2,0,033-378-8777,강원도 영월군 중동면 녹전리 882-2,2,개방화장실,2,128.6890589,0,강원도 영월군 중동면 태백산로 1314,0,0,37.1386899,0,,2018-08-21
동강휴게소,N,1,09:00~24:00,시설장,8,1,033-372-0802,강원도 영월군 남면 창원리 729-1,17,개방화장실,20,128.3556802,0,강원도 영월군 남면 강원남로 641,0,0,37.17683173,1,,2018-08-21
영월랜드휴게소,N,1,09:00~24:00,시설장,5,1,033-372-8987,강원도 영월군 한반도면 쌍용리 산 139-3번지,12,개방화장실,7,128.3220612,0,강원도 영월군 한반도면 강원남로 273,0,0,37.17311036,1,,2018-08-21
대현휴게소,N,0,09:00~24:00,시설장,3,0,033-372-6183,,4,개방화장실,4,128.4975939,0,강원도 영월군 한반도면 영월로 2275,0,0,37.1828351,4,,2018-08-21
SK영월주유소,N,0,09:00~24:00,시설장,1,0,033-374-0738,강원도 영월군 영월읍 덕포리466,1,개방화장실,2,128.4859468,0,강원도 영월군 영월읍 영월로 2153,0,0,37.18539998,0,,2018-08-21
영월관광 비타민 주유소,N,0,09:00~24:00,시설장,1,0,033-373-0303,강원도 영월군 영월읍 영흥리 1049-13,1,개방화장실,1,128.4644551,0,강원도 영월군 영월읍 단종로 78,0,0,37.18928954,0,,2018-08-21
연하주유소,N,0,09:00~24:00,시설장,2,0,033-374-4701,강원도 영월군 영월읍 연하리 산63-3,3,개방화장실,2,128.5687595,0,강원도 영월군 영월읍 영월로 3206-8,0,0,37.19066418,0,,2018-08-21
청령포 주유소,N,0,09:00~24:00,시설장,1,0,033-373-5133,강원도 영월군 영월읍 하송리 산19,1,개방화장실,1,128.4575561,0,강원도 영월군 영월읍 청령포로 6,0,0,37.18517609,0,,2018-08-21
유진주유소,N,0,09:00~24:00,시설장,2,0,033-378-1188,강원도 영월군 상동읍 내덕리36-7,2,개방화장실,2,128.8306219,0,강원도 영월군 상동읍 태백산로 3234,0,0,37.12928279,0,,2018-08-21
녹전주유소,N,0,09:00~24:00,시설장,1,0,033-378-8777,강원도 영월군 중동면 녹전리881-2,1,개방화장실,2,128.6887101,0,강원도 영월군 중동면 태백산로 1308,0,0,37.1391958,0,,2018-08-21
김삿갓 주유소,N,0,09:00~24:00,시설장,1,0,033-372-1340,강원도 영월군 김삿갓면 와석리322,1,개방화장실,1,128.6113113,0,강원도 영월군 김삿갓면 영월동로 2156,0,0,37.12158386,0,,2018-08-21
고씨굴 주유소,N,0,09:00~24:00,시설장,2,0,033-372-9881,강원도 영월군 김삿갓면 진별리 506-29,2,개방화장실,2,128.5371572,0,강원도 영월군 김삿갓면 영월동로 1121-32,0,0,37.12896206,0,,2018-08-21
오일세상주유소,N,0,09:00~24:00,시설장,2,0,033-372-1500,강원도 영월군 북면 문곡리1447,2,개방화장실,2,128.4194379,0,강원도 영월군 북면 원동재로 98,0,0,37.21993014,0,,2018-08-21
대일주유소,N,0,09:00~24:00,시설장,1,0,033-372-3343,강원도 영월군 북면 문곡리368,1,개방화장실,1,128.4303216,0,강원도 영월군 북면 원동재로 513,0,0,37.25216926,0,,2018-08-21
서남농협주유소,N,0,09:00~24:00,시설장,1,0,033-372-1616,강원도 영월군 남면 북쌍리269-2,2,개방화장실,1,128.4032522,0,강원도 영월군 남면 영월로 975,0,0,37.1986005,0,,2018-08-21
신천주유소,N,0,09:00~24:00,시설장,1,0,033-372-8584,강원도 영월군 한반도면 신천리514-1,1,개방화장실,2,128.3315101,0,강원도 영월군 한반도면 서강로 781,0,0,37.23645552,0,,2018-08-21
영월 현대주유소,N,0,09:00~24:00,시설장,1,0,033-372-1630,강원도 영월군 한반도면 신천리340,1,개방화장실,2,128.31593,0,강원도 영월군 한반도면 서강로 628,0,0,37.23813615,0,,2018-08-21
현대주유소,N,0,09:00~24:00,시설장,2,0,033-375-9595,강원도 영월군 영월읍 덕포리676-1,2,개방화장실,2,128.4785974,0,강원도 영월군 영월읍 중앙로 254,0,0,37.16954471,0,,2018-08-21
쌍용장원주유소,N,0,09:00~24:00,시설장,1,0,033-372-5145,강원도 영월군 한반도면 쌍용리1079-1,2,개방화장실,2,128.3120323,0,강원도 영월군 한반도면 강원남로 153,0,0,37.18019191,0,,2018-08-21
참조은주유소,N,0,09:00~24:00,시설장,1,0,033-372-1630,강원도 영월군 한반도면 쌍용리 1079번지 29호,1,개방화장실,2,128.3107224,0,강원도 영월군 한반도면 강원남로 140,0,0,37.17971267,0,,2018-08-21
오성주유소,N,0,09:00~24:00,시설장,1,0,033-372-7401,강원도 영월군 주천면 주천리1277-3,1,개방화장실,1,128.2691729,0,강원도 영월군 주천면 주천로84번길 30,0,0,37.26957915,0,,2018-08-21
금강주유소,N,0,09:00~24:00,시설장,2,0,033-375-8989,강원도 영월군 영월읍 하송리280-2,2,개방화장실,2,128.4570393,0,강원도 영월군 영월읍 영월로 1850,0,0,37.18617713,0,,2018-08-21
코끼리주유소,N,0,09:00~24:00,시설장,1,0,033-372-4848,강원도 영월군 남면 창원리1226-2,1,개방화장실,1,128.3424648,0,강원도 영월군 남면 영월로 124,0,0,37.16710738,0,,2018-08-21
영월랜드주유소,N,0,09:00~24:00,시설장,1,0,033-372-5069,강원도 영월군 한반도면 쌍용리871,1,개방화장실,1,128.3220612,0,강원도 영월군 한반도면 강원남로 273,0,0,37.17311036,0,,2018-08-21
회덕주유소,N,0,09:00~24:00,시설장,1,0,033-378-3105,강원도 영월군 상동읍 내덕리502-1,1,개방화장실,1,128.7451854,0,강원도 영월군 상동읍 태백산로 2317-1,0,0,37.12097483,0,,2018-08-21
주천주유소,N,0,09:00~24:00,시설장,1,0,033-372-8333,강원도 영월군 주천면 신일리746,1,개방화장실,2,128.2437132,0,강원도 영월군 주천면 솔치로 570,0,0,37.26962595,0,,2018-08-21
금마주유소,N,0,09:00~24:00,시설장,3,0,033-372-0488,강원도 영월군 주천면 금마리 산224,4,개방화장실,4,128.2448819,0,강원도 영월군 주천면 송학주천로 1002,0,0,37.24227775,0,,2018-08-21
약물내기주유소,N,0,09:00~24:00,시설장,3,0,033-373-1146,강원도 영월군 영월읍 덕포리202,3,개방화장실,3,128.4975939,0,강원도 영월군 영월읍 영월로 2275,0,0,37.1828351,0,,2018-08-21
주천농협 주유소,N,0,09:00~24:00,시설장,1,0,033-372-5133,강원도 영월군 주천면 주천리40-1,2,개방화장실,2,128.2669878,0,강원도 영월군 주천면 송학주천로 1367,0,0,37.26593016,0,,2018-08-21
스포츠파크(클럽하우스),N,1,09:00~18:00,강원도 영월군청,2,1,033-375-4005,강원도 영월군 영월읍 하송리81-25,5,공중화장실,3,128.4603183,0,강원도 영월군 영월읍 제방안길 00,0,0,37.17517368,1,,2018-08-21
스포츠파크(게이트볼장),N,1,09:00~18:00,강원도 영월군청,1,1,033-375-4005,강원도 영월군 영월읍 하송리81-25,3,공중화장실,2,128.4603183,0,강원도 영월군 영월읍 제방안길 00,0,0,37.17517368,1,,2018-08-21
스포츠파크(공중화장실화장실-G동),N,1,09:00~24:00,강원도 영월군청,3,1,033-375-4005,강원도 영월군 영월읍 하송리81-25,8,공중화장실,5,128.4603183,0,강원도 영월군 영월읍 제방안길 00,0,0,37.17517368,1,,2018-08-21
스포츠파크(실내체육관),N,3,09:00~18:00,강원도 영월군청,10,3,033-375-6996,강원도 영월군 영월읍 하송리106,23,공중화장실,13,128.4645866,0,강원도 영월군 영월읍 제방안길 00,0,0,37.17720765,3,,2018-08-21
