화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
하남공원1,N,0,24시간,광주광역시 광산구청,1,0,062-960-8685,광주광역시 광산구 하남동 499-3,2,공중화장실,2,126.793781,0,광주광역시 광산구 손재로287번길 36,0,0,35.192155,0,,2018-07-30
하남공원2,N,0,24시간,광주광역시 광산구청,1,0,062-960-8685,광주광역시 광산구 하남동 499-3,2,공중화장실,2,126.793781,0,광주광역시 광산구 손재로287번길 36,0,0,35.192155,0,,2018-07-30
월곡공원,Y,0,24시간,광주광역시 광산구청,0,0,062-960-8705,광주광역시 광산구 월곡동 587,1,공중화장실,2,126.814503,0,광주광역시 광산구 월곡반월로16번길 25-14,0,0,35.167506,0,,2018-07-30
산정공원1,N,1,24시간,광주광역시 광산구청,2,0,062-960-8705,광주광역시 광산구 월곡동 539,3,공중화장실,2,126.806602,0,광주광역시 광산구 산정공원로 27-5,0,0,35.169219,1,,2018-07-30
산정공원2,Y,0,24시간,광주광역시 광산구청,0,0,062-960-8705,광주광역시 광산구 월곡동 539,1,공중화장실,2,126.806602,0,광주광역시 광산구 산정공원로 27-5,0,0,35.169219,0,,2018-07-30
안청공원1,N,1,24시간,광주광역시 광산구청,3,0,062-960-8685,광주광역시 광산구 안청동 736-1,5,공중화장실,5,126.802576,0,광주광역시 광산구 하남산단9번로 62,0,0,35.212888,0,,2018-07-30
안청공원2,N,0,24시간,광주광역시 광산구청,3,0,062-960-8685,광주광역시 광산구 안청동 736-1,6,공중화장실,3,126.802576,0,광주광역시 광산구 하남산단9번로 62,0,1,35.212888,0,,2018-07-30
쌍암공원1,N,1,24시간,광주광역시 광산구청,2,1,062-960-8704,광주광역시 광산구 쌍암동 653-1,4,공중화장실,2,126.844328,0,광주광역시 광산구 첨단중앙로182번길 39,0,0,35.222211,1,,2018-07-30
쌍암공원2,N,1,24시간,광주광역시 광산구청,1,1,062-960-8704,광주광역시 광산구 쌍암동 653-1,2,공중화장실,3,126.844328,0,광주광역시 광산구 첨단중앙로182번길 39,0,0,35.222211,1,,2018-07-30
쌍암공원3,N,1,24시간,광주광역시 광산구청,1,1,062-960-8704,광주광역시 광산구 쌍암동 653-1,4,공중화장실,2,126.844328,0,광주광역시 광산구 첨단중앙로182번길 39,0,0,35.222211,1,,2018-07-30
무양공원,N,0,24시간,광주광역시 광산구청,2,0,062-960-8704,광주광역시 광산구 월계동 848-1,2,공중화장실,3,126.839863,0,광주광역시 광산구 산월로21번길 42,0,0,35.210816,1,,2018-07-30
응암공원,N,1,24시간,광주광역시 광산구청,1,0,062-960-8704,광주광역시 광산구 월계동 760-1,1,공중화장실,2,126.832239,0,광주광역시 광산구 임방울대로 673-12,0,0,35.216792,1,,2018-07-30
신가2공원,N,0,24시간,광주광역시 광산구청,2,0,062-960-8685,광주광역시 광산구 신가동 1021-1,2,공중화장실,2,126.840612,0,광주광역시 광산구 신가동 1021-1,0,0,35.183838,0,,2018-07-30
제1풍영정공원,N,0,24시간,광주광역시 광산구청,1,0,062-960-8704,광주광역시 광산구 월곡동 686-1,2,공중화장실,2,126.812495,0,광주광역시 광산구 풍영로 34,0,0,35.173546,0,,2018-07-30
제2풍영정공원,N,0,24시간,광주광역시 광산구청,2,1,062-960-8704,광주광역시 광산구 운남동 793-1,3,공중화장실,3,126.813608,0,광주광역시 광산구 운남동 793-1,0,0,35.17351,1,,2018-07-30
운남공원,N,0,24시간,광주광역시 광산구청,2,1,062-960-8704,광주광역시 광산구 운남동 799-1,3,공중화장실,3,126.816421,0,광주광역시 광산구 목련로 156,0,0,35.170681,1,,2018-07-30
역사공원,N,0,24시간,광주광역시 광산구청,2,0,062-960-8685,광주광역시 광산구 신창동 1173-2,4,공중화장실,4,126.844948,0,광주광역시 광산구 신창동 1173-2,0,0,35.194991,0,,2018-07-30
생태공원,N,0,24시간,광주광역시 광산구청,3,0,062-960-8685,광주광역시 광산구 신창동 1262,3,공중화장실,2,126.83559,0,광주광역시 광산구 신창로105번길 23-17,0,0,35.193768,0,,2018-07-30
신가공원,N,0,24시간,광주광역시 광산구청,1,1,062-960-8685,광주광역시 광산구 신가동 870,2,공중화장실,2,126.828585,0,광주광역시 광산구 신가로40번길 24,0,0,35.182752,1,,2018-07-30
송정공원1,N,1,24시간,광주광역시 광산구청,2,0,062-960-8705,광주광역시 광산구 소촌동 산4-1,3,공중화장실,3,126.799604,0,광주광역시 광산구 송정공원로 8-25,0,0,35.145316,1,,2018-07-30
송정공원2,N,1,24시간,광주광역시 광산구청,2,0,062-960-8705,광주광역시 광산구 소촌동 산4-1,3,공중화장실,3,126.799604,0,광주광역시 광산구 송정공원로 8-25,0,0,35.145316,1,,2018-07-30
영산강대상공원1,N,0,24시간,광주광역시 광산구청,2,1,062-960-8704,광주광역시 광산구 쌍암동 695-3,3,공중화장실,3,126.852294,0,광주광역시 광산구 첨단강변로 76,1,1,35.212969,1,,2018-07-30
영산강대상공원2,N,0,24시간,광주광역시 광산구청,3,0,062-960-8704,광주광역시 광산구 쌍암동 695-3,5,공중화장실,3,126.852294,0,광주광역시 광산구 첨단강변로 76,0,0,35.212969,0,,2018-07-30
송산근린공원,N,0,09:00 ~18:00,광주광역시 광산구청,4,1,062-960-8711,광주광역시 광산구 송산동 195,5,공중화장실,3,126.736088,0,광주광역시 광산구 송산동 195,0,0,35.158814,1,,2018-07-30
경암공원1,N,1,24시간,광주광역시 광산구청,2,0,062-960-8705,광주광역시 광산구  하남동 663,2,공중화장실,2,126.799966,0,광주광역시 광산구 하남대로54번안길 133,0,0,35.17813,1,,2018-07-30
경암공원2,N,1,24시간,광주광역시 광산구청,2,0,062-960-8705,광주광역시 광산구  하남동 663,5,공중화장실,3,126.799966,0,광주광역시 광산구 하남대로54번안길 133,0,0,35.17813,2,,2018-07-30
경암공원3,N,1,24시간,광주광역시 광산구청,1,0,062-960-8705,광주광역시 광산구  하남동 663,1,공중화장실,1,126.799966,0,광주광역시 광산구 하남대로54번안길 133,0,0,35.17813,2,,2018-07-30
장수천공원,N,1,24시간,광주광역시 광산구청,2,0,062-960-8705,광주광역시 광산구 산정동 1037,5,공중화장실,3,126.801878,0,광주광역시 광산구 산정동 1037,0,0,35.176024,2,,2018-07-30
솔무공원,N,1,24시간,광주광역시 광산구청,2,1,062-960-8702,광주광역시 광산구 장덕동 1112,5,공중화장실,2,126.815633,0,광주광역시 광산구 풍영로 312,0,0,35.199013,1,,2018-07-30
