화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
무등경기장앞,N,1,24시간,광주광역시 북구청,3,0,062-410-6475,광주광역시 북구 임동 329,6,공중화장실,5,126.8908154,0,광주광역시 북구 서림로 9(임동),0,0,35.1684307,1,,2018-07-09
5.18소공원,N,1,24시간,광주광역시 북구청,2,0,062-410-6475,광주광역시 북구 용봉동 252-4,3,공중화장실,3,126.9062834,0,광주광역시 북구 용봉로 87(용봉동),0,0,35.17275935,0,,2018-07-09
삼정골,N,1,24시간,광주광역시 북구청,2,0,062-410-6475,광주광역시 북구 두암동 126-2,2,공중화장실,2,126.9394986,0,광주광역시 북구 삼정로66번길 42-17 (두암동),0,0,35.1702567,1,,2018-07-09
풍암정,N,0,24시간,광주광역시 북구청,1,0,062-410-6475,광주광역시 북구 금곡동 656,2,공중화장실,1,126.9933398,0,광주광역시 북구 풍암제길 109 (금곡동),0,0,35.16129409,0,,2018-07-09
두암체육공원,N,0,24시간,광주광역시 북구청,2,0,062-410-6475,광주광역시 북구 두암동 126-2,3,공중화장실,2,126.9394986,0,광주광역시 북구 삼정로66번길 42-17 (두암동),0,0,35.1702567,0,,2018-07-09
시화문화마을,N,1,24시간,광주광역시 북구청,2,0,062-410-6475,광주광역시 북구 각화동 100,5,공중화장실,3,126.9415782,0,광주광역시 북구 각화대로 103-5 (각화동),0,0,35.17871245,1,,2018-07-09
일곡제1근린공원(사무실옆)上,N,1,24시간,광주광역시 북구청,1,0,062-410-6438,광주광역시 북구 일곡동 850-1,3,공중화장실,2,126.8954453,0,광주광역시 북구 일곡택지로 88 (일곡동),0,0,35.20797542,1,,2018-07-09
일곡제1근린공원下,N,0,24시간,광주광역시 북구청,1,0,062-410-6438,광주광역시 북구 일곡동 850-1,2,공중화장실,3,126.8954453,0,광주광역시 북구 일곡택지로 88 (일곡동),0,0,35.20797542,0,,2018-07-09
일곡제2근린공원(중앙초교옆),N,0,24시간,광주광역시 북구청,1,0,062-410-6438,광주광역시 북구 일곡동 820-2,2,공중화장실,3,126.8983947,0,광주광역시 북구 설죽로 526 (일곡동),0,0,35.20649972,0,,2018-07-09
일곡제3근린공원(일곡중옆),N,0,24시간,광주광역시 북구청,1,0,062-410-6438,광주광역시 북구 일곡동 848-3,2,공중화장실,3,126.8962296,0,광주광역시 북구 양일로 297 (일곡동),0,0,35.20259322,0,,2018-07-09
