화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
천변길(효천지구),N,0,24시간,공원녹지과,4,0,062-607-3811,광주광역시 남구 행암동 549,7,공중화장실,3,126.8854446,0,광주광역시 남구 효우2로 65,0,0,35.1001421,0,,2018-08-20
고싸움전수관,N,0,24시간,문화관광과,1,0,062-607-2342,광주광역시 남구 칠석동 619,8,공중화장실,1,126.837519,0,광주광역시 남구 고싸움로2,0,0,35.06974364,0,,2018-08-20
풀빛근린공원,N,0,24시간,공원녹지과,4,0,062-607-3811,광주광역시 남구 노대동 727,3,공중화장실,2,126.9018114,0,광주광역시 남구 효덕으로 314-44,0,0,35.10863652,0,,2018-08-20
금당산등산로(태현사),N,0,24시간,환경생태과,2,0,062-607-3642,광주광역시 남구 진월동356-4,3,공중화장실,2,126.8925858,0,광주광역시 남구 금당로3길 27,0,0,35.12095217,0,,2018-08-20
제석산등산로(대각사),N,0,24시간,공원녹지과,2,0,062-607-3823,광주광역시 남구 봉선2동 574-3,2,공중화장실,1,126.9110229,0,광주광역시 남구 제석로80번안길 33,0,0,35.11880383,0,,2018-08-20
물빛근린공원,N,0,24시간,공원녹지과,3,0,062-607-3822,광주광역시 남구 노대동 865,6,공중화장실,3,126.9038529,0,광주광역시 남구 효우로 107,0,0,35.1037888,0,,2018-08-20
월산근린공원,N,0,24시간,공원녹지과,1,0,062-607-3821,광주광역시 남구 월산동 150,4,공중화장실,3,126.8994104,0,광주광역시 남구 월산로 37,0,0,35.14151632,0,,2018-08-20
유안근린공원,N,0,24시간,공원녹지과,4,0,062-607-3820,광주광역시 남구 봉선2동 134,9,공중화장실,4,126.916591,0,광주광역시 남구 봉선으로 195,0,0,35.12346604,0,,2018-08-20
봉선근린공원,N,0,24시간,공원녹지과,3,0,062-607-3819,광주광역시 남구 봉선1동 1016,6,공중화장실,3,126.9110501,0,광주광역시 남구 봉선중앙로 102,0,0,35.13009615,0,,2018-08-20
월산2어린이공원,N,0,24시간,공원녹지과,2,0,062-607-3818,광주광역시 남구 월산5동 1034-1,2,공중화장실,2,126.8938258,0,광주광역시 남구 군분로62번길 10,0,0,35.1392906,0,,2018-08-20
방죽어린이공원,N,0,24시간,공원녹지과,1,0,062-607-3817,광주광역시 남구 봉선2동 484-4,2,공중화장실,2,126.9124924,0,광주광역시 남구 봉선중앙로 25,0,0,35.12340907,0,,2018-08-20
봉선3어린이공원,N,0,24시간,공원녹지과,1,0,062-607-3816,광주광역시 남구 봉선1동 1008,2,공중화장실,1,126.9084332,0,광주광역시 남구 봉선1로16번안길 14,0,0,35.12732521,0,,2018-08-20
봉선2어린이공원,N,0,24시간,공원녹지과,1,0,062-607-3815,광주광역시 남구 봉선1동 1031,2,공중화장실,2,126.9124866,0,광주광역시 남구 유안초등북2길 17,0,0,35.12884249,0,,2018-08-20
봉선1어린이공원,N,0,24시간,공원녹지과,2,0,062-607-3814,광주광역시 남구 봉선동 986,2,공중화장실,2,126.9089521,0,광주광역시 남구 봉선1로37번길 25,0,0,35.13029289,0,,2018-08-20
방림3어린이공원,N,0,24시간,공원녹지과,1,0,062-607-3813,광주광역시 남구 방림2동 557,2,공중화장실,1,126.9168392,0,광주광역시 남구 용대로 149-14,0,0,35.1297325,0,,2018-08-20
방림2어린이공원,N,0,24시간,공원녹지과,1,0,062-607-3812,광주광역시 남구 방림1동 553,2,공중화장실,2,126.9147666,0,광주광역시 남구 봉선초등길 21-5,0,0,35.13084515,0,,2018-08-20
방림1어린이공원,N,0,24시간,공원녹지과,1,0,062-607-3811,광주광역시 남구 방림1동 528-2,3,공중화장실,2,126.9168672,0,광주광역시 남구 용대로183번길 9,0,0,35.13238613,0,,2018-08-20
