화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
김대중컨벤션센터,N,12,09:00~18:00,김대중컨벤션센터,66,1,062-611-2131,광주광역시 서구 치평동 1159-2,127,공중화장실,86,126.8398595,1,광주광역시 서구 상무누리로 30,0,0,35.1450614,16,05-Sep,2018-08-10
한강주유소,N,0,연중무휴,한강주유소,2,0,062-368-2415,광주광역시 서구 광천동 607-57,2,개방화장실,2,126.88442,0,광주광역시 서구 천변좌로 6 (광천동),0,0,35.16712,0,,2018-02-19
한국감정원 광주지사,N,1,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)+09:00~18:00,한국감정원 광주지사,2,0,062-953-1300,광주광역시 서구 치평동 1209-5,2,개방화장실,4,126.852516,0,광주광역시 서구 시청로 84 (치평동),0,0,35.155922,1,,2018-02-19
한국농어촌공사광주지사,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)+09:00~18:00,농어촌공사광주지사,4,0,062-380-8681,광주광역시 서구 쌍촌동 994-1,4,개방화장실,5,126.86615,0,광주광역시 서구 상무대로956번길 16 (쌍촌동),0,0,35.15091,0,,2018-02-19
한국은행광주전남본부,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)+09:00~18:00,한국은행광주전남본부,3,0,062-601-1000,광주광역시 서구 치평동 1202,2,개방화장실,3,126.84937,0,광주광역시 서구 상무중앙로 126 (치평동),0,0,35.158222,0,,2018-02-19
한국전력공사 서광주지사,N,1,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)+09:00~18:00,한국전력공사서광주지사,2,1,062-360-6211,광주광역시 서구 농성동 161-1,2,개방화장실,2,126.89104,0,광주광역시 서구 경열로 43 (농성동),0,0,35.151478,1,,2018-02-19
한국토지주택공사광주전남본부,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)+09:00~18:00,한국토지주택공사 광주전남본부,3,0,062-1600-1004,광주광역시 서구 치평동 1210,3,개방화장실,3,126.85084,0,광주광역시 서구 시청로 91 (치평동),0,0,35.15655,0,,2018-02-19
한솔자동차공업사,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)+09:00~18:00,한솔자동차공업사,1,0,062-374-9988,광주광역시 서구 벽진동 266-1,1,개방화장실,2,126.843506,0,광주광역시 서구 풍서우로 172 (벽진동),0,0,35.12866,0,,2018-02-19
한일교회,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)+09:00~18:00,한일교회,2,0,062-365-1145,광주광역시 서구 화정동 23-137,5,개방화장실,2,126.879684,0,광주광역시 서구 내방로358번길 8 (화정동),0,0,35.156517,0,,2018-02-19
효광어린이공원,N,1,연중무휴,광주광역시 서구청,1,0,062-360-7723,광주광역시 서구 쌍촌동 1213,4,공중화장실,3,126.86325,0,광주광역시 서구 화정로49번길 14,0,0,35.145992,1,,2018-02-19
효행어린이공원,N,1,연중무휴,광주광역시 서구청,1,0,062-360-7723,광주광역시 서구 화정동 802,2,공중화장실,3,126.8725,0,광주광역시 서구 화정로138번길 12,0,0,35.144283,0,,2018-02-19
해송생복집,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)+09:00~18:00,해송생복집,1,0,062-384-0045,광주광역시 서구 치평동 1188-5,1,개방화장실,1,126.84795,0,광주광역시 서구 시청서편로4번길 22 (치평동),0,0,35.1591,0,,2018-02-19
