화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
해냄어린이집,Y,0,09~18,사회복지법인효천재단,1,0,062-524-7004,광주광역시 동구 무등로359번길 7 (계림동),1,개방화장실,1,126.9223166,0,,0,0,35.16161909,1,,2018-06-08
성심주유소,Y,0,09~18,(유)성심주유소,2,0,062-515-5153,광주광역시 동구 무등로 405 (계림동),2,개방화장실,1,126.9269283,0,,0,0,35.15968945,1,,2018-06-08
광주아트샵,Y,0,09~18,안철환,1,0,062-225-1738,광주광역시 동구 예술길 23-2(궁동),1,개방화장실,1,126.9188336,0,,0,0,35.14988471,1,,2018-06-08
충장빌딩(충장서림),Y,0,09~18,장기원,1,0,062-227-1932,광주광역시 동구 충장로 93-5 (금남로2가),1,개방화장실,0,126.9173561,0,,0,0,35.14805936,0,,2018-06-08
금남전자상가,Y,0,05~23,금남상가타운관리조합,1,0,062-224-5030,광주광역시 동구 독립로264번길 12 (금남로5가),1,개방화장실,1,126.9120823,0,,0,0,35.15382435,1,,2018-06-08
대성빌딩,Y,0,09~18,최동림,2,0,062-225-0158,광주광역시 동구 구성로 187-2 (금남로5가),2,개방화장실,2,126.9134399,0,,0,0,35.15275812,2,,2018-06-08
방림신용협동조합,Y,0,09~18,이사장 임기석,1,0,062-222-8920,광주광역시 동구 제봉로 58 (남동),1,개방화장실,1,126.9211793,0,,0,0,35.14361999,1,,2018-06-08
금남지구대,Y,0,09~18,금남지구대장,2,0,062-225-0112,광주광역시 동구 예술길 31-5 (대의동),2,개방화장실,1,126.9195494,0,,0,0,35.14953185,1,,2018-06-08
빛고을신용협동조합,Y,0,09~18,빛고을신협,2,0,062-222-8536,광주광역시 동구 서석로 23-17 (불로동),2,개방화장실,1,126.9159313,0,,0,0,35.14620518,1,,2018-06-08
주향기교회,Y,0,연중무휴,이두희,2,0,062-263-7230,광주광역시 동구 필문대로123번길 15-5 (산수동),2,개방화장실,1,126.9325825,0,,0,0,35.16019028,1,,2018-06-08
효광빌딩,Y,0,연중무휴,송치현,1,0,000-000-0000,광주광역시 동구 필문대로 170-1(산수동),1,개방화장실,1,126.9314669,0,,0,0,35.15552421,1,,2018-06-08
조선대치과병원,Y,0,09~18,조선대학교법인이사장,1,0,062-220-3907,광주광역시 동구 필문대로 303 (서석동),1,개방화장실,0,126.9271526,0,,0,0,35.14442414,0,,2018-06-08
예경충전소,Y,0,09~18,천영식,2,0,062-234-5515,광주광역시 동구 남문로 148 (선교동),2,개방화장실,2,126.9488058,0,,0,0,35.08835583,2,,2018-06-08
영신어린이집,Y,0,08~18,김 연,1,0,062-234-3857,광주광역시 동구 화산로 237-5 (용산동),1,개방화장실,1,126.9206906,1,,1,1,35.11804258,1,,2018-06-08
용연동마을회관,Y,0,09~18,김영,1,0,000-000-0000,광주광역시 동구 용연길 25 (용연동),1,개방화장실,0,126.9646821,0,,0,0,35.09433217,0,,2018-06-08
무등산국립공원사무소,Y,0,09~18,무등산국립공원사무소,2,0,062-230-2024,광주광역시 동구 동산길 29(운림동),2,개방화장실,4,126.9483316,0,,0,0,35.1307992,4,,2018-06-08
성불사,Y,0,연중무휴,정성탁,3,0,000-000-0000,광주광역시 동구 의재로 193,3,개방화장실,1,126.9482944,0,,0,0,35.13402246,1,,2018-06-08
광주동문교회,Y,0,연중무휴,김인수,2,0,062-222-4755,광주광역시 동구 밤실로42번길 6 (지산동),2,개방화장실,1,126.9373834,0,,0,0,35.15144245,1,,2018-06-08
충장치안센터,Y,0,09~18,충장치안센터,1,0,062-232-0112,광주광역시 동구 충장로 64 (충장로3가),1,개방화장실,0,126.9145892,0,,0,0,35.14933737,0,,2018-06-08
금양오피스텔(빌딩),Y,0,07~19,문병현,1,0,062-228-2848,광주광역시 동구 충장로46번길 7-1 (충장로4가),1,개방화장실,1,126.912754,0,,0,0,35.149693,1,,2018-06-08
상수도사업본부동부사업소,Y,0,09~18,상수도사업본부장,2,0,062-609-6500,광주광역시 동구 양림로 105-6 (학동),2,개방화장실,2,126.9197742,0,,0,0,35.13971798,2,,2018-06-08
학서파출소,Y,0,09~18,산수파출소장,1,0,062-226-5688,광주광역시 동구 양림로119번길 13 (학동),1,개방화장실,1,126.9199223,0,,0,0,35.1408574,1,,2018-06-08
미래빌딩,Y,0,연중무휴,강기술,2,0,000-000-0000,광주광역시 동구 의재로 77(학동),2,개방화장실,2,126.9361693,0,,0,0,35.13225001,2,,2018-06-08
행복재활원,Y,0,09~18,정윤영,1,0,062-222-1656,광주광역시 동구 증심천로 53 (학동),1,개방화장실,1,126.9345376,0,,0,0,35.13104132,1,,2018-06-08
학운동주민센터,Y,0,09~18,학운동장,2,0,062-608-3504,광주광역시 동구 의재로 53 (학동),2,개방화장실,1,126.9335446,0,,0,0,35.13247214,1,,2018-06-08
남광주농협학동지점,Y,0,09~18,지점장,2,0,062-222-1924,광주광역시 동구 남문로 666 (학동),2,개방화장실,1,126.9297853,0,,0,0,35.13028151,1,,2018-06-08
평화어린이집,Y,0,09~18,최정희,7,0,062-227-5211,광주광역시 동구 학소로 125 (학동),7,개방화장실,4,126.9311795,0,,0,0,35.13194803,4,,2018-06-08
학동주민센터,Y,0,09~18,학동장,3,0,062-608-3477,광주광역시 동구 천변우로 559-7 (학동),3,개방화장실,4,126.9241946,0,,0,0,35.1344172,4,,2018-06-08
이마트동광주점,N,1,09~18,금호계림주상복합상가,4,0,062-522-5522,광주광역시 동구 중앙로 358 (계림동),6,개방화장실,8,126.9202205,0,,0,0,35.16359351,1,,2018-06-08
계림1동주민센터,N,1,09~18,계림1동장,7,2,062-608-3165,광주광역시 동구 경양로247번길 26 (계림동),7,개방화장실,10,126.9196723,2,,0,0,35.15852751,1,,2018-06-08
