화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
구산항위판장,N,0,24시간,경상북도 울진군 기성면사무소,1,0,054-789-4612,경상북도 울진군 기성면 구산리 130-6,1,간이화장실,1,129.4716447,0,,0,0,36.7608038,0,,2018-08-30
대게동산,N,0,24시간,경상북도 울진군 기성면사무소,1,0,054-789-4612,경상북도 울진군 기성면 망양리 632-3,1,간이화장실,1,129.4225023,0,,0,0,36.8607149,0,,2018-08-30
정명리(하천변),N,0,24시간,경상북도 울진군 기성면사무소,1,0,054-789-4612,경상북도 울진군 기성면 정명리 572-28,1,간이화장실,1,129.4482895,0,,0,0,36.7921928,0,,2018-08-30
체육공원,N,0,24시간,경상북도 울진군 기성면사무소,1,0,054-789-4612,경상북도 울진군 기성면 척산리 61-29,1,간이화장실,1,129.4550879,0,,0,0,36.7939289,0,,2018-08-30
오봉사앞,N,0,24시간,경상북도 울진군 매화면사무소,1,0,054-789-4523,경상북도 울진군 매화면 길곡리 오봉사앞,1,간이화장실,1,129.3390542,0,,0,0,36.8375258,0,,2018-08-30
덕신고분공원내,N,0,24시간,경상북도 울진군 매화면사무소,1,0,054-789-4523,경상북도 울진군 매화면 덕신리 산56-1,1,간이화장실,1,129.3829065,0,,0,0,36.9182422,0,,2018-08-30
덕신해안변,N,0,24시간,경상북도 울진군 매화면사무소,1,0,054-789-4523,경상북도 울진군 매화면 덕신리456-5 정자옆,1,간이화장실,1,129.4157,0,,0,0,36.8862483,0,,2018-08-30
덕신해수욕장,N,0,24시간,경상북도 울진군 매화면사무소,1,0,054-789-4523,경상북도 울진군 매화면 덕신리5-5 해수욕장,1,간이화장실,1,129.4161435,0,,0,0,36.8838824,0,,2018-08-30
오산무릉교 옆,N,0,24시간,경상북도 울진군 매화면사무소,1,0,054-789-4523,경상북도 울진군 매화면 오산3리551-2 마을회관앞,1,간이화장실,1,129.4155808,0,,0,0,36.9072914,0,,2018-08-30
오산항 낚시터,N,0,24시간,경상북도 울진군 매화면사무소,1,0,054-789-4523,경상북도 울진군 매화면 오산리  마리나항내,1,간이화장실,1,129.4156577,0,,0,0,36.8888204,0,,2018-08-30
금강송숲길,N,0,24시간,경상북도 울진군 북면사무소,1,0,054-789-4212,경상북도 울진군 북면 두천리 217,1,간이화장실,1,129.2906398,0,경상북도 울진군 북면 십이령로 2252-5,0,0,37.0336335,0,,2018-08-30
고성리위령공원,N,0,24시간,경상북도 울진군 울진읍사무소,1,0,054-789-4013,경상북도 울진군 울진읍 고성리 834-2,0,간이화장실,1,129.3686658,0,,0,0,37.0057099,0,,2018-08-30
불영휴게소 하천변2,N,0,24시간,경상북도 울진군 울진읍사무소,1,0,054-789-4013,경상북도 울진군 울진읍 대흥리 산 186-2,1,간이화장실,1,129.3198319,0,,0,0,36.9680092,0,,2018-08-30
불영계곡2전망대,N,0,24시간,경상북도 울진군 울진읍사무소,1,0,054-789-4013,경상북도 울진군 울진읍 대흥리 산183-1,1,간이화장실,1,129.3090976,0,,0,0,36.9650812,0,,2018-08-30
불영계곡1전망대,N,0,24시간,경상북도 울진군 울진읍사무소,1,0,054-789-4013,경상북도 울진군 울진읍 대흥리 산183-25,1,간이화장실,1,129.3117162,0,,0,0,36.9581087,0,,2018-08-30
불영휴게소 하천변1,N,0,24시간,경상북도 울진군 울진읍사무소,1,0,054-789-4013,경상북도 울진군 울진읍 대흥리 산186-2,1,간이화장실,1,129.3198319,0,,0,0,36.9680092,0,,2018-08-30
대흥리마을회관 하천변,N,0,24시간,경상북도 울진군 울진읍사무소,1,0,054-789-4013,경상북도 울진군 울진읍 대흥리 산251,1,간이화장실,1,129.3228029,0,,0,0,36.9695372,0,,2018-08-30
온양리 초등학교앞,N,0,24시간,경상북도 울진군 울진읍사무소,1,0,054-789-4013,경상북도 울진군 울진읍 온양리 225-8,1,간이화장실,1,129.4094623,0,경상북도 울진군 울진읍 울진북로 932-1,0,0,37.0236526,0,,2018-08-30
게이트볼장,N,0,24시간,경상북도 울진군 울진읍사무소,1,0,054-789-4013,경상북도 울진군 울진읍 읍내리 683-12,1,간이화장실,1,129.3964141,0,,0,0,36.9929699,0,,2018-08-30
고성교(다리밑),N,0,24시간,경상북도 울진군 울진읍사무소,1,0,054-789-4013,경상북도 울진군 울진읍 읍내리 690-2,1,간이화장실,1,129.3947676,0,,0,0,36.9940886,0,,2018-08-30
새천년생명숲,N,0,24시간,경상북도 울진군 울진읍사무소,1,0,054-789-4013,경상북도 울진군 울진읍 읍내리 산 15-2,1,간이화장실,1,129.3953386,0,,0,0,36.9904481,0,,2018-08-30
호월리(와현동),N,0,24시간,경상북도 울진군 울진읍사무소,1,0,054-789-4013,경상북도 울진군 울진읍 호월리 379-1,1,간이화장실,1,129.3749694,0,,0,0,37.0088828,0,,2018-08-30
호월리(박금천),N,0,24시간,경상북도 울진군 울진읍사무소,1,0,054-789-4013,경상북도 울진군 울진읍 호월리 산21,1,간이화장실,1,129.3642314,0,,0,0,37.0224493,0,,2018-08-30
해군초소앞,N,0,24시간,경상북도 울진군 죽변면사무소,1,0,054-789-4813,경상북도 울진군 죽변면 봉평리 모텔레미안앞,1,간이화장실,1,129.4139802,0,,0,0,37.039082,0,,2018-08-30
해맞이행사장,N,0,24시간,경상북도 울진군 죽변면사무소,1,0,054-789-4813,경상북도 울진군 죽변면 죽변리 3-6,1,간이화장실,1,129.4265257,0,,0,0,37.0620061,0,,2018-08-30
고궁 뒤,N,0,24시간,경상북도 울진군 죽변면사무소,1,0,054-789-4813,경상북도 울진군 죽변면 죽변리 96-1,1,간이화장실,1,129.4286329,0,,0,0,37.0560864,0,,2018-08-30
대개유래비,N,0,24시간,경상북도 울진군 평해읍사무소,1,0,054-789-4113,경상북도 울진군 평해읍 거일리 282-4,1,간이화장실,1,129.4750375,0,,0,0,36.6983037,0,,2018-08-30
평해풋살구장,N,0,24시간,경상북도 울진군 평해읍사무소,1,0,054-789-4113,경상북도 울진군 평해읍 평해리 1317-1,1,간이화장실,1,129.444396,0,,0,0,36.7295933,0,,2018-08-30
남대천,N,0,24시간,경상북도 울진군 평해읍사무소,1,0,054-789-4113,경상북도 울진군 평해읍 평해리 538-4,1,간이화장실,1,129.4447712,0,,0,0,36.7224046,0,,2018-08-30
대게전광판,N,0,24시간,경상북도 울진군 후포면사무소,1,0,054-789-4913,경상북도 울진군 후포면 금음리355-1,1,간이화장실,1,129.425239,0,,0,0,36.6467361,0,,2018-08-30
평해광업소사택,N,0,24시간,경상북도 울진군 후포면사무소,1,0,054-789-4913,경상북도 울진군 후포면 후포리 29-15,1,간이화장실,1,129.4653752,0,,0,0,36.6883037,0,,2018-08-30
마축항,N,0,24시간,경상북도 울진군 후포면사무소,1,0,054-789-4913,경상북도 울진군 후포면 후포리 623-148,1,간이화장실,1,129.4535192,0,,0,0,36.6770834,0,,2018-08-30
산포야영장,Y,0,24시간,경상북도 울진군청 환경위생과,2,0,054-789-6722,경상북도 울진군  근남면  산포리 566-1,5,공중화장실,3,129.4152827,0,,0,0,36.9592519,0,,2018-08-30
성류굴주차장 (남부),N,0,24시간,경상북도 울진군청 문화관광과,2,0,054-789-5402,경상북도 울진군  근남면 수산리 346일원,3,공중화장실,3,129.3799551,0,경상북도 울진군 근남면 친환경엑스포로25,0,0,36.9535657,0,,2018-08-30
성류굴주차장 (북부1),N,0,24시간,경상북도 울진군청 문화관광과,4,0,054-789-5402,경상북도 울진군  근남면 수산리 346일원,7,공중화장실,6,129.3789448,0,경상북도 울진군 근남면 친환경엑스포로25,0,0,36.9586269,1,,2018-08-30
성류굴주차장 (북부2),N,0,24시간,경상북도 울진군청 문화관광과,4,0,054-789-5402,경상북도 울진군  근남면 수산리 346일원,7,공중화장실,6,129.3789448,0,경상북도 울진군 근남면 친환경엑스포로25,0,0,36.9586269,1,,2018-08-30
새천년숲,Y,0,24시간,경상북도 울진군청 환경위생과,1,0,054-789-6722,경상북도 울진군  근남면 수산리 346일원,1,공중화장실,2,129.4171102,0,경상북도 울진군 근남면 친환경엑스포로25,0,0,36.9553076,0,,2018-08-30
