화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
남선보건지소,N,0,24시간,남선보건소,0,0,054-840-4395,,1,공중화장실,1,128.769901,0,경상북도 안동시 남선면 구미리126번지,0,0,36.52607938,0,,2018-03-14
갈라산 공원,N,0,24시간,남선면사무소,1,0,054-840-4350,,2,공중화장실,2,128.7526565,0,경상북도 안동시 남선면 도로리142번지,0,0,36.50141156,0,,2018-03-14
북후상설시장,N,0,24시간,북후면사무소,2,0,054-840-4115,,4,공중화장실,4,128.703584,0,경상북도 안동시 북후면 옹천리555번지,0,0,36.68549256,0,,2018-03-14
청소년수련원,N,0,09시~18시,청소년수련관,2,0,054-850-4620,,10,공중화장실,0,128.9277468,0,경상북도 안동시 예안면 구룡리478,0,0,36.64976413,0,,2018-03-14
정산버스정류소,N,0,24시간,예안면사무소,1,0,054-840-4553,,2,공중화장실,1,128.8846852,0,경상북도 안동시 예안면 정산리659-1,0,0,36.66099509,0,,2018-03-14
태곡교 옆,N,0,24시간,예안면사무소,0,0,054-840-4553,,1,공중화장실,1,128.8988777,0,경상북도 안동시 예안면 태곡리332-2,0,0,36.67750637,0,,2018-03-14
부포 선착장,Y,0,24시간,예안면사무소,0,0,054-840-4553,,1,공중화장실,0,128.8608835,0,경상북도 안동시 예안면 부포리산 144-4,0,0,36.69389896,0,,2018-03-14
도촌입구 계곡쉼터,N,0,24시간,예안면사무소,0,0,054-840-4553,,1,공중화장실,1,128.9765406,0,경상북도 안동시 예안면 도촌리산 2-1,0,0,36.74037342,0,,2018-03-14
정산 소공원,Y,0,24시간,예안면사무소,0,0,054-840-4553,,1,공중화장실,0,128.867219,0,경상북도 안동시 예안면 정산리1144-5,0,0,36.66811785,0,,2018-03-14
정산리 솥우물,N,0,24시간,예안면사무소,0,0,054-840-4553,,1,공중화장실,0,128.8858424,0,경상북도 안동시 예안면 정산리629-21,0,0,36.66112093,0,,2018-03-14
정산시장,N,1,24시간,예안면사무소,0,0,054-840-4553,,2,공중화장실,2,128.8858424,0,경상북도 안동시 예안면 정산리629-21,0,0,36.66112093,1,,2018-03-14
신평리시장,N,0,24시간,녹전면사무소,2,0,054-840-4652,,4,공중화장실,2,128.7746493,0,경상북도 안동시 녹전면 신평리729번지,0,0,36.7427203,0,,2018-03-14
음지마을입구 솔밭,N,0,24시간,도산면사무소,1,0,054-840-4602,,1,공중화장실,1,128.8519999,0,경상북도 안동시 도산면 토계리산44,0,0,36.73602367,0,,2018-03-14
수졸당입구,Y,0,24시간,도산면사무소,0,0,054-840-4602,,1,공중화장실,0,128.8614532,0,경상북도 안동시 도산면 토계리15,0,0,36.73124146,0,,2018-03-14
왕모산성 입구,N,0,24시간,도산면사무소,1,0,054-840-4602,,1,공중화장실,1,128.8768204,0,경상북도 안동시 도산면 원천리639-3,0,0,36.73366336,0,,2018-03-14
