화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
한뱀이,N,0,00:00~23:59,경상북도 봉화군청,0,0,054-672-7301,경상북도 봉화군 소천면 현동리 492-1,1,간이화장실,1,129.0071031,0,,0,0,36.9324691,0,,2018-07-24
천지터,Y,0,00:00~23:59,경상북도 봉화군청,0,0,054-672-7301,경상북도 봉화군 소천면 현동리 산 69-1,1,간이화장실,1,129.0081581,0,,0,0,36.9334211,0,,2018-07-24
홍점(김동한 댁 옆),N,0,00:00~23:59,경상북도 봉화군청,1,0,054-672-7301,경상북도 봉화군 소천면 고선리 산 7,0,간이화장실,0,129.0185511,0,,0,0,36.9889181,0,,2018-07-24
강시골입구,N,0,00:00~23:59,경상북도 봉화군청,1,0,054-672-7301,경상북도 봉화군 소천면 고선리 산 86,1,간이화장실,0,129.0080161,0,,0,0,36.9800701,0,,2018-07-24
노루목(진달교 옆),N,0,00:00~23:59,경상북도 봉화군청,0,0,054-672-7301,경상북도 봉화군 소천면 고선리 산 195,0,간이화장실,1,128.9790161,0,,0,0,37.0199421,0,,2018-07-24
노루목(진달교 위),N,0,00:00~23:59,경상북도 봉화군청,0,0,054-672-7301,경상북도 봉화군 소천면 고선리 산 195,0,간이화장실,1,128.9662901,0,,0,0,36.9845231,0,,2018-07-24
노루목(박창덕 가 앞),Y,0,00:00~23:59,경상북도 봉화군청,0,0,054-672-7301,경상북도 봉화군 소천면 고선리 산37-16,1,간이화장실,1,128.9790161,0,,0,0,37.0199421,0,,2018-07-24
간기(이병수 가 앞),N,0,00:00~23:59,경상북도 봉화군청,1,0,054-672-7301,경상북도 봉화군 소천면 고선리 740,1,간이화장실,1,128.9647661,0,,0,0,36.9996381,0,,2018-07-24
큰터(안세기 가 앞),N,0,00:00~23:59,경상북도 봉화군청,1,0,054-672-7301,경상북도 봉화군 소천면 고선리 543-3,1,간이화장실,1,128.9647661,0,,0,0,36.9996381,0,,2018-07-24
마방(홍순각 가 앞),N,0,00:00~23:59,경상북도 봉화군청,1,0,054-672-7301,경상북도 봉화군 소천면 고선리 510,1,간이화장실,1,128.9647491,0,,0,0,36.9874271,0,,2018-07-24
마방(김은천 가 앞),N,0,00:00~23:59,경상북도 봉화군청,1,0,054-672-7301,경상북도 봉화군 소천면 고선리 711,1,간이화장실,1,128.9647661,0,,0,0,36.9996381,0,,2018-07-24
백담(마을당숲 앞),N,0,00:00~23:59,경상북도 봉화군청,1,0,054-672-7301,경상북도 봉화군 소천면 고선리 222-1,1,간이화장실,1,128.9915881,0,,0,0,36.9559931,0,,2018-07-24
잔데미(소공원 내),N,0,00:00~23:59,경상북도 봉화군청,0,0,054-672-7301,경상북도 봉화군 소천면 고선리 843,1,간이화장실,0,128.9647661,0,,0,0,36.9996381,0,,2018-07-24
