화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
청도시장(구보건소),N,0,연중무휴,경상북도 청도군청,3,0,054-370-2191,경상북도 청도군 청도읍 고수리 778,3,공중화장실,4,128.7460361,0,경상북도 청도군 청도읍 청도시장1길 21,0,0,35.64394172,0,,2018-07-23
청도시장(싸전),N,0,연중무휴,경상북도 청도군청,1,0,054-370-2191,경상북도 청도군 청도읍 고수리 766-2,1,공중화장실,2,128.7460361,0,경상북도 청도군 청도읍 청도시장1길 21,0,0,35.64394172,2,,2018-07-23
청도시장(옹기전),N,0,연중무휴,경상북도 청도군청,1,0,054-370-2191,경상북도 청도군 청도읍 고수리 778-39,2,공중화장실,2,128.7454667,0,경상북도 청도군 청도읍 고수리 778-39,0,0,35.64374812,0,,2018-07-23
평양1리 경로당 앞(재래식),N,0,연중무휴,경상북도 청도군청,1,0,054-370-2191,경상북도 청도군 청도읍 평양리 697-6,2,공중화장실,2,128.7319763,0,경상북도 청도군 청도읍 평양리 697-6,0,0,35.59115671,0,,2018-07-23
충혼탑(간이),Y,0,연중무휴,경상북도 청도군청,1,0,054-370-2191,경상북도 청도군 청도읍 송읍리 산123,1,공중화장실,0,128.7504934,0,경상북도 청도군 청도읍 송읍리 산123,0,0,35.65311921,0,,2018-07-23
시조공원(재래),N,0,연중무휴,경상북도 청도군청,1,0,054-370-2191,경상북도 청도군 청도읍 내호리 276-68,2,공중화장실,2,128.7732876,0,경상북도 청도군 청도읍 내호리 276-68,0,0,35.56958408,0,,2018-07-23
상리 마을입구(재래),N,0,연중무휴,경상북도 청도군청,1,0,054-370-2191,경상북도 청도군 청도읍 상리 810,1,공중화장실,0,128.7251539,0,경상북도 청도군 청도읍 한재로 470-11,0,0,35.59733202,0,,2018-07-23
월곡쉼터,N,0,연중무휴,경상북도 청도군청,2,0,054-370-2191,경상북도 청도군 청도읍 고수리 1035-12,3,공중화장실,2,128.7515649,0,경상북도 청도군 청도읍 고수리 1035-12,0,0,35.6348391,0,,2018-07-23
하나병원옆,N,0,연중무휴,경상북도 청도군청,2,0,054-370-2191,경상북도 청도군 청도읍 고수리 18-2,3,공중화장실,3,128.7457914,0,경상북도 청도군 청도읍 고수리 18-2,0,0,35.64994334,1,,2018-07-23
하나병원옆(간이),Y,0,연중무휴,경상북도 청도군청,1,0,054-370-2191,경상북도 청도군 청도읍 고수리 18-2,1,공중화장실,1,128.7457914,0,경상북도 청도군 청도읍 고수리 18-2,0,0,35.64994334,0,,2018-07-23
남산생활체육공원(재래),N,0,연중무휴,경상북도 청도군청,0,0,054-370-2191,경상북도 청도군 청도읍 고수리 산40-9,1,공중화장실,1,128.7420914,0,경상북도 청도군 청도읍 고수리 산40-9,0,0,35.63330758,0,,2018-07-23
