화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
흥국사,N,0,24시간,칠곡군 왜관읍,1,0,054-979-5251,경상북도 칠곡군 왜관읍 석전리 801,3,공중화장실,2,128.4003431,0,경상북도 칠곡군 왜관읍 자고산1길 49,0,0,36.0044773,0,,2018-08-24
남부정류장,N,0,24시간,칠곡군 왜관읍,2,0,054-979-5251,경상북도 칠곡군 왜관읍 왜관리290-1,4,공중화장실,3,128.399828,0,경상북도 칠곡군 왜관읍 중앙로158,0,0,35.989825,1,Jan-07,2018-08-24
북부정류장,N,0,24시간,칠곡군 왜관읍,2,0,054-979-5251,경상북도 칠곡군 왜관읍 왜관리 197-27,4,공중화장실,3,128.399115,0,경상북도 칠곡군 왜관읍 중앙로248-1,0,0,35.997259,1,Jan-07,2018-08-24
왜관시장,Y,0,24시간,칠곡군 왜관읍,1,0,054-979-5251,경상북도 칠곡군 왜관읍 왜관리211-164,1,공중화장실,2,128.3986801,0,경상북도 칠곡군 왜관읍 왜관리211-164,0,0,35.994674,0,Jan-07,2018-08-24
매원,N,0,24시간,칠곡군 왜관읍,1,0,054-979-5251,경상북도 칠곡군 왜관읍 매원리 742-19,4,공중화장실,3,128.4205537,0,경상북도 칠곡군 왜관읍 매원리 742-19,0,0,35.986087,0,Jan-07,2018-08-24
삼청소공원,N,0,24시간,칠곡군 왜관읍,1,0,054-979-5251,경상북도 칠곡군 왜관읍 삼청리 410-23,2,공중화장실,1,128.423251,0,경상북도 칠곡군 왜관읍 삼청리 410-23,0,0,35.9825458,1,Jan-07,2018-08-24
공단운동장,N,1,24시간,칠곡군 왜관읍,4,0,054-979-5251,경상북도 칠곡군 왜관읍 금산리 986,8,공중화장실,10,128.4164666,0,경상북도 칠곡군 왜관읍 공단로4길 18-26,0,0,35.9667934,1,Jan-09,2018-08-24
낙산 소공원,N,0,24시간,칠곡군 왜관읍,3,1,054-979-5251,경상북도 칠곡군 왜관읍 낙산리 690-1,5,공중화장실,2,128.4084185,1,경상북도 칠곡군 왜관읍 낙산리 690-1,0,0,35.9378911,1,Jan-10,2018-08-24
회전교차로,N,0,24시간,칠곡군 왜관읍,1,0,054-979-5251,경상북도 칠곡군 왜관읍 왜관리 207-49,2,공중화장실,2,128.3968206,0,경상북도 칠곡군 왜관읍 왜관리 207-49,0,0,35.9993297,0,Jan-13,2018-08-24
흰가람둔치,N,0,24시간,칠곡군 왜관읍,1,0,054-979-5251,경상북도 칠곡군 왜관읍 왜관리 784-25,4,공중화장실,3,128.393572,0,경상북도 칠곡군 왜관읍 왜관리 784-25,0,0,35.9859801,0,Jan-13,2018-08-24
금산체육공원,N,0,24시간,칠곡군 왜관읍,1,0,054-979-5251,경상북도 칠곡군 왜관읍 금산리 851-24,1,공중화장실,1,128.3988039,0,경상북도 칠곡군 왜관읍 금산리 851-24,0,0,35.9541695,0,Jan-13,2018-08-24
