화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
고령시외버스터미널,N,0,연중무휴,고령군청 환경과,2,1,054-950-6523,경상북도 고령군 대가야읍 헌문리 19-6,4,공중화장실,4,128.2707835,0,,0,0,35.7304283,0,Aug-02,2018-08-29
회천교밑(자전거길),N,1,연중무휴,고령군청 환경과,1,0,054-950-6523,경상북도 고령군 대가야읍 헌문리 339,3,간이화장실,2,128.2764372,0,,0,0,35.73500328,0,Jun-10,2018-08-29
고령종합시장1,N,1,연중무휴,고령군청 환경과,3,1,054-950-6523,경상북도 고령군 대가야읍 지산리 222-54,8,공중화장실,5,128.266074,0,경상북도 고령군 대가야읍 시장3길 31-12,0,0,35.72701371,0,Feb-07,2018-08-29
고령종합시장2,N,2,연중무휴,고령군청 환경과,1,0,054-950-6523,경상북도 고령군 대가야읍 지산리 222-2,1,간이화장실,1,128.2672887,0,경상북도 고령군 대가야읍 시장3길 21-7,0,0,35.72665947,0,Aug-13,2018-08-29
고아리 벽화고분,N,0,연중무휴,고령군청 환경과,1,0,054-950-6523,경상북도 고령군 대가야읍 고아리 324-1,1,간이화장실,1,128.2718973,0,,0,0,35.7166891,0,,2018-08-29
주산체육관,N,1,연중무휴,고령군청 환경과,4,1,054-950-6523,경상북도 고령군 대가야읍 연조리 548,5,공중화장실,5,128.2630304,0,경상북도 고령군 대가야읍 주산순환길 91,0,0,35.72924678,0,Jul-02,2018-08-29
동부화재(17.11.30),N,0,08:00~19:00,고령군청 환경과,1,0,054-950-6523,경상북도 고령군 대가야읍 지산리 217-1,1,공중화장실,1,128.2653332,0,경상북도 고령군 대가야읍 왕릉로 75,0,0,35.72697028,0,Dec-12,2018-08-29
축협 뒤 공영주차장,N,0,연중무휴,고령군청 기업경제과,2,0,054-950-6596,경상북도 고령군 대가야읍 지산리 232-4,3,공중화장실,2,128.2661248,0,경상북도 고령군 대가야읍 시장1길 5-9,0,0,35.7256886,0,Jan-14,2018-08-29
국민주택앞 공영주차장,N,2,연중무휴,고령군청 기업경제과,1,1,054-950-6596,경상북도 고령군 대가야읍 고아리 108-1,3,공중화장실,2,128.2702529,0,경상북도 고령군 대가야읍 대가야로 1329,0,0,35.7271756,0,May-15,2018-08-29
대가야농촌체험특구,N,1,연중무휴,고령군청 관광진흥과,1,1,054-950-7004,경상북도 고령군 대가야읍 고아리 588,3,간이화장실,1,128.2651184,0,경상북도 고령군 대가야읍 신남로 61,0,0,35.7122606,0,Jun-14,2018-08-29
