화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
공단2동주민센터화장실,N,1,(평일)09:00~18:00,구미시 공단2동,4,0,054-480-7664,,4,공중화장실,4,128.3844739,0,경상북도 구미시 1공단로 198-8,0,0,36.10140009,1,,2018-06-30
공단우체국 화장실,N,0,(평일)09:00~18:00,공단우체국,1,0,054-463-2268,,1,공중화장실,2,128.3795393,0,경상북도 구미시 1공단로7길 86-19,0,0,36.10989708,0,,2018-06-30
동락공원 관리사무소 화장실,N,0,연중무휴,구미시 금오산도립공원관리사무소,2,0,054-480-4612,경상북도 구미시 진평동 766,2,공중화장실,1,128.4017562,0,경상북도 구미시 3공단1로 191,0,0,36.09945948,0,,2018-06-30
동락공원 국궁장(금오정) 화장실,N,0,연중무휴,구미시 금오산도립공원관리사무소,1,0,054-480-4612,경상북도 구미시 진평동 704,1,공중화장실,5,128.400995,0,경상북도 구미시 3공단1로 219-1,0,0,36.102329,0,,2018-06-30
동락공원 어린이놀이터 태양광친환경 화장실,N,1,연중무휴,구미시 금오산도립공원관리사무소,2,0,054-480-4612,경상북도 구미시 진평동 704,6,공중화장실,4,128.401132,0,경상북도 구미시 3공단1로 219-1,0,0,36.100121,1,,2018-06-30
동락공원 민속정원 화장실,N,0,연중무휴,구미시 금오산도립공원관리사무소,1,0,054-480-4612,경상북도 구미시 진평동 766,2,공중화장실,2,128.402482,0,경상북도 구미시 3공단1로 191,0,0,36.095666,0,,2018-06-30
동락공원 고려촌 화장실,N,0,연중무휴,구미시 금오산도립공원관리사무소,1,0,054-480-4612,경상북도 구미시 진평동 766,2,공중화장실,2,128.402789,0,경상북도 구미시 3공단1로 191,0,0,36.093433,0,,2018-06-30
동락공원 방범초소 화장실,N,1,연중무휴,구미시 금오산도립공원관리사무소,2,0,054-480-4612,경상북도 구미시 진평동 766,4,공중화장실,3,128.402113,0,경상북도 구미시 3공단1로 191,0,0,36.097218,1,,2018-06-30
동락공원 화합의 숲 화장실(족구장=모임광장=5번광장 ),N,1,연중무휴,구미시 금오산도립공원관리사무소,2,0,054-480-4612,경상북도 구미시 진평동 766,4,공중화장실,3,128.402936,0,경상북도 구미시 3공단1로 191,0,0,36.091736,1,,2018-06-30
구미과학관 화장실,N,1,(평일)09:00~18:00,구미시 과학경제과,4,0,054-476-6508,,6,공중화장실,6,128.4005157,0,경상북도 구미시 3공단1로 219-1,0,0,36.10229372,1,,2018-06-30
야은역사체험관 화장실,N,0,(평일)09:00~18:00,구미시 문화관광담당관실,1,0,054-480-6624,경상북도 구미시 남통동 산24-18,3,공중화장실,2,128.312466,0,,0,0,36.110216,0,,2018-06-30
산동보건지소 화장실,Y,0,(평일)09:00~18:00,선산보건소,1,0,054-480-4151,,1,공중화장실,1,128.4372765,0,경상북도 구미시 산동면 강동로 999-6,0,0,36.16802202,0,,2018-06-30
