화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
군위읍사무소,N,0,연중무휴,군위읍사무소,4,0,,경상북도 군위군 군위읍 동부리 324-4,2,공중화장실,4,128.5686624,0,,0,0,36.23997238,0,,2018-08-23
군위시장,N,0,연중무휴,군위읍사무소,4,0,,경상북도 군위군 군위읍 서부리 16-7,8,공중화장실,4,128.5673837,0,,0,0,36.2392142,0,,2018-08-23
힐링도시숲,N,0,연중무휴,군위군 환경산림과,2,0,,경상북도 군위군 군위읍 사직리 352,3,공중화장실,2,128.5587921,0,,0,0,36.23787751,0,,2018-08-23
군위생활체육공원,N,1,연중무휴,문화체육시설사업소,6,0,,경상북도 군위군 군위읍 서부리 476-1,16,공중화장실,12,128.5623221,0,,0,0,36.24131689,0,,2018-08-23
군위군보건소,N,0,연중무휴,군위군 보건소,12,0,,경상북도 군위군 군위읍 동부리 676-3,12,공중화장실,6,128.5697958,0,,0,0,36.22967421,0,,2018-08-23
군위인재양성원,N,0,(평일)09:00~18:00,군위군 총무과,6,0,,경상북도 군위군 군위읍 서부리 45-1,8,공중화장실,8,128.5682376,0,,0,0,36.23652495,0,,2018-08-23
군위119안전센터,N,0,연중무휴,군위119센터,3,0,,경상북도 군위군 군위읍 수서리 621-7,3,공중화장실,2,128.5604419,0,,0,0,36.20760432,0,,2018-08-23
군위등기소,N,0,연중무휴,군위등기소,3,0,,경상북도 군위군 군위읍 동부리 332-2,3,공중화장실,6,128.5695566,0,,0,0,36.24063106,0,,2018-08-23
한전군위지점,N,0,현재 재건축,한전군위지점,3,0,,경상북도 군위군 군위읍 서부리 420-1,0,공중화장실,4,128.5666368,0,,0,0,36.2385788,0,,2018-08-23
군위교육지원청,N,0,(평일)09:00~18:00,군위교육지원청,7,0,,경상북도 군위군 군위읍 동부리 230-2,6,공중화장실,9,128.5740846,0,,0,0,36.24277744,0,,2018-08-23
