화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
운곡서원주차장,N,0,24시간,경상북도 경주시청,1,0,054-779-8763,경상북도 경주시 강동면 왕신리 311,1,간이화장실,1,129.302111,0,경상북도 경주시 강동면 사라길 79-19,0,0,35.941007,0,,2018-02-20
계림,N,0,24시간,경상북도 경주시청,1,0,054-779-8760,경상북도 경주시 교동 1,1,간이화장실,1,129.218967,0,,0,0,35.832632,0,,2018-02-20
통일전 주차장,N,0,24시간,경상북도 경주시청,2,0,054-779-8761,경상북도 경주시 남산동 941,3,공중화장실,4,129.243051,0,경상북도 경주시 칠불암길 12,0,0,35.79686,0,,2018-02-20
노동고분(조립),N,0,24시간,경상북도 경주시청,1,0,054-779-8750,경상북도 경주시 노동동 261,2,공중화장실,1,129.210646,0,,0,0,35.841266,0,,2018-02-20
탈해왕릉,N,1,24시간,경상북도 경주시청,3,0,054-779-8750,경상북도 경주시 동천동 515-4,4,공중화장실,4,129.232425,0,경상북도 경주시 윗동천안길 93,0,0,35.85106,1,,2018-02-20
헌덕왕흥,N,0,24시간,경상북도 경주시청,1,0,054-779-8750,경상북도 경주시 동천동 80,1,공중화장실,1,129.244716,0,,0,0,35.843745,0,,2018-02-20
백률사,N,0,24시간,경상북도 경주시청,1,0,054-779-8750,경상북도 경주시 동천동 산4,1,공중화장실,1,129.230614,0,,0,0,35.858024,0,,2018-02-20
포석정,N,1,24시간,경상북도 경주시청,1,1,054-779-8750,경상북도 경주시 배동 454-3,4,공중화장실,4,129.212831,0,,0,0,35.807257,1,,2018-02-20
서남산 주차장,N,1,24시간,경상북도 경주시청,3,1,054-779-8750,경상북도 경주시 배동 725,8,공중화장실,5,129.206767,0,경상북도 경주시 포석로 647,0,0,35.799637,0,,2018-02-20
배리삼존불(삼불사),N,0,24시간,경상북도 경주시청,2,0,054-779-8750,경상북도 경주시 배동 산65,5,공중화장실,3,129.210798,0,경상북도 경주시 포석로 692-25,0,0,35.802057,0,,2018-02-20
신문왕릉주차장,N,0,24시간,경상북도 경주시청,1,0,054-779-8750,경상북도 경주시 배반동 453-1,1,간이화장실,1,129.246107,0,,0,0,35.817899,0,,2018-02-20
진평왕릉,N,0,24시간,경상북도 경주시청,1,0,054-779-8750,경상북도 경주시 보문동 608,1,간이화장실,1,129.250589,0,,0,0,35.832123,0,,2018-02-20
선덕여왕릉,N,0,24시간,경상북도 경주시청,1,0,054-779-8750,경상북도 경주시 보문동 산 79-2,1,간이화장실,1,129.24269,0,,0,0,35.823671,0,,2018-02-20
무열왕릉,N,1,24시간,경상북도 경주시청,2,0,054-779-8750,경상북도 경주시 서악동 842,4,공중화장실,5,129.187576,0,,0,0,35.825008,1,,2018-02-20
흥덕왕릉,N,0,24시간,경상북도 경주시청,1,0,054-779-8750,경상북도 경주시 안강읍 육통리 산 42,2,공중화장실,2,129.207524,0,,0,0,36.01904,0,,2018-02-20
감은사지 주차장,N,1,24시간,경상북도 경주시청,2,0,054-779-8750,경상북도 경주시 양북면 용당리 55-1,4,공중화장실,3,129.476628,0,,0,0,35.748312,1,,2018-02-20
