화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
경상북도교육정보센터,N,1,연중무휴,경상북도교육정보센터,4,0,053-810-9999,경상북도 경산시 계양동 478번지 3호,6,개방화장실,3,128.7440967,0,경상북도 경산시 원효로 60 (계양동),0,0,35.82268031,1,,2018-08-24
금곡보건지소,Y,0,연중무휴,경상북도 경산시청,0,0,053-810-6304,경상북도 경산시 남천면 금곡리207번지 4호,0,개방화장실,0,128.7495497,0,경상북도 경산시 남천면 관방로 1150,0,0,35.75832875,0,,2018-08-24
금락5어린이공원,N,1,연중무휴,경상북도 경산시청,2,0,053-810-5216,,3,공중화장실,2,128.817763,0,경상북도 경산시 하양읍 대학로295길 52,0,0,35.90869347,1,,2018-08-24
금호강변(창신무학앞),N,0,연중무휴,경상북도 경산시청,1,0,053-810-5588,경상북도 경산시 하양읍 부호리568번지 10호,3,공중화장실,2,128.795318,0,,0,0,35.9008672,0,,2018-08-24
남부동주민센터,N,1,연중무휴,경상북도 경산시청,4,0,053-804-7779,경상북도 경산시 신교동 73번지 1호,4,개방화장실,4,128.7391122,0,경상북도 경산시 경안로 68  (신교동),0,0,35.81371243,0,,2018-08-24
남천보건지소,N,1,연중무휴,경상북도 경산시청,0,0,053-804-7802,경상북도 경산시 남천면 삼성리90번지 3호,1,개방화장실,1,128.726862,0,경상북도 경산시 남천면 남천로 465,0,0,35.76665159,0,,2018-08-24
남산면사무소,N,1,연중무휴,경상북도 경산시청,2,0,053-804-7573,경상북도 경산시 남산면 산양리57번지,2,개방화장실,3,128.8373365,0,경상북도 경산시 남산면 하남로 323,0,0,35.79335984,1,,2018-08-24
남산보건지소,N,1,연중무휴,경상북도 경산시청,2,0,053-810-6304,경상북도 경산시 남산면 산양리58번지,2,개방화장실,2,128.8373365,0,경상북도 경산시 남산면 하남로 323,0,0,35.79335984,0,,2018-08-24
남산우체국,Y,0,연중무휴,경상북도 경산우체국,0,0,053-852-5001,경상북도 경산시 남산면 산양리68번지 1호,0,개방화장실,0,128.8374155,0,경상북도 경산시 남산면 하남로 325,0,0,35.79295133,0,,2018-08-24
남산치안센터,Y,0,연중무휴,경상북도 경산경찰서,0,0,053-852-5112,경상북도 경산시 남산면 산양리160번지 1호,0,개방화장실,0,128.836577,0,경상북도 경산시 남산면 하남로 315,0,0,35.79342551,0,,2018-08-24
남천면사무소,N,1,연중무휴,경상북도 경산시청,5,0,053-804-7654,경상북도 경산시 남천면 삼성리93번지 4호,5,개방화장실,6,128.726862,0,경상북도 경산시 남천면 남천로 465,0,0,35.76665159,1,,2018-08-24
