화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
개나리공원,N,0,24시간,경상북도 문경시 점촌5동사무소,0,0,054-550-8887,경상북도 문경시 모전동 863,1,공중화장실,2,128.187919,0,경상북도 문경시 시청2길 21 (모전동),0,0,36.587178,0,,2018-02-19
모전도서관,N,1,09:00~22:00,경상북도 문경시 모전도서관,4,0,054-550-8901,경상북도 문경시 모전동 220-1,13,개방화장실,10,128.185881,2,경상북도 문경시 시청2길 45,0,0,36.586729,1,,2018-02-19
흥덕2공원(어린왕자공원),N,0,24시간,경상북도 문경시 점촌3동사무소,1,0,054-550-8842,경상북도 문경시 흥덕동 787-1,1,공중화장실,1,128.206845,0,경상북도 문경시 신흥2길 35-7 (흥덕동),0,0,36.601484,0,,2018-02-19
흥덕3공원(신흥정노인정 옆),N,0,24시간,경상북도 문경시 점촌3동사무소,1,0,054-550-8842,경상북도 문경시 흥덕동 805,2,공중화장실,2,128.203757,0,경상북도 문경시 신흥3길 10 (흥덕동),0,0,36.600451,0,,2018-02-19
동부공원(이화유치원옆),N,0,24시간,경상북도 문경시 점촌3동사무소,1,0,054-550-8842,경상북도 문경시 흥덕동 769,1,공중화장실,0,128.207654,0,경상북도 문경시 신흥7길 9 (흥덕동),0,0,36.604514,0,,2018-02-19
문화예술회관,N,2,09:00~18:00,경상북도 문경시청  문화예술회관,16,0,054-550-8394,경상북도 문경시 점촌동 118,18,개방화장실,22,128.197671,0,경상북도 문경시 신흥로   85,0,0,36.590318,2,,2018-02-19
중앙공원1 화장실,N,0,24시간,경상북도 문경시청  문화예술회관,1,0,054-550-8948,경상북도 문경시 점촌동118-117,2,공중화장실,3,128.197991,0,경상북도 문경시 신흥로   85,0,0,36.590919,0,,2018-02-19
중앙공원2 화장실,N,1,24시간,경상북도 문경시청  문화예술회관,3,0,054-550-8948,경상북도 문경시 점촌동500-3,3,공중화장실,3,128.197214,0,경상북도 문경시 신흥로   85,0,0,36.588584,1,,2018-02-19
중앙도서관,N,1,09:00~22:00,경상북도 문경시 중앙도서관,6,0,054-550-8402,경상북도 문경시 점촌동 118,7,개방화장실,10,128.198459,0,경상북도 문경시 신흥로 101,0,0,36.590722,0,,2018-02-19
문희아트홀,N,1,09:00~18:00,경상북도 문경시청  문화예술회관,6,0,054-550-8394,경상북도 문경시 점촌동 118-12,11,개방화장실,8,128.197991,0,경상북도 문경시 신흥로103,0,0,36.591995,1,,2018-02-19
신흥시장상가,N,0,24시간,경상북도 문경시 점촌3동사무소,3,0,054-550-8842,경상북도 문경시 신흥시장길 19(흥덕동),5,공중화장실,4,128.204245,0,경상북도 문경시 신흥시장길 19(흥덕동),0,0,36.601515,0,,2018-02-19
공중화장실(금양지),N,0,24시간,경상북도 문경시 영순면사무소,1,0,054-550-8590,경상북도 문경시 영순면 금림리 125,1,공중화장실,0,128.267964,0,경상북도 문경시 영순면 금림길 45,0,0,36.572177,0,,2018-02-19
공중화장실(용화사),N,0,24시간,경상북도 문경시 영순면사무소,1,0,054-550-8590,경상북도 문경시 영순면 달지리 146번지,1,공중화장실,0,128.293891,0,경상북도 문경시 영순면 삼강로 1201,0,0,36.567181,0,,2018-02-19
공중화장실(체육공원),N,0,24시간,경상북도 문경시 영순면사무소,1,0,054-550-8590,경상북도 문경시 영순면 말응리 2번지,1,공중화장실,2,128.265968,0,경상북도 문경시 영순면 영풍로 622-3,0,0,36.539512,0,,2018-02-19
